@relation 'table_train-weka.filters.unsupervised.attribute.Remove-R1-2,8-10,14'

@attribute u numeric
@attribute g numeric
@attribute r numeric
@attribute i numeric
@attribute z numeric
@attribute field numeric
@attribute class {STAR,GALAXY,QSO}
@attribute redshift numeric

@data
0.45192,-0.145244,-0.575637,-0.718865,-0.877007,-0.4402,GALAXY,-0.047186
0.835067,0.910531,1.108341,1.221801,1.288485,-1.516301,STAR,-0.367257
1.11433,1.403508,1.143405,0.966818,0.872284,0.967956,GALAXY,0.158963
-0.033726,-0.987341,-1.228435,-1.195246,-1.133536,-1.780715,STAR,-0.368345
-0.432785,0.845643,1.069172,1.324921,1.352237,1.429142,QSO,2.307741
0.322299,0.279508,0.18688,0.079617,0.017735,0.543664,GALAXY,-0.16756
0.140906,0.161339,0.019943,-0.085979,-0.153816,-1.085861,GALAXY,-0.122225
0.606457,0.374103,0.136903,-0.013366,-0.114032,-1.128905,GALAXY,-0.055538
-4.513737,-3.921526,-3.11527,-2.568447,-1.668046,1.275413,GALAXY,-0.352705
-1.846362,-2.075873,-2.037333,-2.043138,-2.063406,1.035596,GALAXY,-0.241904
-1.463794,-2.038492,-2.175873,-2.238934,-2.419459,1.404545,GALAXY,-0.264701
0.112626,0.450714,0.265152,0.131709,0.057327,-1.264186,GALAXY,-0.088327
0.203841,-0.594719,-0.980401,-1.112268,-1.226673,0.230057,GALAXY,-0.07599
1.145081,0.155057,-0.355219,-0.516967,-0.669717,-1.23344,GALAXY,-0.107801
0.252878,0.142335,-0.159743,-0.27839,-0.372099,-0.194234,GALAXY,-0.056346
0.833898,1.921399,2.189932,2.143792,2.187892,0.531366,QSO,4.190561
0.755882,0.610622,0.545047,0.568553,0.590341,1.521379,STAR,-0.368945
0.52826,0.377589,0.302221,0.306818,0.354636,-0.181936,STAR,-0.366467
0.620753,-0.250117,-0.643306,-0.752731,-0.887072,-0.470946,GALAXY,-0.127943
0.517086,0.795954,0.913957,0.968436,0.999512,-1.424064,STAR,-0.368151
1.067849,0.756745,0.439047,0.260836,0.086027,-0.034356,GALAXY,-0.1335
0.596488,0.555534,0.347142,0.181884,0.089906,-1.079712,GALAXY,-0.093573
0.369444,0.634972,0.829707,0.867812,0.943777,1.595169,STAR,-0.368043
-0.456038,-0.272331,-0.164197,-0.070593,0.006633,-0.846044,STAR,-0.367454
0.683448,0.161498,0.078573,-0.023178,-0.097973,-1.676179,GALAXY,-0.034085
1.11198,1.321221,1.406484,1.449978,1.478278,-1.608539,STAR,-0.366797
0.85069,0.688955,0.509767,0.309183,0.178202,1.73045,GALAXY,-0.23326
0.842505,0.397252,-0.082253,-0.274108,-0.435132,0.156268,GALAXY,-0.006192
-0.563539,-0.23444,-0.014942,0.109351,0.215604,0.832674,STAR,-0.367029
0.866818,1.183995,1.184277,1.166852,1.222443,0.476024,STAR,-0.369381
0.829944,-0.206965,-0.392147,-0.35582,-0.315529,-1.473257,STAR,-0.367766
0.009079,-0.625637,-0.893675,-0.991696,-1.064074,0.205461,GALAXY,-0.18467
-0.618024,-1.311844,-1.49577,-1.531554,-1.584448,1.552125,GALAXY,-0.194815
0.948788,0.126126,-0.282239,-0.435009,-0.583201,-0.274173,GALAXY,-0.198446
0.121739,0.196052,0.141045,0.093526,0.046685,1.675108,GALAXY,-0.231396
0.56957,0.492666,0.419256,0.347718,0.316966,1.330755,GALAXY,-0.192917
-0.342619,0.05231,0.23489,0.334556,0.425159,-1.497854,STAR,-0.368739
0.72119,0.547414,0.301938,0.112912,0.005672,0.408383,GALAXY,-0.195575
0.090458,0.080721,0.389296,0.539795,0.618588,2.437603,STAR,-0.367257
1.014496,0.807029,0.671997,0.548604,0.474164,-0.735359,GALAXY,-0.147888
-1.048738,-1.575689,-1.679721,-1.688939,-1.747163,-0.409454,GALAXY,-0.252646
0.30282,0.388898,0.39229,0.405287,0.366991,-0.649271,GALAXY,-0.350912
-1.258942,-1.161417,-0.957286,-0.794045,-0.643919,-0.790701,STAR,-0.368348
0.516772,0.405564,0.173152,0.038119,-0.053775,-0.206532,GALAXY,-0.115257
1.049671,1.172877,1.241675,1.274148,1.370144,0.832674,STAR,-0.370802
-0.270558,-0.8874,-1.193362,-1.306939,-1.41955,0.119373,GALAXY,-0.177182
0.551368,0.772858,0.82144,0.86208,0.904995,-0.145041,STAR,-0.367785
0.269863,0.057423,-0.029931,-0.092116,-0.171497,1.422993,GALAXY,-0.248893
-0.355589,-0.071014,-0.007532,0.058543,0.135709,-1.067413,STAR,-0.367925
0.430439,0.565344,0.640737,0.71958,0.771882,-0.784552,STAR,-0.367857
0.822917,0.559754,0.354505,0.292979,0.24488,0.826525,GALAXY,-0.28392
0.832307,0.352166,0.002741,-0.201434,-0.382641,-0.526288,GALAXY,-0.125368
1.126385,0.755831,0.597887,0.594032,0.581295,-0.231129,STAR,-0.366244
0.766189,1.758845,1.951418,1.958889,2.019467,-0.981325,QSO,3.437269
-0.464392,0.438364,1.053147,1.380715,1.66058,-0.993623,STAR,-0.368034
0.882405,0.534649,0.182436,0.041943,-0.071974,-1.073562,GALAXY,-0.036063
0.95942,0.838203,0.64005,0.529244,0.49743,-0.698464,GALAXY,-0.059979
0.35751,0.538794,0.893968,1.067811,1.185166,0.193163,STAR,-0.367777
0.715476,0.991797,1.107117,1.159458,1.202789,-0.163488,STAR,-0.368298
0.617776,0.743331,0.750692,0.646221,0.635584,0.783481,GALAXY,-0.139925
1.123805,0.549093,0.242159,0.130988,-0.000907,-0.120444,GALAXY,-0.199598
0.648418,-0.096894,-0.506188,-0.691935,-0.846761,1.884179,GALAXY,-0.14136
0.438142,0.308992,0.352161,0.413543,0.489521,1.632064,STAR,-0.368155
0.517254,1.577935,1.836915,1.750266,1.803458,0.297698,QSO,4.439296
0.991677,0.391449,-0.035646,-0.18691,-0.33015,-1.116606,GALAXY,-0.087785
-0.233093,-0.356829,-0.380989,-0.435387,-0.474056,1.447589,GALAXY,-0.277477
-0.230694,0.19433,0.41145,0.529789,0.631897,1.478335,STAR,-0.369668
0.692934,0.221912,-0.025045,-0.106359,-0.215921,-1.024369,GALAXY,-0.239661
0.991931,0.002398,-0.470484,-0.612017,-0.782859,-0.218831,GALAXY,-0.128547
-2.467149,-1.216877,-0.309714,0.153108,0.50431,-0.286471,STAR,-0.367541
0.934419,1.008697,0.907903,0.79789,0.822467,1.164728,GALAXY,0.0004
0.367467,0.069603,0.021694,0.064345,0.09299,0.045583,STAR,-0.366749
-0.705684,-0.531287,-0.355652,-0.246809,-0.137038,1.318457,STAR,-0.367907
0.265367,0.072941,-0.149301,-0.274372,-0.370252,-0.981325,GALAXY,-0.080079
1.088606,1.147943,1.076441,1.074818,1.085124,-0.557034,STAR,-0.366958
0.196645,1.387916,1.66028,1.572308,1.6484,0.2854,QSO,4.341702
0.545606,1.314036,1.870623,2.179504,2.390618,0.875718,STAR,-0.367562
-0.625751,-0.190682,0.064271,0.104181,0.137239,1.054044,GALAXY,-0.263195
-0.880182,-0.895467,-0.756048,-0.64001,-0.511073,-0.00361,STAR,-0.367673
0.342563,0.500595,0.58527,0.661237,0.73056,0.014837,STAR,-0.367961
-0.831242,-0.56819,-0.432747,-0.352945,-0.275368,-0.464797,STAR,-0.36809
1.001707,0.036219,-0.358741,-0.488473,-0.606609,0.414532,GALAXY,-0.155361
-0.38282,-0.204733,-0.082413,0.006275,0.093893,-0.846044,STAR,-0.367943
0.342563,-0.477836,-0.802796,-0.951253,-1.062829,-0.704613,GALAXY,-0.246627
0.595391,0.573964,0.537713,0.544032,0.535935,-0.009759,GALAXY,-0.3187
-1.095449,-0.632822,-0.320325,-0.172852,-0.058765,-0.114295,STAR,-0.366284
0.525041,0.335638,0.106123,-0.02833,-0.139438,0.525217,GALAXY,-0.028572
0.163266,0.343514,0.42015,0.482427,0.553783,-0.052803,STAR,-0.367201
-0.924084,-1.379825,-1.520241,-1.554976,-1.596586,0.851122,GALAXY,-0.19413
1.17201,0.300287,-0.06007,-0.189978,-0.320653,-1.706925,GALAXY,-0.167286
0.502042,0.707747,0.752236,0.792835,0.82541,0.199312,STAR,-0.368965
-1.28017,-1.933141,-2.092979,-2.132456,-2.164267,-1.337976,GALAXY,-0.19262
0.876992,0.782179,0.641707,0.455586,0.367167,-1.030518,GALAXY,-0.159831
-0.425962,-0.640422,-0.601577,-0.514514,-0.425786,1.601318,STAR,-0.36806
0.385838,1.238509,1.011644,0.76856,0.671289,-0.501691,QSO,0.053891
0.079814,0.445432,0.637875,0.733788,0.799127,-0.907535,STAR,-0.368562
-2.096767,-1.81833,-1.516682,-1.322017,-1.157479,0.396085,STAR,-0.368017
-0.775551,-0.653091,-0.614627,-0.649954,-0.706918,-1.436362,GALAXY,-0.259671
-0.293172,-0.232792,-0.154612,-0.055612,0.020695,-0.833746,STAR,-0.36801
-0.878953,-0.916363,-0.947654,-1.01248,-1.085952,-0.919834,GALAXY,-0.241758
0.432597,0.568597,0.633704,0.564922,0.627809,-0.089698,GALAXY,-0.186513
1.112486,1.109074,1.289044,1.375273,1.402245,-0.563183,STAR,-0.36697
0.710968,-0.129811,-0.416994,-0.522366,-0.623922,0.469874,GALAXY,-0.238998
0.899184,0.650225,0.270848,0.083389,-0.073788,-1.270335,GALAXY,-0.033374
-0.965949,-0.530171,-0.280403,-0.336522,-0.275744,-0.181936,GALAXY,-0.179762
0.674455,1.857532,2.06205,2.066062,2.1903,0.955657,QSO,3.325561
-2.85982,-3.028794,-2.915557,-2.849665,-2.845157,-1.5286,GALAXY,-0.319539
0.168426,0.456135,0.665933,0.686189,0.732984,1.595169,GALAXY,-0.226218
-0.651499,-0.90432,-0.987152,-1.024973,-1.093367,-0.409454,GALAXY,-0.311853
0.918206,0.205809,-0.23776,-0.401108,-0.564459,-0.446349,GALAXY,-0.115311
-1.021676,-0.938991,-0.798418,-0.728967,-0.772133,1.601318,GALAXY,-0.22975
0.815961,0.766459,0.716598,0.668851,0.642238,-0.108146,GALAXY,-0.284683
0.713752,0.741036,0.785285,0.830376,0.886228,-0.446349,STAR,-0.366472
1.1652,0.893748,0.565036,0.367649,0.263263,-1.706925,GALAXY,-0.084264
0.78063,0.824088,0.775172,0.645869,0.603307,-0.200383,GALAXY,-0.119026
0.879198,0.561135,0.212924,0.04051,-0.063999,0.088627,GALAXY,-0.016189
-0.089887,0.11385,0.230051,0.239076,0.2486,-1.467108,GALAXY,-0.299443
1.019234,0.573348,0.44431,0.393101,0.377826,0.020986,STAR,-0.366283
-0.814257,-0.746134,-0.687522,-0.614479,-0.565754,-0.071251,STAR,-0.36737
0.545462,0.188846,-0.222036,-0.356823,-0.501292,0.691244,GALAXY,-0.016325
1.059302,0.208052,-0.416976,-0.571592,-0.728612,-1.036668,GALAXY,0.029118
1.069693,0.40059,-0.158755,-0.359733,-0.540458,-1.024369,GALAXY,-0.03867
-0.054556,0.336786,0.52632,0.635064,0.748358,-1.768416,STAR,-0.367766
-0.43563,-0.04491,-0.435684,0.262295,0.184681,-0.532437,STAR,-0.371441
-0.677452,0.590523,0.771369,0.59004,0.722534,0.21161,QSO,0.133349
-1.168679,-0.959058,-0.780095,-0.673798,-0.562176,-0.962878,STAR,-0.368228
0.475558,0.289106,0.060025,-0.103668,-0.193509,-1.74382,GALAXY,-0.168554
0.915193,0.96276,0.900032,0.812256,0.747212,2.351514,GALAXY,-0.246919
-0.345873,-0.540215,-0.706616,-0.786941,-0.865195,1.595169,GALAXY,-0.180357
0.873219,-0.534911,-1.013412,-1.06553,-1.046494,-0.932132,STAR,-0.367852
1.129905,0.394011,0.028605,-0.114667,-0.249887,0.223908,GALAXY,-0.143691
-0.439379,-0.044548,0.083375,0.156405,0.225794,-0.495542,STAR,-0.369496
-1.078549,-0.585897,-0.264698,-0.108205,0.024256,-0.028207,STAR,-0.368888
-0.000046,-0.070248,-0.055541,-0.005506,0.045523,-1.786864,STAR,-0.36847
0.512047,0.513944,0.497386,0.419952,0.373429,-0.938281,GALAXY,-0.218793
0.562253,0.333459,0.069855,-0.078813,-0.176881,0.758884,GALAXY,-0.053778
0.817878,0.990989,1.070293,1.127437,1.148124,1.349203,STAR,-0.368754
1.046922,1.14874,1.463119,1.651796,1.720236,-1.430213,STAR,-0.367789
0.3108,0.343971,0.266159,0.142672,0.181663,-1.282634,GALAXY,-0.037506
-0.087283,0.307706,0.402609,0.242426,0.314759,1.539827,GALAXY,-0.073514
-1.180227,-0.950055,-0.777572,-0.704947,-0.716056,0.119373,GALAXY,-0.300477
0.77048,0.626682,0.545838,0.428858,0.373253,0.057881,GALAXY,-0.19328
-0.222497,0.161647,0.382902,0.502772,0.616264,0.519068,STAR,-0.367345
1.034868,0.823897,0.748837,0.750475,0.790324,1.736599,STAR,-0.367748
-0.167662,-0.987107,-1.27475,-1.352788,-1.43938,0.777332,GALAXY,-0.159757
0.594571,0.641031,0.650417,0.60867,0.635985,1.570572,GALAXY,-0.276774
-0.669135,0.149934,0.827768,1.166641,1.399152,0.119373,STAR,-0.36808
-0.229645,0.046582,0.263344,0.361345,0.472451,0.420681,STAR,-0.367494
-0.322186,0.045508,0.324554,0.447128,0.56272,-0.108146,STAR,-0.368031
-1.121149,-0.613872,-0.295299,-0.135785,-0.022032,1.398396,STAR,-0.367862
0.416118,0.2437,0.231529,0.296373,0.343007,0.027136,STAR,-0.367204
0.438564,-0.310371,-0.639983,-0.737469,-0.836738,-1.048966,GALAXY,-0.184794
1.151627,0.590981,0.259606,0.11918,0.013229,-1.239589,GALAXY,-0.209975
0.523004,0.593159,0.353093,0.209939,0.097563,-0.692315,GALAXY,-0.157863
0.238003,0.093124,-0.009933,-0.137728,-0.217635,-0.747657,GALAXY,-0.117442
0.528393,0.841976,0.917027,0.9989,1.048667,0.949508,STAR,-0.369613
-3.104029,-2.405658,-1.966396,-1.73863,-1.575519,-0.022058,STAR,-0.36786
-0.14899,-0.16513,-0.348035,-0.440935,-0.494746,-0.132742,GALAXY,-0.026586
0.74507,0.979968,1.070594,1.103989,1.134213,-1.098159,STAR,-0.367778
1.178399,0.419498,0.071408,-0.095439,-0.242205,-0.969027,GALAXY,-0.230477
-0.697643,-0.188885,-0.083732,-0.213892,0.102788,-1.122756,STAR,-0.368304
0.513771,0.433092,0.320901,0.160564,0.094896,-1.005922,GALAXY,-0.080485
1.065559,2.008193,2.575818,2.849088,3.053935,-0.15119,STAR,-0.368052
-0.795826,-0.646076,-0.563754,-0.501362,-0.454586,2.861894,STAR,-0.370382
0.52515,0.6635,0.696892,0.724776,0.656417,0.869569,GALAXY,-0.277112
0.178069,1.280854,1.533208,1.471368,1.499002,-1.534749,QSO,4.101276
0.595138,1.108967,1.62581,2.103199,2.27761,0.002539,GALAXY,-0.354123
0.872653,-0.112508,-0.508683,-0.630278,-0.715989,-0.304919,GALAXY,-0.133397
-2.508303,-2.371572,-1.597985,-1.207801,-1.002521,2.087101,STAR,-0.369228
0.763633,1.855077,1.973601,2.061869,2.117043,-0.341814,QSO,2.918517
-0.308215,-0.335678,-0.251865,-0.176166,-0.070636,1.582871,STAR,-0.36852
-3.083332,-2.522159,-2.031759,-1.75632,-1.547673,0.020986,STAR,-0.367598
-0.667387,-0.124837,0.197237,0.286904,0.293383,-0.372559,GALAXY,-0.286357
-0.950146,-0.551205,-0.297097,-0.171313,-0.052763,-0.169637,STAR,-0.367465
0.288849,0.58066,0.67308,0.734641,0.766482,1.668959,STAR,-0.367979
1.107074,0.714273,0.261188,0.101333,-0.03693,-1.756118,GALAXY,-0.097442
0.931369,0.11638,-0.362704,-0.506936,-0.621815,0.974105,GALAXY,-0.048912
0.853462,0.953141,1.102475,1.047123,1.117677,0.13782,GALAXY,-0.169029
0.728447,0.249833,0.118119,0.101781,0.066222,-0.624674,GALAXY,-0.102138
0.470411,0.409135,0.0593,-0.079781,-0.200055,-1.110457,GALAXY,0.065569
-1.22666,0.11165,0.530745,0.756832,0.358481,-1.024369,QSO,0.436651
-0.062777,-0.367904,-0.608422,-0.725969,-0.815696,0.377637,GALAXY,-0.175417
0.672731,0.600812,0.334629,0.188338,0.070736,-0.606227,GALAXY,-0.087021
-2.151747,-1.603377,-1.241579,-1.055604,-0.925218,0.383786,STAR,-0.366382
0.86366,0.728653,0.493092,0.306228,0.210655,-1.221142,GALAXY,-0.032063
-0.823262,-0.863953,-0.833331,-0.771177,-0.720319,0.340742,STAR,-0.368479
1.090897,0.850245,0.738122,0.721066,0.746385,0.703542,STAR,-0.368573
-0.013004,0.317601,0.592483,0.723475,0.819851,-0.114295,STAR,-0.367999
0.501319,0.836662,1.04939,1.12793,1.228328,-0.095847,STAR,-0.36671
-0.03903,-0.68536,-0.955347,-1.074164,-1.147865,0.303847,GALAXY,-0.211824
0.565677,0.031064,-0.323263,-0.464453,-0.538134,0.420681,GALAXY,-0.06501
-0.625293,-0.783526,-0.83624,-0.902431,-1.003014,0.100925,GALAXY,-0.25953
0.229782,0.2885,0.37037,0.43547,0.516841,0.949508,STAR,-0.367079
0.190835,-0.447225,-0.758948,-0.891767,-1.008398,-0.630824,GALAXY,-0.299159
-1.162109,-0.694022,-0.493138,-0.372718,-0.271924,-0.126593,STAR,-0.367259
1.087546,0.476797,0.009718,-0.133534,-0.287598,-1.614688,GALAXY,-0.070891
-2.747268,-2.09729,-1.628378,-1.391016,-1.201635,0.783481,STAR,-0.366754
-0.135838,-0.906212,-1.206195,-1.271252,-1.360522,-1.417915,GALAXY,-0.098722
0.564845,0.748295,0.818314,0.87991,0.939797,-0.716912,STAR,-0.366559
1.029673,0.866305,0.563812,0.343146,0.259643,-0.483244,GALAXY,0.098255
-1.762091,-0.191681,0.584046,0.934763,1.23428,1.65666,STAR,-0.36794
-0.662637,-0.928554,-1.082174,-1.146706,-1.214008,0.765034,GALAXY,-0.139791
-2.295435,-2.176516,-1.978627,-1.888849,-1.8589,-1.553196,GALAXY,-0.320767
-2.725317,-2.016778,-1.538846,-1.288783,-1.115554,-0.009759,STAR,-0.368142
-0.917816,-1.551934,-1.718589,-1.765279,-1.82715,1.712003,GALAXY,-0.231978
0.543738,1.226074,1.563337,1.225221,1.521657,-0.58163,GALAXY,-0.136129
-0.481424,-1.223413,-1.486835,-1.565263,-1.666207,-0.034356,GALAXY,-0.157585
1.04186,0.872608,0.671479,0.530844,0.391619,-1.313379,GALAXY,-0.098029
0.355111,0.178642,-0.020695,-0.121859,-0.193943,1.466037,GALAXY,-0.160742
0.557299,1.128418,1.138499,0.959433,1.073855,1.416844,GALAXY,0.112404
-0.078893,-0.271959,-0.532693,-0.639237,-0.751961,0.06403,GALAXY,-0.07123
-0.183766,-0.246142,-0.191238,-0.2241,-0.150824,-1.30723,GALAXY,-0.250259
0.692597,1.98262,2.475025,2.707723,2.880929,0.740437,STAR,-0.368134
0.306918,0.365813,0.227348,0.17005,0.076028,-1.639284,GALAXY,-0.329098
0.581311,0.690773,0.696016,0.671779,0.777166,0.193163,GALAXY,-0.31742
0.476065,0.204651,0.156901,0.183476,0.249152,-0.022058,GALAXY,-0.367953
0.562579,0.833898,1.02266,1.134805,1.169249,-0.034356,STAR,-0.366766
1.17453,2.225538,2.41292,2.239026,2.337917,0.328444,QSO,4.380609
-2.466896,-1.952953,-1.560276,-1.352446,-1.184966,2.855745,STAR,-0.368457
0.727928,1.086775,1.140392,1.000429,1.024089,0.199312,GALAXY,-0.064863
0.854402,0.078446,-0.150667,-0.235793,-0.332708,-1.061264,GALAXY,-0.227118
0.276408,0.663149,0.705639,0.560623,0.60905,-1.061264,GALAXY,-0.12325
0.77048,0.482143,0.195072,0.036361,-0.079957,-0.938281,GALAXY,-0.181542
-0.754576,-0.694192,-0.596662,-0.524599,-0.451342,-0.015909,STAR,-0.366405
0.842842,0.410485,0.055788,-0.108565,-0.260939,-1.540898,GALAXY,-0.078094
-0.089393,-0.77041,-0.83672,-0.786554,-0.709226,0.488322,STAR,-0.368077
0.587471,0.500871,0.412006,0.282244,0.244671,-0.274173,GALAXY,-0.11614
-1.351314,-1.225018,-0.451267,-0.084001,0.122057,0.07018,STAR,-0.365933
0.908888,0.574166,0.352603,0.233484,0.118053,0.463725,GALAXY,-0.186927
0.580612,-0.314558,-0.655264,-0.77545,-0.902764,-1.706925,GALAXY,-0.164073
-1.290283,-1.531219,-1.394996,-1.243654,-1.129866,-0.046654,STAR,-0.367867
0.083684,0.20228,0.256179,0.241529,0.257796,2.419155,GALAXY,-0.182133
-0.008749,0.17048,0.212255,0.165382,0.181579,0.187013,GALAXY,-0.223796
0.748433,0.633293,1.118764,1.369083,1.511207,1.386098,STAR,-0.366573
-0.151449,0.015503,0.082547,0.040097,0.010554,-0.704613,GALAXY,-0.246358
0.933575,0.556225,0.289491,0.113466,-0.014542,1.816538,GALAXY,-0.217038
0.260424,0.248239,0.282627,0.322968,0.369341,-1.473257,STAR,-0.367021
1.065727,0.156609,-0.440025,-0.618734,-0.786913,-1.030518,GALAXY,-0.049127
0.295081,1.417442,1.865802,1.916934,1.93683,0.838823,QSO,1.024789
-0.044563,0.199793,0.252055,0.271087,0.302796,0.002539,STAR,-0.3664
0.942749,0.749602,0.669351,0.585469,0.548408,0.07018,GALAXY,-0.160125
-1.682749,-1.095487,-0.614853,-0.367487,-0.192129,-0.108146,STAR,-0.36853
0.182517,-0.572728,-0.849055,-0.938786,-1.019241,0.457576,GALAXY,-0.168126
0.00979,-0.240966,-0.264086,-0.234527,-0.190215,-0.022058,GALAXY,-0.367953
0.782462,0.44557,0.383392,0.393945,0.429456,-0.483244,STAR,-0.367175
1.107869,0.890655,0.850732,0.865561,0.89473,-1.098159,STAR,-0.368529
0.141352,0.145545,0.043632,-0.126211,-0.173922,-0.803,GALAXY,-0.160897
0.66627,0.455051,0.388373,0.387026,0.401133,0.697393,STAR,-0.370461
0.281315,0.199453,0.177342,0.17515,0.199076,1.761196,STAR,-0.368576
0.969509,1.944527,1.988053,2.110347,2.058909,-0.391007,QSO,1.902847
-0.499735,-1.080448,-1.328588,-1.408793,-1.476815,1.668959,GALAXY,-0.21783
0.468941,0.646313,0.8034,0.870546,0.958674,1.023298,STAR,-0.365649
0.321697,0.251279,0.221445,0.248413,0.274666,0.260803,STAR,-0.369752
0.570764,0.19534,-0.043603,-0.169353,-0.251969,-0.790701,GALAXY,-0.157212
1.091596,0.655379,0.521556,0.48139,0.466013,-1.479406,STAR,-0.368083
0.329809,0.386135,0.402515,0.417253,0.425886,0.027136,GALAXY,-0.302233
0.378015,0.650129,0.738038,0.66682,0.689463,-0.403305,GALAXY,-0.12395
0.836924,1.14283,1.247813,1.278913,1.354185,0.125522,STAR,-0.369867
-0.187479,-0.166842,-0.111611,-0.033896,0.016607,-1.713074,STAR,-0.368227
1.09907,0.183723,-0.228919,-0.401398,-0.554101,-0.636973,GALAXY,-0.093256
1.125891,2.084432,2.260068,2.136204,2.250641,-1.473257,QSO,4.228475
0.078572,-0.603487,-0.672984,-0.608817,-0.526054,-1.294932,STAR,-0.367412
0.898521,0.894386,0.890456,0.818911,0.771966,0.35304,GALAXY,-0.21698
0.900559,0.245645,-0.256996,-0.437752,-0.594487,-0.163488,GALAXY,-0.010145
0.832548,0.106931,-0.196859,-0.291578,-0.408072,0.254654,GALAXY,-0.182247
1.032722,0.46129,-0.003106,-0.18458,-0.343124,0.432979,GALAXY,-0.025281
0.135843,-0.481481,-0.694037,-0.76024,-0.826288,-0.575481,GALAXY,-0.261353
-1.815612,-1.472921,-1.264967,-1.236427,-1.220938,-1.030518,GALAXY,-0.264093
1.032964,0.782657,0.36183,0.187608,0.02775,0.894166,GALAXY,0.021166
-0.278947,-0.24882,-0.238758,-0.294092,-0.298884,0.832674,GALAXY,-0.16476
0.676143,0.261036,0.062332,-0.09223,-0.178637,0.008688,GALAXY,-0.087714
-0.638264,-0.303728,-0.0633,0.051061,0.149352,-1.061264,STAR,-0.36841
0.852896,0.758732,0.598273,0.432735,0.341536,0.334593,GALAXY,-0.1717
0.809717,0.940142,0.693719,0.530616,0.406249,1.841135,GALAXY,0.055292
-4.12144,-3.246044,-2.617217,-2.329386,-2.09397,-0.120444,STAR,-0.36832
0.772505,0.134502,-0.157559,-0.291762,-0.443693,-0.993623,GALAXY,-0.181074
0.024714,-0.494225,-0.680027,-0.743966,-0.833904,1.386098,GALAXY,-0.257481
0.26603,1.337632,1.48404,1.507521,1.524608,-0.606227,QSO,3.337428
0.148054,-0.526929,-0.916865,-0.997736,-1.088577,0.051732,GALAXY,-0.113765
0.258134,0.36966,0.457012,0.541957,0.616181,0.027136,STAR,-0.367158
