@relation 'output-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V-weka.filters.unsupervised.attribute.Remove-R1-3,5,7-10,13,15-19'

@attribute Rainfall numeric
@attribute Sunshine numeric
@attribute Humidity3pm numeric
@attribute Pressure9am numeric
@attribute Cloud3pm numeric
@attribute RainTomorrow {No,Yes}

@data
19.6,1.4,62,1010.7,7,No
18.2,5,54,1009.3,7,Yes
6.8,2.2,92,1006.2,7,Yes
7.6,9.6,44,1019.9,3,No
0,6.8,27,1011.7,2,No
0,13,18,1017.4,1,No
3.8,2,89,1012.5,8,Yes
94.4,0.8,71,1023.2,7,Yes
38.6,3.8,75,1004.9,7,No
0.2,11.9,40,1011.7,2,No
0.6,13.3,22,1023.4,1,No
0,7.7,56,1020.4,6,No
0,10.9,40,1029.1,0,No
0,12.2,6,1018.3,3,No
1.4,12.8,37,1015.4,4,Yes
0,10.4,31,1023.5,3,No
0,6.2,50,1014.2,4,No
8.2,9.3,36,1005.4,3,Yes
0.2,8.1,42,1019.7,4,No
0.8,10.9,59,1014.4,4,No
0,9,65,1017.7,3,Yes
0.4,6.5,66,1014.2,7,No
0,7.6,27,1012.2,7,Yes
2.4,4.3,72,1006,6,Yes
54.8,2.3,94,1007.3,8,Yes
0,11.9,57,1010,6,No
1.6,2.5,70,1011.7,7,Yes
0,11.1,34,1014.5,5,No
0,11,25,1013.8,0,No
0,9.9,50,1015.8,3,No
0,10.6,72,1005.3,7,No
0,10.2,44,1017.5,1,No
0,8.1,39,1011.5,1,No
4.8,1.3,74,1021.2,7,No
0,3.3,61,1014,8,Yes
0,10.9,37,1017.2,2,No
0,11,45,1021.8,1,No
0.4,2.2,81,1021.4,7,Yes
0,10.8,52,1013.1,1,No
0,10.8,32,1010,7,No
0,13.5,12,1013.9,6,No
1,2,73,1022.5,7,Yes
34.2,0,87,1016.5,8,Yes
0,9,42,1025.2,1,No
0.8,10,35,1026.2,3,No
0,10.8,28,1014.6,1,No
14.2,7.6,72,1019.7,4,Yes
0,7.7,34,1011.2,2,Yes
0.2,9.2,53,1016.9,5,No
0,12.5,50,1022.4,2,No
0,11.7,45,1020.5,2,No
0,5.9,34,1024.8,5,No
0,8.1,73,1011.7,6,Yes
0.4,10.7,64,1021.1,2,No
0,13.2,13,1012.3,0,No
0,11.1,27,1023.1,0,No
0,9.6,79,1018.6,7,Yes
0,5.7,89,1018.1,7,Yes
6.4,4.9,53,1031.1,4,No
1.4,6.3,54,1020.7,5,No
0,8,65,1012.9,6,Yes
0.6,4.8,57,1024,3,No
6,0.3,67,1011.7,7,No
0,7.3,16,1014.8,7,No
0,12.9,42,1015.8,1,No
13.4,9,58,1008.6,3,Yes
0,13.8,44,1016.2,1,No
0,12.2,45,1021.4,2,No
0,10.3,13,1024.1,6,No
0,1.8,94,1015.6,8,Yes
0,11.5,11,1010.8,5,No
0,4.2,43,1016,5,No
0,10.9,41,1018.7,2,No
0,13.7,24,1015.3,2,No
0.6,8.7,48,1035,4,No
0,8.4,19,1011,6,Yes
0,0.1,62,1011.4,8,No
0,9.8,27,1016.1,1,No
1.4,0,69,1019.6,8,No
0,13,23,1024.4,6,Yes
6.4,7.7,57,1017.6,2,No
0,8.6,56,1023.4,7,No
0.2,7.5,64,1020.3,5,No
0,10.3,26,1025.1,0,No
38.2,3.2,89,1005.7,7,Yes
0,10.1,39,1025.5,4,No
0.4,4.6,70,1029.6,1,No
0.2,5.7,67,1029,6,No
3.2,7.5,52,1017.5,4,No
0.2,9.9,51,1034.4,3,No
24.8,6,53,1026,7,No
0,0.6,64,1034.9,7,No
5.8,2.3,90,1012.1,8,Yes
3.8,1.1,76,1008.1,8,Yes
0,11.6,12,1011.1,6,No
0,8.5,63,1021.9,1,No
17.6,0,91,1016.1,8,Yes
0.4,4.7,69,1026.4,7,No
0,12.8,32,1015.2,0,No
0,13.2,30,1021.5,3,No
0.2,1.9,53,1013.3,6,No
5.8,0,93,1004.7,8,Yes
0,7,53,1018.4,7,No
3.8,7.4,61,1007.8,5,No
0,6.7,45,1017.8,4,No
0,7.9,45,1019.3,6,No
0,7.3,64,1021.7,6,Yes
2.4,6.9,56,1017.7,6,No
0,7,33,996.2,3,No
6.8,6.5,67,1020,7,No
1.4,5.3,67,1005.9,7,Yes
0,2.8,92,1020.5,8,No
0,9.4,37,1023.2,2,No
2.4,5.8,52,1027.8,6,No
0,7.3,51,1008.3,7,No
0,4.6,62,1020,8,No
0,0.5,65,997.1,7,Yes
0.2,5,52,1021.9,7,No
0,8.8,37,1025.5,7,No
2.4,2.7,92,1006.7,7,Yes
0,8.4,32,1008.1,6,No
22.6,5,55,995.2,7,No
0.2,3.9,54,1000.9,7,Yes
0.2,6.8,67,1027.8,2,No
0.4,3.2,63,1020.9,7,No
12.4,4.7,85,1002.7,1,Yes
3.8,8.8,43,1016.6,7,No
0,4.8,72,1008.2,7,No
0,11.4,13,1019.7,1,No
0,3.3,71,1018.8,7,No
0,10.5,21,1019.6,1,No
0,10.5,11,1007.9,2,No
0,9.7,26,1024.1,4,No
0,6.2,41,1013,7,No
0,9.1,26,1023.3,0,Yes
0,9.6,61,1026.7,2,No
0,11.7,52,1012.8,1,No
0,13.2,40,1015.9,4,No
0,9.9,30,1014.9,6,No
2,4.9,76,1013.2,7,Yes
0,5.4,25,1008.4,5,No
0,11.4,22,1015.8,3,No
0,9.7,41,1016.7,5,No
5.2,0.8,85,1013.4,7,Yes
0,9.7,13,1007.9,6,No
0,6.1,36,1016.5,7,No
0,6.1,64,1018.9,7,No
0,10.6,24,1011.2,7,No
0,7.1,60,1007.7,7,No
36.2,0,93,988.9,8,Yes
0,11.3,28,1030.2,3,No
16,9,71,1015.5,3,No
0.4,10.2,59,1016.9,7,Yes
0,9.5,50,1015.3,6,No
0,9,74,1021.6,1,No
0,2.7,83,1011,6,Yes
0,5.2,67,1027.8,5,No
0,11.2,14,1019.3,2,No
0,9.9,35,1020.1,1,No
0,12,19,1016.1,1,No
0,8.2,54,1023.3,6,No
7.4,7.6,55,1004.9,1,Yes
1,10.6,47,1035.4,2,No
0,9.1,35,1028.1,5,No
27.6,1.4,71,991.5,8,Yes
0.2,9.8,58,1017,3,No
0.2,7.4,52,1021.3,6,No
0,7.6,44,1026.4,4,No
0.4,0,85,1023.3,7,Yes
0,7.5,51,1020.3,7,No
0,9.4,51,1010.7,4,No
0,3.5,89,1014.2,8,Yes
0,7.6,12,998,7,No
3.6,11.9,21,1010.4,1,No
0,5,51,1012.1,6,No
10.8,0.5,81,1022.4,8,No
0,9.7,35,1023.7,3,No
0,10.1,52,1021.1,3,No
0,2.9,86,1019.7,6,Yes
0,12.7,42,1018.7,3,No
0,2.5,38,1017.9,7,Yes
0.8,1.6,58,1011.4,7,No
0.2,10.4,64,1022.8,2,No
0,12.4,38,1027.2,6,No
0,12.6,16,1019.2,0,No
0,13.1,36,1010.6,1,No
12.6,0,87,1024.3,7,Yes
21.6,3.3,73,1015.6,4,Yes
0,9.5,55,1012.4,6,No
0,11.6,20,1017.7,1,No
0,13,36,1018.7,0,No
2.6,5.4,64,1008.6,5,No
0,6.4,37,1011.1,7,No
1.2,2.4,59,1021.6,8,No
3,6.9,46,1010.6,7,Yes
0,12.6,23,1017.3,3,No
1.2,7.6,39,1020.3,6,No
0,10.1,9,1012.8,7,No
0,13.2,8,1012.1,3,No
0,12.9,56,1011.1,2,No
0,12.3,15,1010,1,No
1,6.4,62,1022.2,5,No
0,8.8,63,1021.1,7,No
0,12.1,58,1011.8,1,No
0,0,66,1016.6,8,No
0,9.4,28,1016.4,0,No
0,8.4,61,1011.2,4,No
1.6,8.9,48,1021.3,1,No
0,12.4,58,1009,1,No
0,0.9,42,1027.8,7,No
0,10.9,53,1030.2,0,No
0,3.3,66,1006.8,7,Yes
0.2,5.8,66,1017.7,3,Yes
0.2,9.5,54,1029.3,2,No
10.4,0,95,1007.3,8,Yes
0,8.8,59,1011.7,3,Yes
0,3.6,66,1015.8,7,Yes
0,11.1,23,1018.2,1,No
8.8,4,66,1017.3,6,Yes
0,9,51,1023.7,2,No
0,8.4,58,1020.4,7,No
96.8,0,85,1005.8,8,Yes
0,2.7,60,1017.9,5,Yes
0.2,8.9,56,1022.3,6,No
0.2,3.9,70,1008.7,7,Yes
0,6.3,69,1027.8,6,No
7,9.5,24,1012.2,5,Yes
0,12.4,41,1022.4,6,No
0,0,72,1007.4,8,No
0,4.6,78,1029.6,2,No
0.2,8.4,52,1019.3,2,No
0.8,4.3,77,1011.3,8,Yes
0,12.6,53,1026.2,2,No
6.4,7.9,76,1012,7,Yes
0,4.9,44,1012.5,3,No
4.2,11.6,40,1016.4,6,No
0,13.3,27,1012.8,3,No
0,7.5,44,1009.7,7,No
0,11,24,1028.9,0,No
0,3.6,59,1019,7,No
0,13.4,18,1014.6,1,No
0,8.1,54,1018,2,No
5.2,7.2,60,1025.9,4,No
0,5.1,53,1013,2,No
2.2,10.2,52,1021.3,4,No
2.6,7.5,60,1035.1,4,No
0,13.1,41,1018.2,0,No
0.2,8.3,66,1019.9,7,Yes
0,13.1,17,1019.1,5,No
2.8,6.4,59,1017.1,6,No
0,0,73,1027.3,8,No
0,11.2,46,1011.3,1,No
0,0.3,97,1021.3,8,No
2,0,92,1031.1,7,Yes
7.8,3,79,1014.1,6,No
2.8,3.2,46,1035.7,7,Yes
0.6,0,88,1019.3,8,Yes
0,11.2,21,1022.5,0,No
3.2,2.6,60,1010.5,7,No
5.8,8.1,43,1012.1,3,No
0.2,8.9,40,1021.5,1,No
0,10.2,28,1027.8,7,No
1.8,5.5,49,1014.4,5,Yes
0,5.7,89,1029.4,8,Yes
59.6,4.1,76,1007.5,8,No
9.8,1,84,1017.9,7,Yes
6.2,3.3,94,1005.6,8,Yes
0,5.2,75,1018.1,8,No
0,10.4,35,1021.5,3,No
1.4,11.2,55,1015.7,2,No
0,3.2,52,1018.3,7,No
0,10,61,1021.8,5,Yes
0.2,5.6,42,1030.2,6,Yes
0,9.7,38,1025,3,No
0,9.4,46,1023.7,6,No
24,1.5,75,1014.4,8,No
0,13.1,51,1023.5,1,No
2,8.9,76,1016.7,2,No
0,6.9,36,1015.8,7,No
0,10.2,39,1019.2,6,No
7.2,0,91,1014.9,8,Yes
0,11.2,36,1021.1,1,No
0,6.6,66,1018.3,6,Yes
0,12.4,27,1018.3,0,No
2.4,5.4,66,1011.3,8,No
0,7.6,26,1011.6,4,No
0,13.2,9,1013.9,1,No
1.8,0.1,59,1017.5,8,No
17.6,0,82,1020.6,8,Yes
0,4,58,1021.3,8,Yes
0,10,46,1013.5,7,Yes
1.4,6.8,48,1019.5,7,Yes
0,3.6,63,1017.5,7,Yes
0,10.2,23,1015.5,1,No
1.4,8.2,60,1011.4,2,No
0,9.9,36,1019.4,2,No
0.2,8.8,58,1020.3,1,No
0,4,81,1016.9,8,No
3.6,8.4,78,1014.6,6,No
17,11.7,59,1015.9,1,No
0.2,7.8,66,1027,7,Yes
0,11.4,30,1015.2,1,No
1.6,3.4,62,1029.9,6,Yes
0,7.1,59,1013.2,4,No
0,10.8,51,1021.3,1,No
0,10.6,16,1018.8,2,No
0,6.6,53,1015.5,7,No
0,4.3,69,1010,7,Yes
0,11.7,58,1018.4,5,No
0,9,18,1015.4,7,No
0.2,0,51,1008.3,8,No
0,12.6,56,1021.7,4,No
0,10.7,29,1018,6,No
0,9.5,40,1019.6,7,No
0,9.1,43,1029.4,1,No
0,8.5,55,1012.9,6,No
0,6,55,1018.4,5,No
0.8,2.5,68,996.1,7,Yes
0,2.6,39,1021.6,1,No
1.8,8.1,43,1004,7,No
0,5.3,67,1023.5,4,No
0,11,21,1033.1,0,No
1.4,6.3,61,1025.2,7,No
0.4,1.3,70,1026.2,7,No
0,9.3,36,1025,1,No
0,4.5,37,1011.2,7,No
0,7.6,54,1019.8,4,Yes
18.6,8.3,34,1003.8,6,No
0,11.9,47,1006.2,1,No
0,10.6,30,1023.9,5,No
0,13.3,42,1019.7,0,No
0,6.6,54,1018.5,5,No
0.2,6.2,66,1014.8,6,No
0,8.4,11,1021.7,3,No
0,9,22,1014.8,7,No
3.2,4.9,73,1029.8,5,No
0,6.9,29,1013.1,6,Yes
0,8.1,68,1018,3,No
0,9.4,60,1017.9,6,No
0,9.8,27,1031.4,1,No
0,12.7,53,1020.2,2,No
0,10.4,22,1006.6,5,No
0,8.9,52,1021.3,7,No
0,8.3,48,1015.7,7,No
0,8.2,62,1014.6,7,Yes
11.6,10.7,26,1027.1,1,No
10.6,3.2,72,1014.8,7,Yes
0,10.9,42,1011.2,3,No
0,11.3,17,1014.9,3,No
0,12.5,52,1013.5,6,No
0.2,11.6,46,1028.7,3,No
0,9.9,61,1014.3,1,No
0.8,2.1,75,1013.5,7,Yes
16.8,7.5,74,1021.6,2,Yes
0,8.4,22,1006.9,3,No
0,10.7,39,1020.7,7,No
22.4,0.3,74,1014.8,7,Yes
0,11.4,36,1019.1,0,No
0,6.6,47,1022.2,7,No
0,10.6,50,1012.9,1,No
0.4,1.6,89,1017.8,7,Yes
3.8,0.3,76,1016.7,7,Yes
0,7.8,42,1012,6,No
0,12.2,29,1023,0,No
0,9.2,52,1012.8,7,No
0.2,8.2,49,1016.9,3,No
3.4,5.7,55,1024.7,6,No
1.2,10.9,43,1015.3,6,No
0,10.7,33,1018.2,0,No
0.2,5.5,48,1006.8,3,No
4.4,4.2,71,1015.2,5,Yes
0,12.2,18,1015.1,5,No
0,6.6,31,1019.3,7,No
11.4,8.2,61,1028.1,3,No
0.4,7.3,45,1025.1,3,No
6.2,10.7,38,1017.2,2,No
0,9.6,36,1017.9,6,No
3.8,0.2,84,1016.3,8,No
0,9.3,64,1012.6,3,No
0,9.5,34,1022,1,No
5.6,4.8,87,1011.1,8,Yes
0.2,6.7,41,1008.6,6,No
0,3,26,1010.7,8,Yes
2.8,6.1,59,1007.2,8,Yes
0,9.4,57,1012.8,7,No
2.2,10.9,62,1012.1,2,No
0,9.2,28,1009.6,3,No
0,1.4,60,1017.7,7,Yes
0,0,80,1020.1,8,Yes
0,10.5,57,1012.8,2,No
0.4,12.3,48,1016.8,1,No
0,8.2,15,1005.6,7,No
0,10.4,19,1023.5,0,No
0,12.7,44,1024.5,1,No
12.4,5.3,51,1010,5,Yes
0,3.9,25,1010.8,7,No
7,6.1,45,1017,7,Yes
0,0,94,1012.6,8,Yes
0,1.7,56,1022.3,7,No
0,11.1,35,1023.7,4,No
0,1.6,92,1021.7,8,Yes
0.2,3.8,64,1024.1,7,No
0,11.2,8,1018.5,0,No
0,12.7,60,1016.5,1,No
0,12.3,9,1023.2,0,No
0,13.2,35,1016.5,0,No
0,0,76,1016,8,Yes
0,7.6,63,1013,2,No
0,12.5,30,1014.5,1,No
4,8.4,35,1006.7,5,No
0.8,2.6,56,1025.2,6,No
1.6,8.2,54,1018.6,6,No
0,13.2,30,1018.9,0,No
14.4,0,76,1021.3,7,Yes
0,0.4,76,1016.4,7,Yes
0,9.1,35,1014.7,6,No
16.2,1.8,82,1019.8,8,Yes
0,7.5,67,1020,8,No
2.8,8.8,49,1021.4,4,No
0,11.3,12,1014.1,1,No
2.8,8.1,56,1011.3,5,No
0,11.5,47,1013.1,1,No
0,10.4,35,1020.3,3,No
0,11.1,22,1028.1,0,No
18.2,0.8,70,1017,7,No
0,9.2,22,1023.2,0,No
0,9.9,37,1030.2,2,No
0,8.5,35,1025,4,No
4,8.3,48,1018.2,1,No
1.2,3.9,62,1000.9,7,Yes
1.2,2.7,59,1016.9,7,No
0.2,9.1,55,1003.7,7,Yes
0,12,1,1012.7,0,No
0,10.1,62,1025.5,1,No
0,10.8,57,1014.6,1,No
0,9.9,50,1020.4,4,No
0.6,8.8,23,1012.5,7,No
0,11.1,45,1024.4,0,No
5.4,10.2,50,1023.7,3,No
10.4,4.9,77,1001.5,7,Yes
11.2,0,91,1012.2,8,Yes
5.6,4.3,86,1022.8,6,Yes
0.2,0.7,91,1026.8,7,No
0,12.9,67,1010.4,1,No
0,13.4,23,1022.1,5,No
0,10.1,52,1021.9,3,No
0,8.8,61,1018.5,2,No
0,13,33,1019.6,2,No
0,7.4,62,1016.3,5,No
1.4,11.1,29,1010.9,7,No
0,10.1,45,1013.1,1,No
2.8,9.2,54,1008.7,4,No
0,10.7,28,1029.1,0,No
0,11.1,23,1016.9,4,No
0,11.7,32,1019.4,1,No
8.2,5.7,76,1030.4,3,No
0.2,10.7,56,1012.9,1,Yes
0,10.9,37,1027,0,No
0,9.7,49,1011.7,1,No
0,11,39,1015.3,4,No
0,0.4,37,1014,8,Yes
0,12.2,40,1021.8,1,No
0,10.9,33,1015.7,7,No
0,1.9,72,1017.1,6,No
1.2,2.2,65,998.1,7,Yes
0,8.1,56,1018.2,6,No
12.4,4,62,1006.7,7,No
0.2,9.7,45,1025,7,No
1.8,10.8,65,1028.3,3,No
1.6,0.2,73,1012.2,8,Yes
0,13.3,28,1014.3,3,No
5.8,7.3,48,1011.2,6,No
0,12.9,37,1011.1,6,No
0,10.6,51,1013.3,1,No
0,0.7,67,1016.8,7,No
0.2,10.5,51,1009.9,7,No
0,10.2,37,1016,6,No
0,10.1,36,1022.5,1,No
0.8,10.9,50,1016.2,1,No
0,10.5,45,1017.1,3,No
0,9.5,47,1019.7,1,No
0,8.9,59,1025.3,7,No
0,7.2,78,1015.6,5,Yes
0,1.7,78,1014.6,8,Yes
0,4.9,45,1007.5,4,No
8.4,3.7,42,1003.1,7,No
0,10.9,28,1012.7,3,No
9.8,8.8,72,1008.8,8,Yes
0.4,8.1,35,1012.2,5,No
0.2,4.5,64,1017.3,7,No
0,7.8,27,1011.2,3,No
0,1.7,91,1020.3,8,Yes
0,12.1,17,1009,6,No
0,4.7,6,1014.8,5,No
0,11.5,40,1006.9,2,No
0.8,8.1,45,1017.3,4,No
0,10.4,6,1012.4,3,No
7.4,10.3,53,1012,5,No
0.4,7.6,61,1014.6,7,No
0,11.5,51,1012.8,1,No
0,11.2,43,1011.9,6,No
8,7.9,59,1016.6,6,No
0,7.3,24,1018.7,6,No
0,10.3,48,1022.6,3,No
3.2,0.4,86,1019.9,7,No
0,12.6,47,1014.6,1,No
7.6,6.7,64,1019.7,5,No
0,0.4,35,1019.2,7,Yes
0,11,63,1012.2,1,No
0,10.8,10,1012.9,5,No
5.8,7.9,82,1025.7,8,Yes
0,9.8,53,1023,2,No
0,5.7,58,1018.3,6,Yes
2.6,0.1,92,1012.7,7,Yes
0,11.4,53,1013.6,0,No
21.4,1,84,1011.6,7,Yes
0,10.1,67,1013.5,4,Yes
0,5.2,57,1008.3,7,No
0,6.5,57,1020.9,2,No
0,12.2,29,1006.9,1,No
0,4.4,62,1011.1,6,Yes
0,0.1,56,1017.2,7,Yes
0,13.4,40,1011.5,1,No
1.8,0.9,50,1013.4,7,Yes
60.4,0,78,1009.4,8,Yes
0.2,8.6,59,1032.5,4,No
0,11.5,62,1022.8,6,No
9,0,76,1008.8,7,No
0,10,24,1018.6,0,No
0,11.9,49,1021.9,1,No
0,12,38,1024.9,5,No
0,0.9,80,1033,7,No
0,11.8,33,1023.3,1,No
0.2,0,79,1020.8,8,No
0,12.4,48,1022.5,1,No
0.6,5.2,67,1019.9,7,Yes
0.2,5.5,73,1007.4,7,No
0.2,6.7,56,1025.4,5,No
0,10.6,12,1012.5,7,No
0,9.5,62,1008.8,1,No
0,9.9,67,1030.6,3,No
14.4,9.3,65,1011.6,6,No
6.2,5.8,45,1015.2,6,No
0,5.5,59,998.3,8,Yes
0,11.7,63,1010.2,1,No
0,1.5,41,1012.1,8,No
0,10,40,1023,2,No
0,10.8,44,1013,5,No
0,11.7,25,1022.5,1,No
0.2,10.8,55,1014.9,1,No
2.6,1.2,81,1009.9,8,Yes
0.4,8.4,52,1026.1,1,Yes
0,12.1,69,1016.2,6,Yes
0,0.2,42,1028.1,7,No
0,4.7,91,1009.1,8,Yes
10,4.6,66,1009.4,7,No
0,5.9,61,1021.4,4,No
0,10.2,12,1010,7,No
1.4,2.1,67,1020.4,7,Yes
0,0.1,23,1011.9,8,No
0,1.9,65,1024,7,No
0.4,6,50,1024.1,4,Yes
1,6.6,56,1011.6,4,Yes
0,8.4,54,1024.4,2,Yes
0,10.5,31,1024.1,1,No
11.6,8.6,35,1011.2,1,No
0,7.4,20,1011,7,Yes
6.6,5.5,62,1031.6,6,No
0,0.6,69,1014.2,7,No
0,8.7,38,1009.4,4,No
0,11,31,1014.7,1,No
0,9.9,70,1014.4,5,No
1.6,3.3,70,1021.4,5,No
0,9.2,45,1027.6,2,No
0.8,4,62,1023.6,7,Yes
0,5.1,73,1031.8,6,Yes
0,10.3,20,1021.1,3,No
0,2.5,64,1031.9,4,No
0,11.8,39,1021.6,3,No
2,8.9,46,1002.1,5,Yes
0,12.1,41,1020.7,1,No
0,11.2,45,1018,3,No
0,10.5,47,1019.2,2,No
0,9.5,59,1029.7,1,No
0,3.8,47,1019.1,7,No
0.4,5.2,51,1023.9,7,No
0.2,10.6,49,1016.3,1,No
0,9.2,21,1017,7,Yes
12,5.8,71,1018.6,7,No
0,7.2,50,1017.7,7,Yes
0.6,9.1,43,1016.9,6,No
0.2,5.3,80,1022,4,No
5.4,0,90,1003.9,8,Yes
0.4,6.8,78,1019.9,6,No
0,1.3,96,1013.8,8,Yes
10.8,12.6,34,1018.4,1,No
0,12.8,25,1021.2,1,No
0.4,9.8,56,1017.2,7,No
0.8,5.9,44,1010,7,No
0,7.9,43,1024.1,6,Yes
2,0.2,96,1001.7,8,Yes
0,4.8,34,1011.9,7,Yes
0,10.3,65,1023.7,3,No
2.4,8.7,74,1014.4,4,No
0.2,3.3,72,1011.3,7,No
0,0.9,65,1004.7,7,Yes
0,10.4,21,1022.5,0,No
0,3.2,36,1023.2,8,No
0,3.5,53,1025.5,8,No
0,12.5,15,1011.3,2,No
0,7.2,50,1020.9,4,No
0,12.7,33,1019.1,1,No
23,1.2,93,1011.5,8,Yes
6,4.3,45,1002,7,No
0,6.9,28,1023.9,1,No
2.6,5.7,44,1010.5,2,No
17,6.5,54,1002.1,5,Yes
0.2,8.4,59,1008.4,1,No
0,8.2,34,1017.7,7,No
0,3.8,15,1018,7,No
0.2,7.2,66,1036.5,7,No
0,11.8,71,1022.6,2,No
1.4,11,57,1017.1,3,No
0,0.1,70,1018.9,7,Yes
0,0.4,39,1021,8,Yes
0.2,7.9,49,1013.3,5,No
0,10.6,48,1024.3,1,No
10.4,3.5,71,1019.8,7,Yes
0,12.9,11,1008.7,2,No
0,8.8,61,1028.5,5,No
0,9.1,46,1026.7,1,No
0,8.8,17,1019.3,4,No
0,12,20,1021.5,1,No
1.6,7.7,66,1016.7,3,No
0,2.5,56,1011.5,7,Yes
0,9.9,40,1015.3,2,No
6,9.5,70,993.1,4,No
5.6,10.1,48,1013.1,1,No
0,12.7,55,1017.8,3,No
0.2,10.1,54,1022.2,4,No
0,8.9,47,1027.5,3,No
0,9.7,47,1013,3,No
0,5.2,51,1027.2,7,No
0,12.9,21,1017.9,0,No
0,4.8,57,1022.6,4,No
0,10,47,1027.1,1,No
0.4,9.6,62,1009.8,6,No
19,4.9,87,1007.3,7,Yes
0,11.6,19,1013.3,5,No
38.6,1.7,95,1012.1,8,Yes
0,13.3,13,1009.6,0,No
0,8.2,54,1005,5,No
0,9.5,58,1024.1,2,No
0,11.4,41,1028.6,1,No
0,9.8,53,1020.5,1,No
0,5.2,60,1020.7,7,No
1.8,8.4,72,1012,5,No
7,0.7,87,1013.2,8,Yes
1.8,2.4,62,1020.6,8,No
0,11.9,20,1024.9,0,No
0,6.9,35,1022.3,6,No
0,12.9,28,1014.4,4,No
