@relation 'table_train-weka.filters.unsupervised.attribute.Remove-R1-2,5-11,14'

@attribute u numeric
@attribute g numeric
@attribute class {STAR,GALAXY,QSO}
@attribute redshift numeric

@data
1.014496,0.807029,GALAXY,-0.147888
-1.048738,-1.575689,GALAXY,-0.252646
0.30282,0.388898,GALAXY,-0.350912
-1.258942,-1.161417,STAR,-0.368348
0.516772,0.405564,GALAXY,-0.115257
1.049671,1.172877,STAR,-0.370802
-0.270558,-0.8874,GALAXY,-0.177182
0.551368,0.772858,STAR,-0.367785
0.269863,0.057423,GALAXY,-0.248893
-0.355589,-0.071014,STAR,-0.367925
0.430439,0.565344,STAR,-0.367857
0.822917,0.559754,GALAXY,-0.28392
0.832307,0.352166,GALAXY,-0.125368
1.126385,0.755831,STAR,-0.366244
0.766189,1.758845,QSO,3.437269
-0.464392,0.438364,STAR,-0.368034
0.882405,0.534649,GALAXY,-0.036063
0.95942,0.838203,GALAXY,-0.059979
0.35751,0.538794,STAR,-0.367777
0.715476,0.991797,STAR,-0.368298
0.617776,0.743331,GALAXY,-0.139925
1.123805,0.549093,GALAXY,-0.199598
0.648418,-0.096894,GALAXY,-0.14136
0.438142,0.308992,STAR,-0.368155
0.517254,1.577935,QSO,4.439296
0.991677,0.391449,GALAXY,-0.087785
-0.233093,-0.356829,GALAXY,-0.277477
-0.230694,0.19433,STAR,-0.369668
0.692934,0.221912,GALAXY,-0.239661
0.991931,0.002398,GALAXY,-0.128547
-2.467149,-1.216877,STAR,-0.367541
0.934419,1.008697,GALAXY,0.0004
0.367467,0.069603,STAR,-0.366749
-0.705684,-0.531287,STAR,-0.367907
0.265367,0.072941,GALAXY,-0.080079
1.088606,1.147943,STAR,-0.366958
0.196645,1.387916,QSO,4.341702
0.545606,1.314036,STAR,-0.367562
-0.625751,-0.190682,GALAXY,-0.263195
-0.880182,-0.895467,STAR,-0.367673
0.342563,0.500595,STAR,-0.367961
-0.831242,-0.56819,STAR,-0.36809
1.001707,0.036219,GALAXY,-0.155361
-0.38282,-0.204733,STAR,-0.367943
0.342563,-0.477836,GALAXY,-0.246627
0.595391,0.573964,GALAXY,-0.3187
-1.095449,-0.632822,STAR,-0.366284
0.525041,0.335638,GALAXY,-0.028572
0.163266,0.343514,STAR,-0.367201
-0.924084,-1.379825,GALAXY,-0.19413
1.17201,0.300287,GALAXY,-0.167286
0.502042,0.707747,STAR,-0.368965
-1.28017,-1.933141,GALAXY,-0.19262
0.876992,0.782179,GALAXY,-0.159831
-0.425962,-0.640422,STAR,-0.36806
0.385838,1.238509,QSO,0.053891
0.079814,0.445432,STAR,-0.368562
-2.096767,-1.81833,STAR,-0.368017
-0.775551,-0.653091,GALAXY,-0.259671
-0.293172,-0.232792,STAR,-0.36801
-0.878953,-0.916363,GALAXY,-0.241758
0.432597,0.568597,GALAXY,-0.186513
1.112486,1.109074,STAR,-0.36697
0.710968,-0.129811,GALAXY,-0.238998
0.899184,0.650225,GALAXY,-0.033374
-0.965949,-0.530171,GALAXY,-0.179762
0.674455,1.857532,QSO,3.325561
-2.85982,-3.028794,GALAXY,-0.319539
0.168426,0.456135,GALAXY,-0.226218
-0.651499,-0.90432,GALAXY,-0.311853
0.918206,0.205809,GALAXY,-0.115311
-1.021676,-0.938991,GALAXY,-0.22975
0.815961,0.766459,GALAXY,-0.284683
0.713752,0.741036,STAR,-0.366472
1.1652,0.893748,GALAXY,-0.084264
0.78063,0.824088,GALAXY,-0.119026
0.879198,0.561135,GALAXY,-0.016189
-0.089887,0.11385,GALAXY,-0.299443
1.019234,0.573348,STAR,-0.366283
-0.814257,-0.746134,STAR,-0.36737
0.545462,0.188846,GALAXY,-0.016325
1.059302,0.208052,GALAXY,0.029118
1.069693,0.40059,GALAXY,-0.03867
-0.054556,0.336786,STAR,-0.367766
-0.43563,-0.04491,STAR,-0.371441
-0.677452,0.590523,QSO,0.133349
-1.168679,-0.959058,STAR,-0.368228
0.475558,0.289106,GALAXY,-0.168554
0.915193,0.96276,GALAXY,-0.246919
-0.345873,-0.540215,GALAXY,-0.180357
0.873219,-0.534911,STAR,-0.367852
1.129905,0.394011,GALAXY,-0.143691
-0.439379,-0.044548,STAR,-0.369496
-1.078549,-0.585897,STAR,-0.368888
-0.000046,-0.070248,STAR,-0.36847
0.512047,0.513944,GALAXY,-0.218793
0.562253,0.333459,GALAXY,-0.053778
0.817878,0.990989,STAR,-0.368754
1.046922,1.14874,STAR,-0.367789
0.3108,0.343971,GALAXY,-0.037506
-0.087283,0.307706,GALAXY,-0.073514
-1.180227,-0.950055,GALAXY,-0.300477
0.77048,0.626682,GALAXY,-0.19328
-0.222497,0.161647,STAR,-0.367345
1.034868,0.823897,STAR,-0.367748
-0.167662,-0.987107,GALAXY,-0.159757
0.594571,0.641031,GALAXY,-0.276774
-0.669135,0.149934,STAR,-0.36808
-0.229645,0.046582,STAR,-0.367494
-0.322186,0.045508,STAR,-0.368031
-1.121149,-0.613872,STAR,-0.367862
0.416118,0.2437,STAR,-0.367204
0.438564,-0.310371,GALAXY,-0.184794
1.151627,0.590981,GALAXY,-0.209975
0.523004,0.593159,GALAXY,-0.157863
0.238003,0.093124,GALAXY,-0.117442
0.528393,0.841976,STAR,-0.369613
-3.104029,-2.405658,STAR,-0.36786
-0.14899,-0.16513,GALAXY,-0.026586
0.74507,0.979968,STAR,-0.367778
1.178399,0.419498,GALAXY,-0.230477
-0.697643,-0.188885,STAR,-0.368304
0.513771,0.433092,GALAXY,-0.080485
1.065559,2.008193,STAR,-0.368052
-0.795826,-0.646076,STAR,-0.370382
0.52515,0.6635,GALAXY,-0.277112
0.178069,1.280854,QSO,4.101276
0.595138,1.108967,GALAXY,-0.354123
0.872653,-0.112508,GALAXY,-0.133397
-2.508303,-2.371572,STAR,-0.369228
0.763633,1.855077,QSO,2.918517
-0.308215,-0.335678,STAR,-0.36852
-3.083332,-2.522159,STAR,-0.367598
-0.667387,-0.124837,GALAXY,-0.286357
-0.950146,-0.551205,STAR,-0.367465
0.288849,0.58066,STAR,-0.367979
1.107074,0.714273,GALAXY,-0.097442
0.931369,0.11638,GALAXY,-0.048912
0.853462,0.953141,GALAXY,-0.169029
0.728447,0.249833,GALAXY,-0.102138
0.470411,0.409135,GALAXY,0.065569
-1.22666,0.11165,QSO,0.436651
-0.062777,-0.367904,GALAXY,-0.175417
0.672731,0.600812,GALAXY,-0.087021
-2.151747,-1.603377,STAR,-0.366382
0.86366,0.728653,GALAXY,-0.032063
-0.823262,-0.863953,STAR,-0.368479
1.090897,0.850245,STAR,-0.368573
-0.013004,0.317601,STAR,-0.367999
0.501319,0.836662,STAR,-0.36671
-0.03903,-0.68536,GALAXY,-0.211824
0.565677,0.031064,GALAXY,-0.06501
-0.625293,-0.783526,GALAXY,-0.25953
0.229782,0.2885,STAR,-0.367079
0.190835,-0.447225,GALAXY,-0.299159
-1.162109,-0.694022,STAR,-0.367259
1.087546,0.476797,GALAXY,-0.070891
-2.747268,-2.09729,STAR,-0.366754
-0.135838,-0.906212,GALAXY,-0.098722
0.564845,0.748295,STAR,-0.366559
1.029673,0.866305,GALAXY,0.098255
-1.762091,-0.191681,STAR,-0.36794
-0.662637,-0.928554,GALAXY,-0.139791
-2.295435,-2.176516,GALAXY,-0.320767
-2.725317,-2.016778,STAR,-0.368142
-0.917816,-1.551934,GALAXY,-0.231978
0.543738,1.226074,GALAXY,-0.136129
-0.481424,-1.223413,GALAXY,-0.157585
1.04186,0.872608,GALAXY,-0.098029
0.355111,0.178642,GALAXY,-0.160742
0.557299,1.128418,GALAXY,0.112404
-0.078893,-0.271959,GALAXY,-0.07123
-0.183766,-0.246142,GALAXY,-0.250259
0.692597,1.98262,STAR,-0.368134
0.306918,0.365813,GALAXY,-0.329098
0.581311,0.690773,GALAXY,-0.31742
0.476065,0.204651,GALAXY,-0.367953
0.562579,0.833898,STAR,-0.366766
1.17453,2.225538,QSO,4.380609
-2.466896,-1.952953,STAR,-0.368457
0.727928,1.086775,GALAXY,-0.064863
0.854402,0.078446,GALAXY,-0.227118
0.276408,0.663149,GALAXY,-0.12325
0.77048,0.482143,GALAXY,-0.181542
-0.754576,-0.694192,STAR,-0.366405
0.842842,0.410485,GALAXY,-0.078094
-0.089393,-0.77041,STAR,-0.368077
0.587471,0.500871,GALAXY,-0.11614
-1.351314,-1.225018,STAR,-0.365933
0.908888,0.574166,GALAXY,-0.186927
0.580612,-0.314558,GALAXY,-0.164073
-1.290283,-1.531219,STAR,-0.367867
0.083684,0.20228,GALAXY,-0.182133
-0.008749,0.17048,GALAXY,-0.223796
0.748433,0.633293,STAR,-0.366573
-0.151449,0.015503,GALAXY,-0.246358
0.933575,0.556225,GALAXY,-0.217038
0.260424,0.248239,STAR,-0.367021
1.065727,0.156609,GALAXY,-0.049127
0.295081,1.417442,QSO,1.024789
-0.044563,0.199793,STAR,-0.3664
0.942749,0.749602,GALAXY,-0.160125
-1.682749,-1.095487,STAR,-0.36853
0.182517,-0.572728,GALAXY,-0.168126
0.00979,-0.240966,GALAXY,-0.367953
0.782462,0.44557,STAR,-0.367175
1.107869,0.890655,STAR,-0.368529
0.141352,0.145545,GALAXY,-0.160897
0.66627,0.455051,STAR,-0.370461
0.281315,0.199453,STAR,-0.368576
0.969509,1.944527,QSO,1.902847
-0.499735,-1.080448,GALAXY,-0.21783
0.468941,0.646313,STAR,-0.365649
0.321697,0.251279,STAR,-0.369752
0.570764,0.19534,GALAXY,-0.157212
1.091596,0.655379,STAR,-0.368083
0.329809,0.386135,GALAXY,-0.302233
0.378015,0.650129,GALAXY,-0.12395
0.836924,1.14283,STAR,-0.369867
-0.187479,-0.166842,STAR,-0.368227
1.09907,0.183723,GALAXY,-0.093256
1.125891,2.084432,QSO,4.228475
0.078572,-0.603487,STAR,-0.367412
0.898521,0.894386,GALAXY,-0.21698
0.900559,0.245645,GALAXY,-0.010145
0.832548,0.106931,GALAXY,-0.182247
1.032722,0.46129,GALAXY,-0.025281
0.135843,-0.481481,GALAXY,-0.261353
-1.815612,-1.472921,GALAXY,-0.264093
1.032964,0.782657,GALAXY,0.021166
-0.278947,-0.24882,GALAXY,-0.16476
0.676143,0.261036,GALAXY,-0.087714
-0.638264,-0.303728,STAR,-0.36841
0.852896,0.758732,GALAXY,-0.1717
0.809717,0.940142,GALAXY,0.055292
-4.12144,-3.246044,STAR,-0.36832
0.772505,0.134502,GALAXY,-0.181074
0.024714,-0.494225,GALAXY,-0.257481
0.26603,1.337632,QSO,3.337428
0.148054,-0.526929,GALAXY,-0.113765
0.258134,0.36966,STAR,-0.367158
0.852534,0.832474,GALAXY,-0.245363
-0.022648,-0.240328,GALAXY,-0.227977
0.337235,0.627968,GALAXY,-0.22197
0.992087,0.998886,STAR,-0.367917
1.076251,0.853104,GALAXY,-0.024279
1.110148,0.771168,GALAXY,-0.065821
-0.73553,-0.31898,STAR,-0.370202
0.527525,0.491613,GALAXY,-0.060975
-2.218444,-1.676757,STAR,-0.366266
0.796626,1.77584,GALAXY,0.096638
0.886913,0.587941,STAR,-0.368545
0.595608,0.6936,GALAXY,0.024184
0.616872,0.171723,GALAXY,-0.13082
-0.498554,-0.504535,GALAXY,-0.170254
1.148336,2.308484,QSO,2.652234
-1.697045,-1.737138,STAR,-0.36793
1.09907,0.890761,STAR,-0.365402
0.730448,0.990947,STAR,-0.367674
-0.409038,-0.052552,STAR,-0.368669
0.955285,-0.006137,GALAXY,-0.149013
0.625478,0.338774,GALAXY,-0.222359
-1.365527,-1.458328,GALAXY,-0.264913
-1.898751,-1.968779,STAR,-0.368171
-0.219242,0.053235,GALAXY,-0.222609
1.081446,0.491039,GALAXY,-0.155202
0.409067,0.414258,STAR,-0.366489
-0.432484,-0.413405,STAR,-0.368001
0.057248,-0.631026,GALAXY,-0.174623
0.996053,0.91593,GALAXY,-0.038636
-0.256707,-0.232824,GALAXY,-0.150716
1.000477,1.922101,QSO,2.670781
0.006198,0.024368,STAR,-0.368759
-0.496974,-0.918775,GALAXY,-0.102852
0.525572,0.711286,STAR,-0.366993
-1.164568,-1.404302,GALAXY,-0.242395
1.071887,0.697267,STAR,-0.369177
-1.626563,-1.008598,STAR,-0.367346
-1.244043,-1.616864,GALAXY,-0.270423
-1.028318,-0.859616,STAR,-0.36886
0.865734,0.898276,GALAXY,-0.18175
1.178001,0.254116,GALAXY,-0.14961
1.063401,1.211969,STAR,-0.368124
0.896653,0.899413,GALAXY,-0.176682
-0.528629,-1.046617,STAR,-0.368498
0.586278,0.884384,STAR,-0.367956
0.971077,0.764801,STAR,-0.367679
-2.729464,-2.273683,STAR,-0.368031
0.104429,0.443625,STAR,-0.366515
-0.207996,-0.148103,STAR,-0.367759
-1.031561,-0.827805,STAR,-0.368283
-0.04625,-0.722071,GALAXY,-0.15599
-1.067471,-0.542468,STAR,-0.369771
0.261642,0.324861,STAR,-0.367343
-0.539514,-0.967263,GALAXY,-0.26731
0.593534,0.743767,GALAXY,-0.151072
-1.207386,-1.05056,STAR,-0.367732
-0.343282,-0.700537,GALAXY,-0.209834
-0.765015,-0.340609,STAR,-0.367668
0.158987,0.448376,STAR,-0.366964
-1.937939,-1.484846,GALAXY,-0.327746
0.957178,0.167344,GALAXY,-0.168721
0.919002,1.84601,STAR,-0.368107
0.663847,-0.233366,GALAXY,-0.204738
0.788791,-0.08853,GALAXY,-0.114829
-0.137441,-0.630431,GALAXY,-0.237525
0.46043,0.458994,GALAXY,-0.207377
1.058446,0.248345,GALAXY,-0.147202
0.666246,1.157742,GALAXY,0.293868
0.136228,1.330404,QSO,2.883893
0.191751,1.289675,QSO,4.420948
0.872146,-0.011929,GALAXY,-0.172396
0.556142,-0.406571,GALAXY,-0.195668
1.077263,0.747859,GALAXY,-0.036253
0.650455,0.048452,GALAXY,-0.263458
-0.050361,-0.051978,GALAXY,-0.190773
0.683556,0.619944,QSO,7.220663
1.081241,1.41504,STAR,-0.367687
1.171444,0.955171,GALAXY,-0.096427
0.915337,1.762002,QSO,1.316646
0.619246,0.52909,GALAXY,0.017817
0.844699,0.733032,GALAXY,-0.167683
1.167936,2.091362,GALAXY,0.975009
-1.429535,-1.311419,STAR,-0.368212
0.567967,0.276947,GALAXY,-0.116552
-0.097288,-1.143061,STAR,-0.369144
-1.76109,-1.401635,STAR,-0.368074
0.845976,0.824449,GALAXY,-0.014642
-1.922534,-1.525235,GALAXY,-0.28969
0.266813,-0.272086,GALAXY,-0.129939
0.570016,-0.620663,GALAXY,-0.123918
1.147612,0.085971,GALAXY,-0.065512
-1.036624,-1.598062,STAR,-0.370315
0.403473,0.757946,STAR,-0.366864
-0.4601,-0.566542,STAR,-0.367613
0.314922,0.316708,GALAXY,-0.20025
0.567654,1.244185,QSO,5.707376
1.146552,0.328772,GALAXY,-0.125089
1.0259,0.106857,GALAXY,-0.113862
-2.712986,-0.856693,STAR,-0.367727
0.804943,1.845893,QSO,1.996805
1.050828,0.692994,STAR,-0.368253
-4.064688,-3.517063,STAR,-0.366965
1.161174,1.289654,STAR,-0.367154
0.013069,0.033636,GALAXY,-0.034541
-0.65221,-0.552768,GALAXY,-0.248171
-0.06356,-0.733943,STAR,-0.367543
-1.801954,-2.337965,STAR,-0.368599
0.526416,-0.237076,GALAXY,-0.152249
-0.01374,0.068413,GALAXY,-0.308434
-1.148223,-0.676995,GALAXY,-0.300514
-2.13152,-1.94767,STAR,-0.367402
0.492061,0.819241,STAR,-0.367138
0.544124,0.829593,GALAXY,-0.174837
0.0207,-0.27214,GALAXY,-0.206142
1.153374,1.259288,GALAXY,0.156571
0.700794,0.960708,GALAXY,0.009743
0.442192,0.32418,STAR,-0.367611
-0.003831,-0.574057,GALAXY,-0.142641
0.389454,1.702216,QSO,4.49742
0.166931,1.02279,QSO,1.428198
0.855222,1.70871,QSO,3.661067
-0.265555,-0.164439,STAR,-0.367998
0.939169,0.658908,STAR,-0.367284
0.739295,0.981774,STAR,-0.367794
-0.870792,0.127869,STAR,-0.368135
1.083544,0.340942,GALAXY,-0.000146
0.77095,0.804042,GALAXY,-0.12057
-0.42994,-0.975384,GALAXY,-0.235423
-0.861076,-0.536623,GALAXY,-0.249935
1.108122,0.446941,GALAXY,-0.270201
0.363079,0.698872,STAR,-0.36651
0.663558,0.127954,GALAXY,-0.039611
0.670405,-0.196155,GALAXY,-0.13483
0.763983,0.249504,GALAXY,-0.163355
0.450895,0.255774,STAR,-0.367361
0.784825,0.337041,GALAXY,-0.108772
0.828932,0.793807,GALAXY,0.011838
0.52779,0.803171,GALAXY,-0.093659
-0.915417,-0.987479,GALAXY,-0.253663
0.794613,0.715591,GALAXY,-0.178574
-1.976803,-1.355336,GALAXY,-0.300695
0.448496,-0.157042,GALAXY,-0.190771
-2.226689,-1.720611,STAR,-0.367694
0.127212,0.448025,GALAXY,-0.153658
0.923667,0.923986,GALAXY,0.033646
0.591003,1.613148,QSO,1.762603
1.02009,0.863403,GALAXY,-0.028679
0.49141,0.456783,GALAXY,-0.234591
-0.185092,0.300117,GALAXY,-0.140256
-0.159537,0.956287,QSO,3.643172
0.718333,-0.241901,GALAXY,-0.054057
0.750699,-0.10561,GALAXY,-0.154009
0.769082,0.917896,STAR,-0.367423
0.571607,0.180577,GALAXY,-0.264423
-1.469037,-1.551286,STAR,-0.368433
0.482273,0.479932,GALAXY,-0.114225
0.29443,-0.189268,STAR,-0.368289
0.794878,0.96665,STAR,-0.368085
-0.644821,-0.378054,STAR,-0.36718
-0.972832,-1.484931,GALAXY,-0.271792
-0.508957,-0.764639,STAR,-0.367908
-2.853515,-2.739143,STAR,-0.367409
0.469664,0.560678,GALAXY,-0.175788
1.08722,0.204555,GALAXY,0.000396
0.875715,-0.052988,GALAXY,-0.072196
0.407958,0.641137,STAR,-0.367022
0.911094,-0.032124,GALAXY,-0.131362
1.178122,0.546999,GALAXY,-0.049718
0.464818,0.250811,GALAXY,-0.176275
-0.336869,-0.211843,GALAXY,-0.230448
1.155906,0.704292,GALAXY,0.165127
-1.27847,-1.248943,STAR,-0.366533
0.39477,1.763309,QSO,2.748714
-3.00176,-2.315485,STAR,-0.367207
0.888118,0.42731,GALAXY,-0.131412
-0.304527,-0.270205,GALAXY,-0.180776
0.994317,0.201707,GALAXY,-0.153545
-1.120052,-1.584777,GALAXY,-0.197728
-2.802706,-2.290731,STAR,-0.368404
-1.380944,-1.259179,STAR,-0.36749
0.95191,0.57947,GALAXY,0.043492
-0.566215,-0.884881,STAR,-0.36839
-0.715978,-0.840814,STAR,-0.368342
-0.721005,-1.090662,STAR,-0.370483
-0.140973,-0.800914,GALAXY,-0.178314
0.456934,0.454945,GALAXY,-0.16467
0.286365,0.563484,STAR,-0.36687
0.831813,0.474682,STAR,-0.368562
-1.182096,0.144801,QSO,0.079737
-0.080786,0.01206,GALAXY,-0.253477
-3.404158,-2.975959,STAR,-0.367713
0.978562,1.017497,GALAXY,0.0244
0.881055,0.933648,GALAXY,-0.243717
0.817842,0.601301,GALAXY,-0.093445
0.343165,-0.419654,GALAXY,-0.101341
-0.777552,-0.626838,GALAXY,-0.300236
-0.883232,-0.530405,STAR,-0.366909
1.01522,0.59655,GALAXY,-0.195896
0.263317,0.037048,STAR,-0.368196
0.943388,0.091328,GALAXY,-0.077126
-1.047436,-1.121836,STAR,-0.367554
1.060351,1.277761,STAR,-0.366503
-1.536035,-1.135748,STAR,-0.370346
0.511227,0.540643,GALAXY,-0.216889
0.996596,0.825438,GALAXY,-0.15157
1.113029,1.102367,GALAXY,-0.032311
-3.682577,-2.88264,STAR,-0.367166
-2.438617,-2.372401,STAR,-0.367861
0.496605,-0.023833,GALAXY,-0.147557
1.017799,2.164051,QSO,4.429045
-0.10827,-0.320627,GALAXY,-0.161841
0.37529,0.220115,GALAXY,-0.085281
0.061624,-0.693002,STAR,-0.368536
0.883249,1.86189,QSO,3.352771
0.613629,0.416044,GALAXY,-0.192722
-1.508274,0.012793,STAR,-0.367414
0.876173,0.842337,STAR,-0.368876
0.450329,0.108865,GALAXY,-0.133002
-3.032354,-2.476541,STAR,-0.367358
0.989496,1.059587,STAR,-0.367193
1.182751,0.893525,GALAXY,-0.177397
-0.644821,-0.441029,STAR,-0.367824
0.665957,0.606902,GALAXY,-0.228264
0.995547,0.88567,GALAXY,-0.17668
0.147752,0.373572,STAR,-0.365191
0.946498,0.98492,GALAXY,0.111037
0.746661,0.018416,GALAXY,-0.168132
0.17391,0.134534,STAR,-0.367367
-0.074397,-0.041477,GALAXY,-0.118719
-2.697797,-2.183945,STAR,-0.368206
-0.493623,0.296461,QSO,1.482489
0.589363,1.614168,QSO,5.051362
-3.241991,-1.711459,QSO,0.560294
0.219271,0.451331,STAR,-0.367977
1.140115,0.462703,GALAXY,-0.172511
0.456898,0.048845,STAR,-0.367979
-0.070564,-0.146594,GALAXY,-0.201742
0.708135,0.929513,STAR,-0.367775
1.104675,2.163063,QSO,4.225543
0.920111,1.879278,QSO,0.57839
0.359053,0.060951,GALAXY,-0.213144
-0.207586,-0.312645,STAR,-0.36776
0.736475,0.38267,STAR,-0.368712
-1.587073,-1.129137,STAR,-0.367179
-0.413775,-0.1756,STAR,-0.368565
0.356196,0.420051,GALAXY,-0.30213
-0.026023,-0.613287,STAR,-0.368107
0.833211,0.933478,STAR,-0.367293
0.817372,0.15882,GALAXY,-0.164253
-0.336145,0.080636,STAR,-0.367005
0.868928,1.822011,QSO,1.638187
0.428631,-0.304121,GALAXY,-0.148518
-2.044548,-2.087883,STAR,-0.368176
0.204601,1.379286,QSO,3.03229
-1.321769,-1.216356,GALAXY,-0.267615
0.479331,0.378248,STAR,-0.367007
-0.642615,-0.305471,GALAXY,-0.247983
-1.228782,-0.81504,STAR,-0.36779
0.883261,0.900221,GALAXY,-0.098381
0.908997,1.67777,QSO,2.726748
0.237292,0.219031,GALAXY,-0.135008
-0.452156,0.83934,QSO,3.415482
0.530586,0.032786,GALAXY,-0.195172
0.351652,0.486363,GALAXY,-0.055493
0.872207,0.609527,GALAXY,-0.081488
1.113185,1.957271,QSO,5.19813
1.143683,0.813842,STAR,-0.368573
0.058237,0.006628,GALAXY,-0.179645
0.342418,-0.340801,GALAXY,-0.247814
-2.028672,-1.473675,STAR,-0.369339
-0.06579,0.283505,STAR,-0.36744
-1.757413,-1.174139,STAR,-0.367542
0.86765,0.054659,GALAXY,-0.137744
0.970245,0.121195,STAR,-0.367755
0.253602,0.01055,STAR,-0.367687
-1.88672,-0.043719,STAR,-0.368944
0.327242,-0.357934,GALAXY,-0.15262
0.780184,0.663904,GALAXY,-0.202709
-1.344673,-0.912366,STAR,-0.368038
0.775603,1.930721,QSO,3.071972
-0.039235,0.076097,GALAXY,-0.268795
-2.014846,-1.654192,STAR,-0.365806
-0.583585,-1.324513,GALAXY,-0.166954
0.282496,0.287469,GALAXY,-0.276247
0.829221,0.404055,GALAXY,-0.122133
-1.168245,-0.928766,GALAXY,-0.156064
-1.763091,-1.316255,STAR,-0.366243
-0.797248,-0.66896,GALAXY,-0.255136
-0.388558,-0.794803,STAR,-0.367727
-2.279523,-2.360572,STAR,-0.367888
0.332654,0.025059,STAR,-0.368249
-1.42088,-1.290353,GALAXY,-0.148066
-0.15973,-0.031433,GALAXY,-0.312879
-0.184236,-0.430857,GALAXY,-0.151628
-0.358856,-0.447927,GALAXY,-0.106823
-0.240699,0.005481,STAR,-0.367903
0.390479,0.44659,GALAXY,-0.202716
1.120141,0.333406,GALAXY,-0.161318
0.704386,0.368024,GALAXY,-0.312187
0.422182,-0.302909,STAR,-0.367497
0.305845,-0.063882,STAR,-0.367431
0.379256,1.359548,QSO,0.887896
-1.506948,-1.163808,GALAXY,-0.143083
0.812309,0.191333,GALAXY,-0.20507
0.982154,0.588068,QSO,-0.11725
1.091982,0.440405,GALAXY,0.053898
0.508009,0.38572,GALAXY,-0.140672
0.886166,0.854635,GALAXY,-0.156866
-0.811677,-0.912388,GALAXY,-0.212469
0.185567,-0.222164,GALAXY,-0.211774
-2.571805,-2.082059,STAR,-0.367051
0.304905,-0.333998,GALAXY,-0.13981
1.07789,0.748593,GALAXY,-0.145204
0.466542,1.554754,QSO,2.261436
0.116845,0.049961,GALAXY,-0.171596
0.066277,-0.866291,GALAXY,-0.08053
-0.274873,0.947253,QSO,3.827015
1.074623,0.207818,QSO,-0.210108
-1.709305,-1.877585,STAR,-0.368463
-0.176763,-0.309797,STAR,-0.367855
0.351905,0.928684,QSO,0.767076
0.697503,1.12642,GALAXY,-0.180677
