@relation 'table_train-weka.filters.unsupervised.attribute.Remove-R9,11'

@attribute ra numeric
@attribute dec numeric
@attribute u numeric
@attribute g numeric
@attribute r numeric
@attribute i numeric
@attribute z numeric
@attribute run {id1045,id1302,id756,id752,id1350,id1404,id1345,id1140,id1412,id1334,id1239,id1035,id1231,id745,id1336,id1331,id1402,id308,id1356,id1119,id1411,id727,id1332}
@attribute camcol numeric
@attribute class {STAR,GALAXY,QSO}
@attribute redshift numeric
@attribute mjd numeric

@data
-3.181655,-0.051206,0.606457,0.374103,0.136903,-0.013366,-0.114032,id1035,-0.984627,GALAXY,-0.055538,-0.700114
0.929516,-0.615263,-4.513737,-3.921526,-3.11527,-2.568447,-1.668046,id752,-0.984627,GALAXY,-0.352705,1.577112
0.807256,-0.616284,-1.846362,-2.075873,-2.037333,-2.043138,-2.063406,id752,-0.984627,GALAXY,-0.241904,-0.87671
1.181239,1.568805,-1.463794,-2.038492,-2.175873,-2.238934,-2.419459,id1345,-1.583711,GALAXY,-0.264701,-0.373379
0.171519,-0.647758,0.112626,0.450714,0.265152,0.131709,0.057327,id1231,1.411708,GALAXY,-0.088327,-0.379332
-0.185611,-0.626413,0.203841,-0.594719,-0.980401,-1.112268,-1.226673,id756,-1.583711,GALAXY,-0.07599,-0.688209
-1.166862,1.194583,1.145081,0.155057,-0.355219,-0.516967,-0.669717,id1350,-0.385544,GALAXY,-0.107801,-0.699453
0.374154,-0.657152,0.252878,0.142335,-0.159743,-0.27839,-0.372099,id1140,0.812624,GALAXY,-0.056346,-0.824459
-0.031554,-0.604423,0.833898,1.921399,2.189932,2.143792,2.187892,id756,-0.984627,QSO,4.190561,-0.84827
1.371261,-0.543536,0.755882,0.610622,0.545047,0.568553,0.590341,id745,1.411708,STAR,-0.368945,-0.82512
0.184578,-0.59929,0.52826,0.377589,0.302221,0.306818,0.354636,id752,-0.385544,STAR,-0.366467,1.310565
-0.541433,-0.55943,0.620753,-0.250117,-0.643306,-0.752731,-0.887072,id756,0.812624,GALAXY,-0.127943,-0.864805
-1.174628,1.035421,0.517086,0.795954,0.913957,0.968436,0.999512,id1345,-0.984627,STAR,-0.368151,2.169072
0.261441,-0.584621,1.067849,0.756745,0.439047,0.260836,0.086027,id752,0.21354,GALAXY,-0.1335,-0.628682
-0.077494,-0.717698,0.596488,0.555534,0.347142,0.181884,0.089906,id1140,-1.583711,GALAXY,-0.093573,-0.37404
1.092425,-0.615281,0.369444,0.634972,0.829707,0.867812,0.943777,id752,-0.984627,STAR,-0.368043,-0.84364
0.164766,-0.578453,-0.456038,-0.272331,-0.164197,-0.070593,0.006633,id745,0.21354,STAR,-0.367454,-0.87671
1.655853,1.868931,0.683448,0.161498,0.078573,-0.023178,-0.097973,id1336,-0.984627,GALAXY,-0.034085,-0.823798
0.618313,-0.544324,1.11198,1.321221,1.406484,1.449978,1.478278,id1404,1.411708,STAR,-0.366797,1.778841
1.161891,-0.614528,0.85069,0.688955,0.509767,0.309183,0.178202,id752,-0.984627,GALAXY,-0.23326,-0.838349
-0.159191,1.96733,0.842505,0.397252,-0.082253,-0.274108,-0.435132,id1302,0.21354,GALAXY,-0.006192,-0.377347
0.122788,-0.628138,-0.563539,-0.23444,-0.014942,0.109351,0.215604,id756,-1.583711,STAR,-0.367029,1.065844
-0.060022,-0.591536,0.866818,1.183995,1.184277,1.166852,1.222443,id756,-0.385544,STAR,-0.369381,1.046663
-0.959956,-0.55135,0.829944,-0.206965,-0.392147,-0.35582,-0.315529,id1239,1.411708,STAR,-0.367766,2.51631
-0.096487,1.978113,0.009079,-0.625637,-0.893675,-0.991696,-1.064074,id1302,0.21354,GALAXY,-0.18467,-0.583045
1.325031,1.52746,-0.618024,-1.311844,-1.49577,-1.531554,-1.584448,id1345,1.411708,GALAXY,-0.194815,-0.589659
-0.443766,-0.589643,0.948788,0.126126,-0.282239,-0.435009,-0.583201,id756,-0.385544,GALAXY,-0.198446,-0.699453
1.133088,-0.568992,0.121739,0.196052,0.141045,0.093526,0.046685,id752,0.812624,GALAXY,-0.231396,-0.827766
1.17241,1.667093,0.56957,0.492666,0.419256,0.347718,0.316966,id1345,0.812624,GALAXY,-0.192917,0.328374
-1.261298,0.979561,-0.342619,0.05231,0.23489,0.334556,0.425159,id1350,-0.385544,STAR,-0.368739,1.524199
0.485202,-0.580642,0.72119,0.547414,0.301938,0.112912,0.005672,id752,0.21354,GALAXY,-0.195575,-0.631989
1.520634,-0.61228,0.090458,0.080721,0.389296,0.539795,0.618588,id752,-0.984627,STAR,-0.367257,-0.839671
-0.856215,1.565485,1.014496,0.807029,0.671997,0.548604,0.474164,id1345,0.21354,GALAXY,-0.147888,-0.688209
-0.511131,-0.572046,-1.048738,-1.575689,-1.679721,-1.688939,-1.747163,id756,0.21354,GALAXY,-0.252646,-0.681595
-0.633632,-0.556111,0.30282,0.388898,0.39229,0.405287,0.366991,id756,0.812624,GALAXY,-0.350912,-0.866789
-0.983129,1.558646,-1.258942,-1.161417,-0.957286,-0.794045,-0.643919,id1350,0.812624,STAR,-0.368348,0.540025
-0.408614,-0.574271,0.516772,0.405564,0.173152,0.038119,-0.053775,id756,0.21354,GALAXY,-0.115257,-0.661091
0.717724,1.985073,1.049671,1.172877,1.241675,1.274148,1.370144,id1350,-0.984627,STAR,-0.370802,1.311887
-0.242429,-0.624663,-0.270558,-0.8874,-1.193362,-1.306939,-1.41955,id756,-1.583711,GALAXY,-0.177182,-0.682256
-0.375532,-0.554324,0.551368,0.772858,0.82144,0.86208,0.904995,id756,0.812624,STAR,-0.367785,-0.650509
1.003511,-0.569822,0.269863,0.057423,-0.029931,-0.092116,-0.171497,id752,0.812624,GALAXY,-0.248893,-0.626037
-0.071005,-0.655101,-0.355589,-0.071014,-0.007532,0.058543,0.135709,id1140,0.812624,STAR,-0.367925,1.290061
-0.889071,1.536424,0.430439,0.565344,0.640737,0.71958,0.771882,id1345,0.21354,STAR,-0.367857,-0.688209
0.705555,1.986307,0.822917,0.559754,0.354505,0.292979,0.24488,id1350,-0.984627,GALAXY,-0.28392,-0.632651
0.584997,2.062934,0.832307,0.352166,0.002741,-0.201434,-0.382641,id1412,0.21354,GALAXY,-0.125368,-0.629344
0.159137,-0.550567,1.126385,0.755831,0.597887,0.594032,0.581295,id752,1.411708,STAR,-0.366244,-0.87671
-0.989244,1.379361,0.766189,1.758845,1.951418,1.958889,2.019467,id1345,-0.385544,QSO,3.437269,-0.706067
-0.032649,-0.65093,-0.464392,0.438364,1.053147,1.380715,1.66058,id1140,0.812624,STAR,-0.368034,-0.427614
-1.119878,1.21099,0.882405,0.534649,0.182436,0.041943,-0.071974,id1331,0.812624,GALAXY,-0.036063,-0.703421
-0.916253,1.470326,0.95942,0.838203,0.64005,0.529244,0.49743,id1331,-0.385544,GALAXY,-0.059979,-0.703421
-0.205103,-0.58854,0.35751,0.538794,0.893968,1.067811,1.185166,id756,-0.385544,STAR,-0.367777,-0.682918
0.194531,-0.635861,0.715476,0.991797,1.107117,1.159458,1.202789,id752,-1.583711,STAR,-0.368298,1.50105
0.688113,1.945385,0.617776,0.743331,0.750692,0.646221,0.635584,id1345,0.812624,GALAXY,-0.139925,-0.569817
-0.365359,-0.590972,1.123805,0.549093,0.242159,0.130988,-0.000907,id756,-0.385544,GALAXY,-0.199598,-0.650509
1.557634,-0.570204,0.648418,-0.096894,-0.506188,-0.691935,-0.846761,id745,0.21354,GALAXY,-0.14136,-0.839671
1.428851,-0.554429,0.438142,0.308992,0.352161,0.413543,0.489521,id745,0.812624,STAR,-0.368155,-0.82512
-0.151683,-0.543611,0.517254,1.577935,1.836915,1.750266,1.803458,id756,1.411708,QSO,4.439296,-0.632651
-1.137005,1.181518,0.991677,0.391449,-0.035646,-0.18691,-0.33015,id1331,0.812624,GALAXY,-0.087785,-0.703421
1.015129,-0.568974,-0.233093,-0.356829,-0.380989,-0.435387,-0.474056,id752,0.812624,GALAXY,-0.277477,-0.626037
1.28511,1.584815,-0.230694,0.19433,0.41145,0.529789,0.631897,id1345,1.411708,STAR,-0.369668,2.322518
-1.077111,1.229591,0.692934,0.221912,-0.025045,-0.106359,-0.215921,id1331,-0.385544,GALAXY,-0.239661,-0.709374
-0.414683,-0.594716,0.991931,0.002398,-0.470484,-0.612017,-0.782859,id756,-0.385544,GALAXY,-0.128547,-0.661091
0.45051,-0.5778,-2.467149,-1.216877,-0.309714,0.153108,0.50431,id745,0.21354,STAR,-0.367541,2.504405
0.872095,-0.613006,0.934419,1.008697,0.907903,0.79789,0.822467,id752,-0.984627,GALAXY,0.0004,-0.878033
-0.278674,-0.607745,0.367467,0.069603,0.021694,0.064345,0.09299,id756,-0.984627,STAR,-0.366749,0.83832
0.951895,-0.613893,-0.705684,-0.531287,-0.355652,-0.246809,-0.137038,id752,-0.984627,STAR,-0.367907,1.132646
-2.518472,-0.796327,0.265367,0.072941,-0.149301,-0.274372,-0.370252,id1045,1.411708,GALAXY,-0.080079,-0.682256
0.544454,2.073484,1.088606,1.147943,1.076441,1.074818,1.085124,id1412,0.21354,STAR,-0.366958,1.108174
-0.156414,-0.620517,0.196645,1.387916,1.66028,1.572308,1.6484,id756,-1.583711,QSO,4.341702,-0.688209
0.144184,-0.611637,0.545606,1.314036,1.870623,2.179504,2.390618,id756,-0.984627,STAR,-0.367562,-0.606856
0.236319,-0.621078,-0.625751,-0.190682,0.064271,0.104181,0.137239,id756,-1.583711,GALAXY,-0.263195,-0.628682
-0.302848,-0.609602,-0.880182,-0.895467,-0.756048,-0.64001,-0.511073,id756,-0.984627,STAR,-0.367673,0.841627
-0.296373,-0.603872,0.342563,0.500595,0.58527,0.661237,0.73056,id756,-0.984627,STAR,-0.367961,0.841627
0.654889,2.042638,-0.831242,-0.56819,-0.432747,-0.352945,-0.275368,id1412,0.21354,STAR,-0.36809,1.311887
0.490018,-0.580504,1.001707,0.036219,-0.358741,-0.488473,-0.606609,id752,0.21354,GALAXY,-0.155361,-0.631989
-0.925414,1.487855,-0.38282,-0.204733,-0.082413,0.006275,0.093893,id1345,0.21354,STAR,-0.367943,-0.703421
-0.842867,1.589708,0.342563,-0.477836,-0.802796,-0.951253,-1.062829,id1345,0.21354,GALAXY,-0.246627,-0.682918
-0.307799,-0.609939,0.595391,0.573964,0.537713,0.544032,0.535935,id756,-0.984627,GALAXY,-0.3187,-0.679611
0.220438,-0.582,-1.095449,-0.632822,-0.320325,-0.172852,-0.058765,id752,0.21354,STAR,-0.366284,0.793344
-0.034007,-0.606394,0.525041,0.335638,0.106123,-0.02833,-0.139438,id756,-0.984627,GALAXY,-0.028572,-0.84827
0.251765,-0.598474,0.163266,0.343514,0.42015,0.482427,0.553783,id752,-0.385544,STAR,-0.367201,-0.628682
0.765802,2.033718,-0.924084,-1.379825,-1.520241,-1.554976,-1.596586,id1350,1.411708,GALAXY,-0.19413,-0.632651
0.569138,-0.540357,1.17201,0.300287,-0.06007,-0.189978,-0.320653,id1404,1.411708,GALAXY,-0.167286,-0.651832
-0.104057,1.975634,0.502042,0.707747,0.752236,0.792835,0.82541,id1302,0.21354,STAR,-0.368965,1.323793
-1.201676,1.170817,-1.28017,-1.933141,-2.092979,-2.132456,-2.164267,id1402,0.21354,GALAXY,-0.19262,1.485176
0.29082,-0.6452,0.876992,0.782179,0.641707,0.455586,0.367167,id1231,1.411708,GALAXY,-0.159831,-0.622068
1.411419,-0.554169,-0.425962,-0.640422,-0.601577,-0.514514,-0.425786,id745,0.812624,STAR,-0.36806,-0.827105
-0.559023,-0.559501,0.385838,1.238509,1.011644,0.76856,0.671289,id756,0.812624,QSO,0.053891,-0.88134
-0.950327,1.438967,0.079814,0.445432,0.637875,0.733788,0.799127,id1345,-0.385544,STAR,-0.368562,1.553963
-0.101843,-0.604857,-2.096767,-1.81833,-1.516682,-1.322017,-1.157479,id756,-0.984627,STAR,-0.368017,1.290061
-3.340997,-0.017546,-0.775551,-0.653091,-0.614627,-0.649954,-0.706918,id1035,-0.385544,GALAXY,-0.259671,-0.74046
0.048629,-0.654722,-0.293172,-0.232792,-0.154612,-0.055612,0.020695,id1140,0.812624,STAR,-0.36801,-0.377347
-1.029149,1.311205,-0.878953,-0.916363,-0.947654,-1.01248,-1.085952,id1331,-0.385544,GALAXY,-0.241758,-0.706067
-0.347508,-0.540801,0.432597,0.568597,0.633704,0.564922,0.627809,id756,1.411708,GALAXY,-0.186513,-0.412402
-0.590267,-0.573794,1.112486,1.109074,1.289044,1.375273,1.402245,id756,0.21354,STAR,-0.36697,-0.629344
-0.063822,-0.622171,0.710968,-0.129811,-0.416994,-0.522366,-0.623922,id756,-1.583711,GALAXY,-0.238998,-0.877372
-3.252961,-0.027171,0.899184,0.650225,0.270848,0.083389,-0.073788,id1035,-0.385544,GALAXY,-0.033374,-0.692839
0.18441,-0.579815,-0.965949,-0.530171,-0.280403,-0.336522,-0.275744,id752,0.21354,GALAXY,-0.179762,-0.606856
0.18584,-0.621916,0.674455,1.857532,2.06205,2.066062,2.1903,id756,-1.583711,QSO,3.325561,-0.622068
0.038238,-0.644549,-2.85982,-3.028794,-2.915557,-2.849665,-2.845157,id1231,1.411708,GALAXY,-0.319539,-0.377347
1.092022,-0.619339,0.168426,0.456135,0.665933,0.686189,0.732984,id752,-0.984627,GALAXY,-0.226218,-0.84364
-0.511262,-0.575557,-0.651499,-0.90432,-0.987152,-1.024973,-1.093367,id756,0.21354,GALAXY,-0.311853,-0.681595
-0.531583,-0.555652,0.918206,0.205809,-0.23776,-0.401108,-0.564459,id756,0.812624,GALAXY,-0.115311,-0.864805
1.353553,1.49425,-1.021676,-0.938991,-0.798418,-0.728967,-0.772133,id1345,1.411708,GALAXY,-0.22975,-0.585691
-0.356953,-0.571593,0.815961,0.766459,0.716598,0.668851,0.642238,id756,0.21354,GALAXY,-0.284683,-0.650509
0.247942,-0.726195,0.713752,0.741036,0.785285,0.830376,0.886228,id1140,-1.583711,STAR,-0.366472,-0.626698
0.520118,-0.608962,1.1652,0.893748,0.565036,0.367649,0.263263,id1334,-0.984627,GALAXY,-0.084264,-0.632651
-0.404019,-0.589729,0.78063,0.824088,0.775172,0.645869,0.603307,id756,-0.385544,GALAXY,-0.119026,-0.661091
-0.257389,-0.593433,0.879198,0.561135,0.212924,0.04051,-0.063999,id756,-0.385544,GALAXY,-0.016189,-0.682256
-1.251157,1.001175,-0.089887,0.11385,0.230051,0.239076,0.2486,id1350,-0.385544,GALAXY,-0.299443,-0.698792
-0.291053,-0.593158,1.019234,0.573348,0.44431,0.393101,0.377826,id756,-0.385544,STAR,-0.366283,0.841627
0.240886,-0.584083,-0.814257,-0.746134,-0.687522,-0.614479,-0.565754,id752,0.21354,STAR,-0.36737,0.793344
0.049223,-0.623386,0.545462,0.188846,-0.222036,-0.356823,-0.501292,id756,-1.583711,GALAXY,-0.016325,-0.659768
0.287971,-0.645746,1.059302,0.208052,-0.416976,-0.571592,-0.728612,id1231,1.411708,GALAXY,0.029118,-0.622068
-1.09075,1.372636,1.069693,0.40059,-0.158755,-0.359733,-0.540458,id1350,0.21354,GALAXY,-0.03867,-0.69813
0.487594,-0.607146,-0.054556,0.336786,0.52632,0.635064,0.748358,id1334,-0.984627,STAR,-0.367766,2.504405
-0.733144,1.709166,-0.43563,-0.04491,-0.435684,0.262295,0.184681,id1345,0.812624,STAR,-0.371441,-0.682918
-0.075588,2.108006,-0.677452,0.590523,0.771369,0.59004,0.722534,id1350,1.411708,QSO,0.133349,-0.66043
-3.093624,-0.068128,-1.168679,-0.959058,-0.780095,-0.673798,-0.562176,id1035,-0.984627,STAR,-0.368228,1.212015
0.501579,-0.571874,0.475558,0.289106,0.060025,-0.103668,-0.193509,id1334,0.21354,GALAXY,-0.168554,-0.631989
1.477025,-0.615104,0.915193,0.96276,0.900032,0.812256,0.747212,id752,-0.984627,GALAXY,-0.246919,-0.622068
1.091118,-0.568405,-0.345873,-0.540215,-0.706616,-0.786941,-0.865195,id752,0.812624,GALAXY,-0.180357,-0.84364
-3.079077,-0.070769,0.873219,-0.534911,-1.013412,-1.06553,-1.046494,id1035,-0.984627,STAR,-0.367852,1.212015
-0.187497,-0.60845,1.129905,0.394011,0.028605,-0.114667,-0.249887,id756,-0.984627,GALAXY,-0.143691,-0.688209
0.620856,2.058854,-0.439379,-0.044548,0.083375,0.156405,0.225794,id1412,0.21354,STAR,-0.369496,1.079733
-0.35342,1.909496,-1.078549,-0.585897,-0.264698,-0.108205,0.024256,id1302,0.21354,STAR,-0.368888,-0.373379
0.477773,-0.59354,-0.000046,-0.070248,-0.055541,-0.005506,0.045523,id1334,-0.385544,STAR,-0.36847,2.504405
-0.687043,-0.565662,0.512047,0.513944,0.497386,0.419952,0.373429,id1239,0.812624,GALAXY,-0.218793,-0.645218
0.083435,-0.625589,0.562253,0.333459,0.069855,-0.078813,-0.176881,id756,-1.583711,GALAXY,-0.053778,-0.668367
0.966792,-0.567859,0.817878,0.990989,1.070293,1.127437,1.148124,id752,0.812624,STAR,-0.368754,1.114788
0.087846,-0.650452,1.046922,1.14874,1.463119,1.651796,1.720236,id1231,1.411708,STAR,-0.367789,-0.37867
0.162956,-0.644285,0.3108,0.343971,0.266159,0.142672,0.181663,id1231,1.411708,GALAXY,-0.037506,-0.379332
1.062284,-0.619351,-0.087283,0.307706,0.402609,0.242426,0.314759,id752,-0.984627,GALAXY,-0.073514,-0.628682
-0.242698,-0.586943,-1.180227,-0.950055,-0.777572,-0.704947,-0.716056,id756,-0.385544,GALAXY,-0.300477,-0.682256
-0.272156,-0.587706,0.77048,0.626682,0.545838,0.428858,0.373253,id756,-0.385544,GALAXY,-0.19328,-0.682256
-0.037913,-0.607991,-0.222497,0.161647,0.382902,0.502772,0.616264,id756,-0.984627,STAR,-0.367345,1.01227
1.48137,-0.553568,1.034868,0.823897,0.748837,0.750475,0.790324,id745,0.812624,STAR,-0.367748,-0.622068
0.09315,-0.606412,-0.167662,-0.987107,-1.27475,-1.352788,-1.43938,id756,-0.984627,GALAXY,-0.159757,-0.668367
1.078199,-0.5663,0.594571,0.641031,0.650417,0.60867,0.635985,id752,0.812624,GALAXY,-0.276774,-0.628682
-0.241357,-0.59095,-0.669135,0.149934,0.827768,1.166641,1.399152,id756,-0.385544,STAR,-0.36808,-0.682256
0.492572,-0.584291,-0.229645,0.046582,0.263344,0.361345,0.472451,id752,0.21354,STAR,-0.367494,2.504405
0.223706,-0.58084,-0.322186,0.045508,0.324554,0.447128,0.56272,id752,0.21354,STAR,-0.368031,0.793344
0.991755,-0.564815,-1.121149,-0.613872,-0.295299,-0.135785,-0.022032,id752,0.812624,STAR,-0.367862,1.132646
0.293425,-0.585187,0.416118,0.2437,0.231529,0.296373,0.343007,id752,0.21354,STAR,-0.367204,1.075765
-0.062113,-0.719508,0.438564,-0.310371,-0.639983,-0.737469,-0.836738,id1140,-1.583711,GALAXY,-0.184794,-0.427614
-1.162166,1.247275,1.151627,0.590981,0.259606,0.11918,0.013229,id1402,0.21354,GALAXY,-0.209975,-0.699453
0.464105,-0.664133,0.523004,0.593159,0.353093,0.209939,0.097563,id1231,0.812624,GALAXY,-0.157863,-0.628682
-0.867021,1.55844,0.238003,0.093124,-0.009933,-0.137728,-0.217635,id1345,0.21354,GALAXY,-0.117442,-0.688209
0.863835,1.881945,0.528393,0.841976,0.917027,0.9989,1.048667,id1345,0.812624,STAR,-0.369613,2.47398
0.266884,-0.636254,-3.104029,-2.405658,-1.966396,-1.73863,-1.575519,id752,-1.583711,STAR,-0.36786,1.075765
0.405602,-0.723528,-0.14899,-0.16513,-0.348035,-0.440935,-0.494746,id1140,-1.583711,GALAXY,-0.026586,-0.824459
-0.766004,-0.564821,0.74507,0.979968,1.070594,1.103989,1.134213,id1239,0.812624,STAR,-0.367778,1.72196
-1.070759,1.290911,1.178399,0.419498,0.071408,-0.095439,-0.242205,id1331,0.812624,GALAXY,-0.230477,-0.709374
0.243169,-0.651114,-0.697643,-0.188885,-0.083732,-0.213892,0.102788,id1231,1.411708,STAR,-0.368304,-0.626698
0.303292,-0.651489,0.513771,0.433092,0.320901,0.160564,0.094896,id1231,1.411708,GALAXY,-0.080485,-0.622068
0.200864,-0.601951,1.065559,2.008193,2.575818,2.849088,3.053935,id752,-0.385544,STAR,-0.368052,0.801942
1.785938,0.439589,-0.795826,-0.646076,-0.563754,-0.501362,-0.454586,id1345,-1.583711,STAR,-0.370382,0.637913
0.141495,-0.607689,0.52515,0.6635,0.696892,0.724776,0.656417,id756,-0.984627,GALAXY,-0.277112,-0.62273
-3.392104,-0.007428,0.178069,1.280854,1.533208,1.471368,1.499002,id1035,-0.385544,QSO,4.101276,-0.70739
-0.300374,-0.557242,0.595138,1.108967,1.62581,2.103199,2.27761,id756,0.812624,GALAXY,-0.354123,-0.681595
0.440485,-0.574137,0.872653,-0.112508,-0.508683,-0.630278,-0.715989,id745,0.21354,GALAXY,-0.133397,1.585049
1.342582,-0.569279,-2.508303,-2.371572,-1.597985,-1.207801,-1.002521,id752,0.812624,STAR,-0.369228,-0.82512
-0.475716,-0.558063,0.763633,1.855077,1.973601,2.061869,2.117043,id756,0.812624,QSO,2.918517,-0.682256
1.404289,-0.539691,-0.308215,-0.335678,-0.251865,-0.176166,-0.070636,id745,1.411708,STAR,-0.36852,-0.827105
-0.292365,-0.542309,-3.083332,-2.522159,-2.031759,-1.75632,-1.547673,id756,1.411708,STAR,-0.367598,0.83832
-0.493678,-0.57258,-0.667387,-0.124837,0.197237,0.286904,0.293383,id756,0.21354,GALAXY,-0.286357,-0.681595
-0.387872,-0.54028,-0.950146,-0.551205,-0.297097,-0.171313,-0.052763,id756,1.411708,STAR,-0.367465,-0.650509
1.130688,-0.616614,0.288849,0.58066,0.67308,0.734641,0.766482,id752,-0.984627,STAR,-0.367979,1.778841
1.596987,1.931757,1.107074,0.714273,0.261188,0.101333,-0.03693,id1336,-1.583711,GALAXY,-0.097442,-0.821152
0.194523,-0.605295,0.931369,0.11638,-0.362704,-0.506936,-0.621815,id756,-0.984627,GALAXY,-0.048912,-0.622068
