@relation 'online_shoppers_intention-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.NumericToNominal-R12,13,14,15-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P90.0'

@attribute Administrative numeric
@attribute Administrative_Duration numeric
@attribute Informational numeric
@attribute Informational_Duration numeric
@attribute ProductRelated numeric
@attribute ProductRelated_Duration numeric
@attribute BounceRates numeric
@attribute ExitRates numeric
@attribute PageValues numeric
@attribute SpecialDay numeric
@attribute Month {Feb,Mar,May,Oct,June,Jul,Aug,Nov,Sep,Dec}
@attribute OperatingSystems {1,2,3,4,5,6,7,8}
@attribute Browser {1,2,3,4,5,6,7,8,9,10,11,12,13}
@attribute Region {1,2,3,4,5,6,7,8,9}
@attribute TrafficType {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}
@attribute VisitorType {Returning_Visitor,New_Visitor,Other}
@attribute Weekend {FALSE,TRUE}

@data
0,0,0,0,12,819.916667,0.005556,0.040833,0,0,May,1,1,2,3,Returning_Visitor,TRUE
0,0,0,0,12,417,0.1,0.125,0,0.6,May,2,5,1,3,Returning_Visitor,FALSE
0,0,0,0,10,211.833333,0,0.04,0,0,Dec,2,2,3,13,Returning_Visitor,FALSE
3,11.666667,0,0,39,557.245238,0.028947,0.052076,0,0.6,May,3,2,3,13,Returning_Visitor,FALSE
0,0,0,0,24,409.30303,0.008333,0.023611,0,0.6,May,3,2,3,3,Returning_Visitor,FALSE
0,0,0,0,61,1964.847222,0.021311,0.041066,0,0,Nov,3,2,2,13,Returning_Visitor,FALSE
7,149.916667,0,0,31,1539.791667,0,0.011728,19.1105,0,May,2,2,4,2,Returning_Visitor,FALSE
0,0,0,0,23,386.18,0.004348,0.016522,0,0,Jul,1,1,1,4,Returning_Visitor,FALSE
8,112,0,0,27,601.086415,0.012644,0.019985,0,0,Dec,1,1,2,8,Returning_Visitor,FALSE
0,0,0,0,3,51.5,0,0.066667,0,0,Mar,3,2,1,10,Returning_Visitor,TRUE
0,0,0,0,1,0,0.2,0.2,0,0,Nov,2,2,6,13,Returning_Visitor,TRUE
7,89.95,0,0,37,552.04,0.006977,0.017829,0,0,Aug,1,1,4,3,Returning_Visitor,FALSE
8,335.063636,3,738.083333,36,2228.707287,0.005854,0.010086,27.791491,0,Dec,1,1,3,2,New_Visitor,FALSE
6,35.1,0,0,138,6440.235256,0.001891,0.027317,0,0,June,2,2,3,3,Returning_Visitor,FALSE
0,0,0,0,2,69.5,0,0.1,0,0,Nov,4,5,9,11,New_Visitor,FALSE
15,1535.355556,0,0,43,3606.088889,0.00977,0.043951,0,0,Dec,2,2,1,1,Returning_Visitor,FALSE
0,0,0,0,35,1192.386111,0.005714,0.028571,0,0,Mar,2,4,2,2,Returning_Visitor,FALSE
1,54.4,0,0,1,101.272727,0,0.007042,0,0,Sep,2,2,4,2,Returning_Visitor,FALSE
5,69.333333,1,0,5,142,0,0.022222,0,0,Mar,2,2,3,2,New_Visitor,FALSE
0,0,0,0,12,218.5,0,0.045833,0,0,Mar,1,1,4,2,Returning_Visitor,FALSE
4,15,1,17,17,490,0,0.027273,15.664452,0,Mar,2,2,4,10,Returning_Visitor,FALSE
3,25.2,0,0,54,2008.807143,0.014423,0.013672,0,0,May,3,2,4,13,Returning_Visitor,FALSE
5,248.8,4,116,26,595.341667,0.026728,0.023763,10.170028,0.2,May,3,2,1,4,Returning_Visitor,FALSE
8,72.25,1,21.5,51,1124.693074,0.022807,0.03655,0,0,Mar,2,2,2,2,Returning_Visitor,FALSE
2,67.5,0,0,45,1660,0.022727,0.0375,0,0,Nov,2,5,1,1,Returning_Visitor,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Sep,2,4,4,4,Returning_Visitor,FALSE
0,0,1,7,10,672.514286,0,0.018182,60.712872,0,Sep,1,1,7,2,Returning_Visitor,FALSE
4,134.5,2,330,7,169.5,0.016667,0.018889,0,0.8,May,3,2,1,3,Returning_Visitor,FALSE
0,0,0,0,12,689.285714,0,0.058333,0,0,Mar,3,2,3,1,Returning_Visitor,TRUE
0,0,0,0,28,1202,0,0.014286,0,0,Mar,2,2,1,10,Returning_Visitor,FALSE
8,289,0,0,139,5107.034928,0.015444,0.044005,8.304904,0,Aug,2,2,2,1,Returning_Visitor,FALSE
9,739.125,0,0,19,1655.190476,0,0.022667,27.97007,0,Dec,1,1,7,2,New_Visitor,FALSE
13,140.55,1,24.7,149,8147.111565,0.011111,0.050692,0,0,Nov,2,2,3,2,Returning_Visitor,FALSE
5,243,3,106,22,1654.722222,0.028571,0.028214,31.178125,0,May,4,2,1,1,Returning_Visitor,FALSE
0,0,0,0,2,67,0,0.1,0,0,Mar,1,1,4,1,Returning_Visitor,FALSE
2,28,0,0,51,2587.766667,0,0.007435,21.474485,0,Nov,4,2,3,10,Returning_Visitor,FALSE
1,4,0,0,13,152.666667,0.033333,0.083333,0,0,May,2,2,3,6,Returning_Visitor,FALSE
1,4,3,148.5,5,185.833333,0,0.01875,0,0,Mar,2,2,7,2,Returning_Visitor,FALSE
5,448.5,4,52,81,2537.807082,0.013793,0.028675,0,0,Nov,3,2,3,2,Returning_Visitor,TRUE
10,130.625,0,0,20,707.166667,0,0.007222,0,0,Nov,4,1,1,3,Returning_Visitor,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Mar,2,2,4,1,Returning_Visitor,FALSE
0,0,0,0,16,360,0,0.01875,0,0,May,2,2,2,1,Returning_Visitor,FALSE
0,0,0,0,42,2385.666667,0.003333,0.035833,0,0,Jul,2,5,7,1,Returning_Visitor,FALSE
1,5.5,2,28,20,929.333333,0,0.015333,0,0,Dec,2,2,6,2,Returning_Visitor,FALSE
4,206.25,0,0,16,572.65,0,0.011111,10.177112,0,Sep,3,2,1,4,Returning_Visitor,TRUE
5,152.5,0,0,15,291.166667,0,0.02,0,0,Dec,4,1,1,2,New_Visitor,TRUE
4,94.866667,0,0,22,812.135714,0.008333,0.042708,18.086449,0,Jul,3,2,2,4,Returning_Visitor,FALSE
5,318,0,0,36,1837.966667,0.032895,0.044424,0,0.4,May,3,2,1,11,Returning_Visitor,FALSE
0,0,0,0,20,950.328571,0.072109,0.086508,0,1,May,2,2,4,1,Returning_Visitor,TRUE
0,0,0,0,18,476.177778,0.05,0.066667,1.718219,0,Aug,3,2,5,13,Returning_Visitor,FALSE
0,0,0,0,2,0,0.2,0.2,0,0,Mar,2,2,1,3,Returning_Visitor,FALSE
1,6,0,0,25,1177.506667,0.008333,0.0375,0,0,Oct,2,2,3,1,Returning_Visitor,FALSE
0,0,0,0,21,604.5,0,0.019048,0,0,Nov,2,2,1,13,New_Visitor,FALSE
0,0,3,82.5,9,143.375,0.016667,0.055556,0,0,Dec,3,2,6,2,Returning_Visitor,FALSE
0,0,0,0,38,2259.533333,0.002105,0.03655,0,0.2,May,2,2,1,3,Returning_Visitor,FALSE
0,0,1,1729,19,1401.083333,0.02,0.05,0,0,Dec,2,2,1,3,Returning_Visitor,FALSE
0,0,1,0,48,1062.812542,0,0.027254,0,0,Sep,1,1,4,2,Returning_Visitor,FALSE
5,77,0,0,94,3210.848218,0.002128,0.020922,0,0,Oct,2,2,3,2,Returning_Visitor,TRUE
3,87,0,0,10,320.5,0,0.015385,0,0,Feb,1,1,2,3,Returning_Visitor,FALSE
3,70.5,0,0,44,737.181935,0.005581,0.023137,0,0,Nov,1,1,4,1,Returning_Visitor,TRUE
3,95.6,0,0,10,337.1,0.008333,0.029167,0,0,Jul,1,1,9,3,Returning_Visitor,FALSE
4,115,0,0,53,861.333333,0.003636,0.008485,0,0,May,1,1,4,6,Returning_Visitor,TRUE
1,9,0,0,46,4084.393939,0,0.001795,0,0,Feb,2,2,8,4,Returning_Visitor,FALSE
4,100.066667,0,0,30,310.335556,0,0.000481,28.523956,0,Jul,2,2,5,2,Returning_Visitor,TRUE
1,63.5,0,0,7,58.9,0,0.025,0,0,Dec,1,1,2,2,New_Visitor,FALSE
2,22.9,0,0,145,5962.732411,0.002857,0.013265,0.780277,0,Nov,2,10,7,3,Returning_Visitor,TRUE
0,0,0,0,1,0,0.2,0.2,0,0,Feb,1,1,4,3,Returning_Visitor,FALSE
0,0,0,0,14,460,0,0.014286,0,0,May,2,2,3,2,Returning_Visitor,FALSE
7,109.5,0,0,25,349.69697,0,0.019048,0,0,Oct,1,1,1,2,Returning_Visitor,FALSE
0,0,0,0,16,687.384848,0,0.005208,29.462844,0,Nov,3,2,3,2,New_Visitor,TRUE
1,10,0,0,25,583.35,0,0.016,71.074356,0,Oct,1,1,1,2,Returning_Visitor,FALSE
13,662.339286,0,0,81,4284.422619,0.002299,0.022823,2.64762,0,Dec,1,1,6,2,Returning_Visitor,TRUE
0,0,0,0,15,176.766667,0.0125,0.051042,0,0,Nov,2,2,1,2,Returning_Visitor,FALSE
0,0,0,0,4,110,0,0.05,0,0,May,2,4,3,1,Returning_Visitor,FALSE
5,109.4,4,93.6,10,427.066667,0,0.003125,0,0,Nov,3,2,2,6,Returning_Visitor,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Nov,3,2,3,10,Other,FALSE
4,147.333333,0,0,19,407.833333,0,0.004348,0,0,May,2,2,7,2,New_Visitor,FALSE
4,76,0,0,39,1936.55,0.004762,0.02381,5.513976,0,Mar,4,1,3,2,Returning_Visitor,FALSE
1,0,0,0,10,645.2,0.03,0.05,0,0,Jul,3,2,4,1,Returning_Visitor,FALSE
4,364.5,0,0,27,955.525,0.013333,0.022222,0,0,Nov,3,2,3,1,Returning_Visitor,TRUE
0,0,0,0,18,668.25,0.022222,0.035556,0,0.2,May,3,2,1,2,Returning_Visitor,FALSE
0,0,0,0,1,0,0.2,0.2,0,0.6,May,1,1,2,3,Returning_Visitor,FALSE
0,0,0,0,13,555.502941,0.036364,0.020096,47.991993,0,Nov,4,2,4,2,New_Visitor,FALSE
0,0,0,0,48,755.175,0.000473,0.026312,13.18501,0,Dec,2,2,4,10,Returning_Visitor,FALSE
0,0,0,0,12,329.214286,0.016667,0.028704,0,0,Nov,3,2,1,2,Returning_Visitor,FALSE
4,56.5,2,8,9,198.25,0.018182,0.036364,0,0,Nov,1,8,3,6,Returning_Visitor,TRUE
2,70.6,0,0,23,2244.416667,0,0.009091,0,0,Aug,2,2,3,3,Returning_Visitor,FALSE
1,63,0,0,24,777,0.025,0.045833,5.24475,0.4,May,2,2,1,13,Returning_Visitor,FALSE
0,0,0,0,8,883.933333,0,0.014286,0,0,Nov,1,1,1,4,New_Visitor,TRUE
5,229.333333,4,115.25,28,1474.530303,0,0.005429,0,0,Nov,1,1,1,2,Returning_Visitor,FALSE
0,0,0,0,9,125.25,0,0.033333,0,0,Nov,2,10,4,3,Returning_Visitor,TRUE
0,0,0,0,74,3237.114166,0.002703,0.009114,0,0,Nov,4,2,3,3,Returning_Visitor,FALSE
18,198.99,2,28.2,53,2387.596667,0,0.007692,0,0,Oct,2,2,1,2,Returning_Visitor,FALSE
0,0,2,76.6,377,11729.40804,0.032877,0.045246,0,0,Jul,3,2,1,3,Returning_Visitor,FALSE
5,65,0,0,48,1142.666667,0,0.00625,0,0,May,2,5,7,3,Returning_Visitor,FALSE
1,4.333333,0,0,3,14.333333,0.006667,0.074444,0,0,June,4,2,1,5,Returning_Visitor,TRUE
10,175.333333,0,0,88,2638.244429,0.004396,0.022465,8.275834,0,Nov,1,1,8,10,Returning_Visitor,TRUE
0,0,0,0,39,2808.666667,0,0.010256,0,0,Mar,2,2,1,10,Returning_Visitor,FALSE
0,0,0,0,10,246.933333,0.006667,0.01,0,0.4,May,1,1,8,2,Returning_Visitor,FALSE
7,165.1,0,0,63,1422.103333,0,0.008766,0,0,June,4,2,2,3,Returning_Visitor,FALSE
0,0,3,588,153,5315.211905,0.006174,0.020586,0,0,Nov,2,2,1,3,Returning_Visitor,FALSE
8,114.5,0,0,36,513.4,0.004167,0.035238,16.09065,0.6,May,2,2,1,3,Returning_Visitor,FALSE
1,8,0,0,32,690.254167,0.012121,0.029835,10.056086,0,Dec,1,1,3,2,Returning_Visitor,TRUE
0,0,0,0,28,1028.116667,0,0.008929,0,0,Mar,2,4,1,2,Returning_Visitor,FALSE
2,115.2,0,0,7,211.1,0,0,0,0,Jul,2,2,2,2,New_Visitor,TRUE
0,0,0,0,52,1624.223485,0.007692,0.032692,0,1,May,2,2,7,6,Returning_Visitor,TRUE
0,0,0,0,3,52,0,0.066667,0,0,Mar,2,5,8,3,Returning_Visitor,TRUE
0,0,0,0,27,392.466667,0,0.007407,0,0,May,1,1,3,2,Returning_Visitor,FALSE
0,0,0,0,12,201.666667,0.018182,0.054545,0,0.6,May,2,2,3,1,Returning_Visitor,FALSE
5,81.666667,0,0,43,875,0,0.009762,0,0,May,2,2,5,4,Returning_Visitor,FALSE
0,0,0,0,27,925.333333,0.003704,0.025926,0,0.6,Feb,4,1,3,3,Returning_Visitor,FALSE
6,139,0,0,29,491.1,0,0.003333,0,0,Mar,2,2,1,2,New_Visitor,TRUE
0,0,0,0,22,348.5,0.004545,0.022727,0,0,Nov,2,2,1,1,Returning_Visitor,TRUE
2,95,0,0,10,203.416667,0,0.016667,0,0,May,2,2,3,2,Returning_Visitor,TRUE
0,0,0,0,22,622.25,0.00303,0.006061,0,0.2,Feb,2,5,1,4,Returning_Visitor,FALSE
0,0,0,0,1,0,0.1,0.2,0,0,Jul,2,2,2,5,New_Visitor,TRUE
6,46.272727,0,0,113,2216.66832,0.005357,0.014345,8.353508,0.2,May,2,2,1,1,Returning_Visitor,FALSE
5,63,0,0,27,458.5,0,0.005952,0,0,Dec,2,2,6,2,New_Visitor,TRUE
3,96,0,0,12,175.175,0.02,0.031111,0,0,Dec,3,2,8,2,New_Visitor,FALSE
1,85,0,0,14,306.5,0,0.004444,0,0,Mar,2,2,3,2,Returning_Visitor,FALSE
0,0,0,0,9,198.133333,0,0.053333,0,0,Nov,1,1,9,2,Returning_Visitor,FALSE
0,0,0,0,22,480.966667,0.004848,0.026653,0,0,Mar,2,2,4,3,Returning_Visitor,FALSE
5,68.5,2,34.25,385,14505.72725,0.00731,0.01352,0,0,Nov,3,2,3,3,Returning_Visitor,FALSE
5,504,0,0,13,922.083333,0.023529,0.023529,0,0,Mar,3,2,8,2,Returning_Visitor,FALSE
0,0,0,0,4,107,0,0.05,0,0.8,May,2,5,3,2,Returning_Visitor,FALSE
4,62.666667,0,0,82,1805.277375,0,0.023296,0,0,Dec,1,1,2,2,Returning_Visitor,FALSE
3,28.125,0,0,50,1032.008333,0.008,0.014133,0,0,Nov,2,2,1,2,Returning_Visitor,TRUE
7,667.25,0,0,4,101.8,0,0.01,0,0,Jul,3,2,6,2,Returning_Visitor,TRUE
0,0,0,0,32,875.933333,0.031771,0.072396,0,0,Oct,1,1,3,3,Returning_Visitor,FALSE
0,0,0,0,9,79.75,0,0.025,0,0,Dec,2,4,1,2,Returning_Visitor,TRUE
0,0,0,0,1,36,0,0.066667,0,0,Mar,3,2,6,2,Returning_Visitor,TRUE
10,1455.35,0,0,66,1646.612195,0.007143,0.029065,0,0,Nov,2,2,1,2,Returning_Visitor,TRUE
0,0,0,0,1,0,0.2,0.2,0,0,Nov,1,1,6,1,Returning_Visitor,TRUE
0,0,0,0,10,155.9,0.02,0.04,0,0,Jul,2,2,6,20,Returning_Visitor,FALSE
0,0,0,0,18,1844.416667,0,0.023529,28.527882,0,May,3,7,3,4,Returning_Visitor,FALSE
5,134.75,3,16,165,6323.853465,0.010654,0.028041,3.512853,0,Nov,1,1,1,2,Returning_Visitor,FALSE
3,61,0,0,19,573.657143,0.036842,0.04,0,0,Mar,1,1,2,1,Returning_Visitor,FALSE
5,248.916667,0,0,12,1581.5,0.003704,0.026852,63.149859,0,Dec,2,2,1,8,Returning_Visitor,FALSE
1,227.6,0,0,27,1301.3,0.02069,0.022414,5.904408,0,Aug,2,2,1,3,Returning_Visitor,FALSE
0,0,0,0,9,183.333333,0,0.022222,0,0,Dec,2,10,4,1,Returning_Visitor,FALSE
7,58.6,0,0,20,585.883333,0.017391,0.044638,0,0,Jul,1,1,1,4,Returning_Visitor,TRUE
4,54.933333,0,0,35,1126.666667,0,0.005952,28.328866,0,Jul,2,2,7,2,Returning_Visitor,FALSE
0,0,0,0,11,499,0,0.018182,0,0,Dec,4,1,1,2,Returning_Visitor,FALSE
0,0,0,0,26,1380.833333,0,0.018056,0,0,May,2,6,4,13,Returning_Visitor,FALSE
0,0,0,0,15,814,0.030769,0.053846,0,0,Nov,1,8,7,1,Returning_Visitor,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Dec,2,2,1,1,Returning_Visitor,TRUE
0,0,0,0,1,0,0.2,0.2,0,0,Feb,3,2,3,3,Returning_Visitor,FALSE
0,0,0,0,24,985,0.070833,0.0875,0,0,June,3,2,6,13,Returning_Visitor,FALSE
8,102,0,0,83,1495.580952,0,0.002299,82.123678,0,May,4,1,7,4,New_Visitor,TRUE
1,67.5,1,0,11,816.5,0,0.016667,0,0,Dec,1,1,6,2,New_Visitor,FALSE
0,0,0,0,8,100,0,0.025,0,0,Mar,1,1,7,1,Returning_Visitor,FALSE
1,21,0,0,11,385,0,0.02,0,0.6,May,2,2,3,2,Returning_Visitor,FALSE
2,123,0,0,7,873,0,0.011111,0,0,Mar,1,2,2,2,Returning_Visitor,FALSE
10,317.958333,4,821,20,781.425,0,0.002667,0,0,Dec,2,2,7,2,Returning_Visitor,FALSE
0,0,5,161.5,60,2789.166667,0,0.005026,31.318857,0,May,2,2,6,2,Returning_Visitor,FALSE
1,0,1,313,6,135.5,0.028571,0.085714,0,1,May,2,2,7,2,Returning_Visitor,TRUE
0,0,0,0,8,370,0,0.025,0,0,May,2,2,3,14,Returning_Visitor,TRUE
0,0,0,0,13,597.625,0.007692,0.034615,0,0,Nov,3,2,1,8,Returning_Visitor,FALSE
0,0,0,0,9,154.8,0.018182,0.030303,20.749351,0,Nov,1,1,4,2,Returning_Visitor,FALSE
4,66,0,0,52,1423.790476,0.005455,0.008485,0,0,Dec,2,4,7,20,Returning_Visitor,FALSE
1,32.285714,0,0,8,1236.2,0,0.028571,0,0,Mar,3,2,1,3,Returning_Visitor,FALSE
0,0,0,0,2,35.5,0,0.1,0,0,Dec,2,6,1,11,Returning_Visitor,TRUE
0,0,0,0,24,386.75,0.016667,0.051389,0,0,Nov,2,4,1,3,Returning_Visitor,FALSE
2,209.5,0,0,102,2436.287879,0.051797,0.060539,0,0,Oct,3,2,1,13,Returning_Visitor,FALSE
0,0,0,0,6,149.5,0,0.066667,0,0.4,May,2,2,1,13,Returning_Visitor,FALSE
0,0,0,0,9,389,0,0.011111,0,0,Mar,2,2,3,3,Returning_Visitor,TRUE
2,67.75,0,0,11,417.989286,0.016667,0.043148,0,0,Nov,3,2,1,2,Returning_Visitor,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Dec,2,4,1,1,Returning_Visitor,TRUE
9,1294.9,1,32.666667,37,1012.233333,0,0.00691,33.312206,0,Nov,2,2,1,2,Returning_Visitor,FALSE
5,89.625,2,11.5,31,1063.420238,0.011111,0.019962,0,0,Nov,3,2,1,13,Returning_Visitor,TRUE
6,407.25,4,67.5,14,195.416667,0,0.030435,0,0,Dec,3,2,8,1,Returning_Visitor,FALSE
10,138.75,0,0,69,2464.294444,0,0.000544,0,0,Dec,2,2,3,2,New_Visitor,FALSE
7,236.4,0,0,14,341.7,0.059649,0.084211,0,0,June,3,2,4,3,Returning_Visitor,FALSE
14,184.155674,7,360.166667,127,3418.696975,0.003901,0.013701,2.136326,0,Dec,3,2,4,2,Returning_Visitor,TRUE
0,0,0,0,15,275.5,0.004444,0.031111,0,0,Nov,2,2,3,2,Returning_Visitor,FALSE
5,45,0,0,59,1100.475,0,0.008392,24.752653,0,Nov,2,5,4,2,Returning_Visitor,TRUE
6,79.1,0,0,25,434.671429,0,0.007143,0,0,May,2,2,1,2,New_Visitor,TRUE
0,0,0,0,19,1195.375,0.004211,0.03609,0,0,Nov,2,2,4,13,Returning_Visitor,FALSE
0,0,0,0,6,192,0,0.04,0,0,Mar,2,10,4,3,Returning_Visitor,FALSE
0,0,0,0,14,148,0.064286,0.1,0,0.6,May,4,1,4,1,Returning_Visitor,FALSE
3,14.5,2,907.833333,28,804.283333,0.014141,0.044156,7.945806,0,Mar,2,5,9,2,Returning_Visitor,FALSE
0,0,0,0,10,379.083333,0,0.0125,0,0,Dec,3,12,1,1,Returning_Visitor,TRUE
1,19.2,0,0,22,443.833333,0,0.002381,0,0,Nov,1,1,2,3,Returning_Visitor,FALSE
0,0,1,36.5,40,1121.416667,0,0.022195,0,0,Nov,2,2,3,2,Returning_Visitor,FALSE
8,183.083333,1,40.5,349,6879.801826,0.000568,0.004306,1.625051,0,Nov,4,2,9,10,Returning_Visitor,FALSE
5,318.266667,0,0,23,1037.833333,0.017857,0.039286,0,0,Aug,2,2,5,1,Returning_Visitor,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Dec,1,1,1,2,New_Visitor,FALSE
0,0,0,0,5,111,0,0.04,0,0,Nov,2,2,1,2,New_Visitor,FALSE
2,56.4,1,0,72,2101.467925,0.00614,0.029987,0,0,Aug,1,1,2,2,Returning_Visitor,FALSE
0,0,0,0,29,743.166667,0,0.006897,0,0,May,1,1,6,4,Returning_Visitor,FALSE
14,515.982143,0,0,170,7128.75377,0.003371,0.016081,4.470298,0,Nov,2,2,7,1,Returning_Visitor,TRUE
3,180.133333,1,34.2,27,242.45,0.090323,0.122427,0,0,Oct,3,2,1,13,Returning_Visitor,FALSE
6,171.119048,0,0,22,472.752381,0.028571,0.029762,0,0,Nov,3,2,2,4,Returning_Visitor,FALSE
6,177.6,0,0,17,284.783333,0.009091,0.022727,31.991814,0,Oct,4,1,1,2,Returning_Visitor,FALSE
0,0,0,0,10,677.666667,0,0.022222,0,0,Dec,4,1,3,2,New_Visitor,FALSE
4,115.333333,0,0,64,1588.944444,0.003077,0.009214,0,0,Mar,2,2,1,1,Returning_Visitor,FALSE
0,0,1,48,32,1808.333333,0.05,0.075208,12.484125,0.4,May,3,2,8,1,Returning_Visitor,FALSE
1,41.5,0,0,12,237.5,0.015385,0.046154,0,0,Dec,1,8,2,1,Returning_Visitor,FALSE
0,0,0,0,10,105.616667,0.022222,0.048148,0,0,Nov,1,1,3,2,Returning_Visitor,FALSE
1,98.5,0,0,5,436.5,0,0.016667,0,0,Mar,7,1,1,2,New_Visitor,TRUE
0,0,0,0,37,2960.971429,0.036937,0.062012,0,0,Oct,1,1,1,1,Returning_Visitor,FALSE
0,0,0,0,6,4,0.142857,0.157143,0,0.6,May,3,2,1,13,Returning_Visitor,FALSE
