@relation 'table-weka.filters.unsupervised.attribute.Remove-R1,13,16,18-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P10.0'

@attribute ra numeric
@attribute dec numeric
@attribute u numeric
@attribute g numeric
@attribute r numeric
@attribute i numeric
@attribute z numeric
@attribute run numeric
@attribute rerun numeric
@attribute camcol numeric
@attribute field numeric
@attribute class {STAR,GALAXY,QSO}
@attribute redshift numeric
@attribute mjd numeric

@data
169.489916,67.696781,16.79974,15.2644,14.69881,14.50616,14.40767,1350,301,6,330,STAR,-0.000159,54498
232.1209,54.220646,18.55894,17.30486,16.61341,16.2307,15.99158,1345,301,1,532,GALAXY,0.102479,52442
190.061073,0.095427,19.47143,18.35173,18.127,18.04925,17.97866,752,301,4,311,STAR,-0.000024,54562
188.186379,0.900018,18.95023,17.73669,17.20743,16.88857,16.69733,752,301,6,298,GALAXY,0.094081,51941
162.766232,1.222503,18.43892,17.60399,17.27441,17.15337,17.09432,756,301,6,313,STAR,0.000386,54208
146.907991,60.332775,18.6901,16.83543,15.95208,15.58568,15.27113,1345,301,5,243,GALAXY,0.093654,51915
203.200684,64.533725,19.18257,18.02149,17.30694,16.89503,16.60548,1345,301,5,414,GALAXY,0.100153,52056
216.007843,-0.773571,18.91312,17.68974,17.08591,16.72127,16.4757,752,301,2,484,GALAXY,0.052235,51613
112.677038,35.737972,18.65791,17.74322,17.36325,17.20524,17.15621,1350,301,3,31,STAR,0.000682,53446
232.633737,54.093573,19.22428,18.02257,17.57993,17.37189,17.20353,1345,301,1,534,GALAXY,0.02486,52376
27.121732,13.152111,19.01507,16.98213,16.0214,15.58422,15.25278,1035,301,2,141,GALAXY,0.068577,51820
247.851063,-0.813076,19.4949,18.45737,18.26331,18.33521,19.69206,752,301,2,697,GALAXY,0.058989,51671
176.180967,64.583086,17.8573,15.92303,15.04134,14.60837,14.28197,1302,301,3,351,GALAXY,0.046021,52316
221.768661,0.493656,19.50523,18.08859,17.06812,16.59314,16.23049,752,301,5,522,GALAXY,0.171473,51662
186.859477,-0.864566,18.09883,17.18917,16.90491,16.69702,16.58069,756,301,1,474,GALAXY,0.040509,51990
120.797844,46.850961,18.15727,16.96597,16.79,16.69276,16.66454,1402,301,4,106,STAR,0.00029,56935
171.344081,-0.120913,18.00806,16.77757,16.17009,15.8748,15.63812,756,301,3,371,GALAXY,0.029541,51614
151.163866,0.281522,18.07747,16.51774,15.78822,15.41271,15.10864,756,301,4,236,GALAXY,0.021693,51910
162.611024,-0.890845,17.33813,15.96866,15.49672,15.33282,15.27834,756,301,1,312,STAR,-0.000047,54213
242.872733,-0.640961,19.59524,17.67892,16.73691,16.30513,15.92995,752,301,2,663,GALAXY,0.060714,51690
118.838142,43.802934,19.24615,17.50161,16.69884,16.31026,15.98532,1350,301,3,93,GALAXY,0.046553,51883
193.040572,-1.642699,18.71251,16.93618,16.02791,15.61825,15.30681,1140,301,5,268,GALAXY,0.081145,51997
163.456453,0.729595,19.02969,18.01302,17.69163,17.54955,17.52267,756,301,5,318,STAR,0.00029,51909
14.722678,14.506484,18.53648,17.46705,17.15808,16.92234,16.80224,1035,301,3,60,GALAXY,0.04742,51871
122.523983,48.160694,18.14683,17.09184,16.67182,16.32711,16.15876,1350,301,4,127,GALAXY,0.056002,51885
188.295487,64.829743,19.53406,17.88186,16.96885,16.53099,16.18862,1302,301,3,386,GALAXY,0.095306,52317
156.478792,62.47848,19.33036,18.10471,17.48,17.11676,16.94742,1302,301,4,291,GALAXY,0.138195,52375
202.043258,67.552013,18.09009,16.94571,16.57608,16.4407,16.39292,1350,301,6,412,STAR,-0.00035,54573
184.932593,-1.557494,19.58979,17.79476,16.9007,16.5241,16.19501,1231,301,6,105,GALAXY,0.087974,52313
182.074001,-0.48405,18.75447,17.60005,17.18966,17.05655,17.0014,756,301,2,442,STAR,0.000102,51615
232.863489,56.902984,18.19597,17.97829,18.0062,17.86243,17.94382,1345,301,6,522,QSO,0.57538,53437
165.013366,1.227804,19.08858,17.81731,17.1113,16.75142,16.45948,756,301,6,329,GALAXY,0.102804,51908
155.232215,1.236066,18.59403,16.49031,15.55962,15.1101,14.78392,756,301,6,263,GALAXY,0.070906,51999
162.936796,-0.000184,18.72679,17.40929,16.90524,16.7261,16.63585,756,301,3,315,STAR,0.000529,54213
186.102343,-0.839704,18.91836,17.45382,16.88379,16.68707,16.57929,756,301,1,469,STAR,0.000322,54140
184.183667,-3.430274,17.21071,15.53125,14.72167,14.32354,14.01694,1140,301,1,209,GALAXY,0.062023,52313
162.119589,0.660777,19.51074,17.67424,16.7759,16.3604,16.06209,756,301,5,309,GALAXY,0.083564,51910
190.558799,-1.648443,18.08301,16.95363,16.50928,16.36243,16.30238,1140,301,5,251,STAR,0.00005,51999
187.763132,0.048976,18.29014,16.88035,16.29732,15.99593,15.81486,752,301,4,295,GALAXY,0.041509,51941
129.764439,0.977947,18.94949,17.29111,16.70646,16.48729,16.38409,1239,301,6,63,STAR,0.000335,56745
55.983845,-5.132973,16.46893,16.83317,17.3166,17.67336,17.95706,1045,301,6,147,STAR,-0.000028,53401
249.444807,0.559359,18.71907,17.56114,17.31301,17.23112,17.22364,752,301,5,707,STAR,0.000184,51671
205.457642,65.530937,18.30396,17.38676,17.14202,17.05394,17.08054,1412,301,2,225,STAR,-0.000971,54924
189.750831,0.085321,18.57187,17.56417,17.22917,17.10789,17.06586,752,301,4,308,STAR,0.00012,54567
149.267396,0.392245,17.91672,16.36971,15.81155,15.60741,15.51737,756,301,4,223,STAR,0.00025,54468
222.86065,-0.78533,17.84366,16.3761,15.77057,15.53896,15.42234,752,301,2,530,STAR,-0.000097,54653
141.823569,58.338948,17.81487,16.8404,17.48175,16.14095,15.81699,1345,301,5,221,STAR,-0.000003,51911
210.781132,0.033545,19.3385,18.15946,17.65294,17.32034,17.12825,752,301,4,449,GALAXY,0.131119,51688
184.063035,-1.725217,19.21785,18.10848,17.48395,17.03346,16.83037,1140,301,5,208,GALAXY,0.122542,52313
203.420354,65.79627,19.18262,18.20677,17.96374,17.86001,17.84178,1412,301,2,219,STAR,0.000117,54616
122.032434,45.217811,19.36969,19.13092,19.05526,18.84841,18.80603,1331,301,5,127,QSO,1.784018,51877
225.168117,-0.79492,19.49488,18.41742,18.58294,18.7746,18.89294,752,301,2,545,STAR,-0.000645,54970
166.723535,1.249792,18.83895,17.12937,16.26866,15.79532,15.45175,756,301,6,340,GALAXY,0.105152,52374
201.543146,0.08555,19.14795,17.08812,16.1367,15.68919,15.3414,752,301,4,387,GALAXY,0.081518,51959
195.562001,-3.496407,18.62721,16.65821,15.68171,15.26127,14.90967,1140,301,1,285,GALAXY,0.086723,51692
171.534403,-0.011003,17.65238,16.32387,15.79355,15.60703,15.53759,756,301,3,372,STAR,-0.00002,54891
177.925981,-0.922675,19.07044,17.54625,16.60083,16.17267,15.81688,756,301,1,415,GALAXY,0.135972,51943
128.116918,51.123855,19.37765,18.34397,18.03419,17.91954,17.86471,1411,301,1,33,STAR,-0.000062,56693
222.235025,-0.727208,17.68816,16.49591,16.0479,15.77757,15.6716,752,301,2,525,GALAXY,0.028071,51662
149.101738,60.904247,19.32284,19.14233,18.69501,18.59379,18.73494,1345,301,5,251,QSO,1.262588,52282
120.242335,45.175098,19.17534,18.29213,17.93408,17.66116,17.64815,1350,301,3,105,QSO,1.693324,56269
192.691306,-3.439842,18.68084,17.95865,17.72439,17.46521,17.58348,1140,301,1,266,GALAXY,0.119406,51997
207.723139,63.86258,19.50768,17.89494,17.0623,16.63843,16.32681,1345,301,5,427,GALAXY,0.106433,52079
215.850605,-0.764446,19.52861,17.69474,16.79898,16.2515,15.88424,752,301,2,483,GALAXY,0.13689,51613
246.498688,-0.680858,19.26312,17.34657,16.42738,15.98644,15.61321,752,301,2,688,GALAXY,0.047686,52000
178.011916,64.77032,17.23751,16.08045,15.84369,15.76911,15.75339,1302,301,3,357,STAR,-0.000125,52316
199.039137,66.373222,18.86715,17.37462,16.6295,16.22985,15.96728,1412,301,2,206,GALAXY,0.12259,51988
190.058268,-3.420646,17.16353,15.52128,14.91332,14.73029,14.63597,1140,301,1,248,STAR,-0.000066,54585
183.373497,-1.031072,18.98647,17.77657,17.49191,17.37541,17.35858,756,301,1,451,STAR,-0.000055,51615
126.607871,47.719618,18.22679,17.30696,17.00163,16.87394,16.86108,1331,301,3,153,STAR,0.000049,55277
14.399753,14.601499,17.32164,15.94063,15.26906,14.85143,14.59428,1035,301,3,58,GALAXY,0.077225,51821
162.443898,1.129428,18.65255,17.75319,17.42058,17.13047,17.14532,756,301,6,311,GALAXY,0.098434,52353
122.480952,45.551691,18.08845,17.08281,16.76942,16.6366,16.59518,1331,301,5,130,STAR,-0.000177,56713
195.697887,0.288959,17.32767,16.45438,16.16633,16.04772,16.0199,745,301,4,247,STAR,0.000137,55589
248.704637,0.803723,18.9828,17.45727,16.59957,16.11219,15.77914,745,301,5,601,GALAXY,0.090882,51671
123.371914,46.470236,18.80632,17.35147,16.49282,16.16994,15.85337,1331,301,5,138,GALAXY,0.048551,51868
260.375716,26.567195,17.75609,16.82918,16.56958,16.47749,16.44697,1345,301,1,762,STAR,-0.000826,52427
208.081974,63.823471,19.5606,18.28771,17.7852,17.45067,17.25069,1345,301,5,429,GALAXY,0.097801,52353
242.438398,1.171876,17.91883,16.78357,16.36801,16.02861,15.8854,745,301,6,559,GALAXY,0.055552,51690
171.669457,-1.693796,16.49226,15.15781,14.57813,14.21613,14.00485,1140,301,5,125,GALAXY,0.046405,52375
162.930237,-0.445918,18.14033,16.69977,16.11245,15.87953,15.77218,756,301,2,315,STAR,-0.000126,54208
171.395796,-0.917,18.74537,17.07174,16.3585,16.05557,15.90525,756,301,1,371,STAR,0.000697,54891
256.162354,58.963543,18.97708,18.62735,18.43853,18.47896,18.40719,1336,301,1,49,QSO,0.916814,51703
184.353008,-1.736801,19.43036,18.26814,17.70304,17.36375,17.18789,1140,301,5,210,GALAXY,0.088079,52313
234.629678,53.052905,19.10262,18.19959,17.89934,17.76161,17.74775,1345,301,1,544,STAR,-0.000675,54976
193.427516,-3.478561,18.30502,17.90634,18.12701,18.37335,18.64885,1140,301,1,270,STAR,-0.000171,51997
251.828828,63.407805,19.53634,18.0406,17.11405,16.69378,16.37235,1336,301,1,17,GALAXY,0.104605,51699
160.656828,-0.14106,17.94616,16.43431,15.85778,15.6287,15.55221,756,301,3,299,STAR,0.000158,54213
13.957647,14.440116,19.20168,18.02483,17.53684,17.19571,16.99338,1035,301,3,55,GALAXY,0.103669,51821
167.509236,-0.970116,19.02336,17.0235,16.00804,15.5729,15.19605,756,301,1,345,GALAXY,0.111135,51900
172.324951,-1.475901,18.61393,17.7091,17.44997,17.35994,17.31031,1231,301,6,20,STAR,-0.00047,54891
183.521352,1.034773,19.3159,18.90492,18.81032,18.46701,18.21514,752,301,6,267,QSO,0.492528,52023
208.553717,66.694005,17.85893,16.84776,16.51541,16.33092,16.25349,1350,301,6,430,GALAXY,0.024973,51989
205.043465,1.25315,18.42588,17.49914,17.30557,17.24573,17.26021,1404,301,6,41,STAR,0.00002,51671
231.936105,57.190031,19.44288,17.97712,17.21725,16.8438,16.6109,1345,301,6,518,GALAXY,0.102485,53437
187.071885,-1.115831,18.48582,17.47009,17.15168,16.96801,16.89747,752,301,1,291,GALAXY,0.03259,51990
139.446756,56.698725,19.35432,18.41808,18.12996,18.03666,18.00637,1345,301,4,208,STAR,-0.000452,56625
193.601771,64.699263,19.134,17.35031,16.33575,15.87549,15.49775,1302,301,3,401,GALAXY,0.117064,52072
178.005076,-0.470307,17.78842,16.52505,15.96703,15.62261,15.42707,756,301,2,415,GALAXY,0.077112,51943
164.781997,1.05098,19.41266,19.28043,19.00207,18.88373,18.93424,756,301,6,327,QSO,1.331445,51908
182.352323,-0.460776,19.03573,17.32583,16.70751,16.48936,16.37528,756,301,2,444,STAR,-0.000009,51615
162.54715,-1.002057,19.48367,18.1998,17.55522,17.15322,16.93752,756,301,1,312,GALAXY,0.104561,51910
233.367344,0.430495,18.86234,17.19269,16.34147,15.86481,15.4981,752,301,5,600,GALAXY,0.039135,51663
159.324974,1.162018,18.64085,17.41949,16.96307,16.71607,16.61312,756,301,6,291,GALAXY,0.034946,52317
164.960484,0.369267,19.07829,17.92929,17.9954,18.05893,18.10807,756,301,4,328,STAR,-0.000319,51908
186.672625,-0.334745,19.10057,18.95741,18.82275,18.80048,18.31625,752,301,3,288,QSO,0.353266,51990
197.149121,0.037211,19.45225,18.19144,17.57734,17.1347,16.93178,752,301,4,358,GALAXY,0.081498,51986
188.09573,0.031873,19.06051,17.42766,16.58445,16.19048,15.8707,752,301,4,297,GALAXY,0.081148,51941
184.676762,0.059442,17.72835,16.19783,15.66073,15.51586,15.43615,752,301,4,275,STAR,0.000175,54140
178.522722,-1.510858,19.05686,17.45437,16.5396,16.11254,15.76796,1231,301,6,62,GALAXY,0.127195,52370
245.28167,1.177758,19.52551,18.07914,17.3061,16.86974,16.54156,745,301,6,578,GALAXY,0.133001,51693
196.879985,68.037112,17.61697,16.61245,16.24511,16.10209,16.07652,1350,301,6,399,STAR,-0.000344,51988
173.056673,-0.031737,16.60116,15.01175,14.51091,14.33028,14.24538,756,301,3,382,STAR,-0.000058,54471
175.323081,-0.086502,18.785,17.61148,16.94179,16.5429,16.26103,756,301,3,397,GALAXY,0.118563,51959
19.853696,14.194948,19.31174,19.20089,18.97697,18.81029,18.76192,1035,301,3,94,QSO,1.459014,51821
167.146633,0.216066,18.39635,17.15434,16.74975,16.47535,16.29774,756,301,4,343,GALAXY,0.0421,51900
182.469701,-0.547478,19.08678,17.23928,16.40299,16.01518,15.70262,756,301,2,445,GALAXY,0.050477,51999
59.851606,-4.665595,18.05356,16.99542,16.68938,16.54909,16.49989,1045,301,6,173,STAR,-0.000132,56598
119.810428,41.124582,19.54258,19.32877,19.20358,19.1222,19.00606,1345,301,2,74,QSO,1.959128,51882
255.556448,59.501502,19.44351,17.97058,17.16128,16.6818,16.30262,1336,301,1,45,GALAXY,0.088786,51703
162.289475,-0.908549,18.66761,16.83642,15.95352,15.51473,15.16474,756,301,1,310,GALAXY,0.038042,51909
208.004069,66.838697,18.64453,16.70332,15.81877,15.39013,15.06569,1350,301,6,428,GALAXY,0.068015,56717
130.36932,51.606658,19.12875,17.30063,16.46113,16.025,15.70276,1345,301,4,159,GALAXY,0.057128,51877
183.267155,-1.841847,18.1242,16.30088,15.65349,15.44488,15.34665,1140,301,5,203,STAR,0.00006,52367
162.632526,0.360591,18.52429,17.31389,16.68436,16.33528,16.08557,756,301,4,313,GALAXY,0.038422,51910
170.330862,64.513745,18.8693,16.65626,15.74427,15.40952,15.23088,1302,301,4,335,STAR,-0.000053,54942
112.792074,35.852405,18.99835,17.40977,16.78591,16.52324,16.51442,1350,301,3,32,STAR,0.000078,53446
148.145409,0.249959,18.6695,17.27253,16.70132,16.3242,16.04939,756,301,4,216,GALAXY,0.081362,51633
236.708433,0.521305,19.44214,18.41232,18.04152,17.90393,17.86111,752,301,5,622,STAR,-0.000398,51691
170.740544,64.595622,18.62269,17.20179,16.59441,16.20957,15.98061,1302,301,4,336,GALAXY,0.054985,52370
125.871484,47.534774,18.23626,17.8086,17.81346,17.6846,17.75667,1345,301,3,125,QSO,0.628119,56990
171.268659,1.12282,17.57483,16.40734,16.01598,15.86502,15.81603,756,301,6,370,STAR,0.000262,51614
254.363623,61.914004,18.86537,18.50788,18.83573,19.0392,19.18498,1336,301,2,29,STAR,-0.0004,51695
132.473065,0.919466,19.04245,17.09803,16.18526,15.72472,15.36897,1239,301,6,81,GALAXY,0.058214,51912
137.385213,56.217333,18.64039,16.78277,15.84825,15.41961,15.09523,1345,301,5,200,GALAXY,0.082923,51908
254.390349,61.03539,18.11674,16.81637,16.172,15.81264,15.55575,1336,301,1,34,GALAXY,0.054463,51695
178.174809,-3.366453,17.73028,17.03731,16.76942,16.40947,16.38904,1140,301,1,169,GALAXY,0.107788,52370
162.630752,0.760602,18.24421,16.78687,15.97619,15.54994,15.22051,756,301,5,313,GALAXY,0.096391,51909
222.718615,-0.774877,18.99833,17.58197,16.86536,16.6126,16.44872,752,301,2,529,STAR,-0.000155,51662
163.383157,0.783738,19.55894,19.34759,19.20416,19.08419,19.28686,756,301,5,318,QSO,1.478902,51909
212.626456,-0.708783,19.59975,19.42293,19.41884,19.08538,19.17733,752,301,2,461,QSO,1.685386,51688
243.800627,0.81346,18.98141,17.65929,17.21067,17.04889,17.00209,745,301,5,568,STAR,-0.000078,51693
233.147748,0.593394,19.40572,18.20468,17.57117,17.20986,17.01209,752,301,5,598,GALAXY,0.080633,51989
177.438868,-1.549905,18.22339,17.00858,16.49828,16.15813,16.00578,1231,301,6,55,GALAXY,0.082852,52370
223.241452,0.537312,18.0695,16.98454,16.52808,16.32884,16.2185,752,301,5,532,STAR,0.00001,54653
224.414054,-0.653476,19.0043,17.93927,17.47507,17.26452,17.18647,752,301,2,540,STAR,-0.000695,54970
124.844992,47.824833,19.51215,18.44788,18.10597,17.96809,17.90596,1331,301,5,149,STAR,0.000013,54821
226.090057,59.172346,18.71769,17.66401,16.57881,17.11427,16.91045,1345,301,5,494,STAR,-0.000155,52056
184.290325,-1.000842,18.91917,17.63176,17.13363,16.96104,16.87375,756,301,1,457,STAR,0.000117,54922
155.775335,-0.200854,19.44082,17.37083,16.33696,15.88241,15.48007,756,301,3,267,GALAXY,0.092576,51941
27.208595,13.181851,16.935,15.98206,15.66549,15.54042,15.52301,1035,301,2,142,STAR,-0.000536,53260
169.771912,67.725587,19.27998,17.55247,16.84458,16.58287,16.45337,1350,301,6,331,STAR,-0.00009,54505
260.31256,26.404728,18.04977,17.07143,16.86983,16.81841,16.8287,1345,301,1,763,STAR,-0.000522,53888
204.310196,1.078845,18.90055,18.56548,18.69575,18.8322,19.07451,1404,301,6,36,STAR,-0.000051,51955
239.662431,49.86358,19.07924,18.1054,17.76257,17.64778,17.58385,1345,301,1,574,STAR,-0.000371,57481
232.118086,0.425499,18.77701,18.58197,18.51498,18.27264,18.24195,752,301,5,592,QSO,1.851836,55327
182.793611,68.440465,19.13782,18.21281,17.78972,17.51737,17.33399,1350,301,6,364,GALAXY,0.154259,51957
177.107223,64.595825,18.64833,17.42077,16.89943,16.54452,16.29044,1302,301,3,354,GALAXY,0.041694,52316
174.939406,-0.505799,19.11644,18.02476,17.63075,17.5036,17.44214,756,301,2,395,STAR,0.000061,54471
137.38689,56.314092,17.82388,16.83966,15.81985,16.41736,16.18799,1345,301,5,200,STAR,-0.000089,51908
180.862677,-1.045482,17.96417,16.59846,16.04751,15.82683,15.70488,756,301,1,434,STAR,-0.00003,54552
128.408681,49.5277,18.53417,17.2698,16.81327,16.64998,16.60296,1345,301,3,143,STAR,-0.000048,51873
260.588837,26.265508,17.81351,16.0765,15.48154,15.29708,15.22882,1345,301,1,765,STAR,-0.000022,53905
249.659315,-0.904867,19.32972,19.59161,19.94725,20.23962,20.30066,745,301,1,607,STAR,-0.000117,51671
150.77792,0.320391,18.22859,16.2122,15.3414,14.91876,14.58739,756,301,4,233,GALAXY,0.045261,51910
12.333567,14.624631,18.61407,17.03629,16.42711,16.21652,16.08782,1035,301,3,45,STAR,0.000027,53242
168.575031,-0.464515,18.77667,17.89857,17.64021,17.37638,17.31829,756,301,2,352,GALAXY,0.072354,51984
204.033309,1.245814,19.4544,17.85524,17.005,16.58368,16.27568,1404,301,6,34,GALAXY,0.146094,52022
171.912222,-1.428248,18.1148,16.31868,15.50009,15.16404,14.95651,1231,301,6,18,STAR,0.000147,54891
11.241155,14.503918,18.32323,17.34216,16.95752,16.78063,16.69195,1035,301,3,38,STAR,0.000087,54746
172.190524,-0.084443,17.78107,16.39768,15.84934,15.64189,15.5768,756,301,3,376,STAR,0.00024,54891
167.526121,-1.021265,19.25863,18.48204,18.11614,17.5987,17.57342,756,301,1,345,GALAXY,0.10949,51900
187.678571,0.193244,19.59037,18.73735,18.40529,18.26672,18.25332,752,301,4,295,STAR,-0.000144,55647
184.65417,0.122673,19.07731,18.64518,18.49678,18.52677,18.45765,752,301,4,274,QSO,0.925173,52000
189.186505,-1.16026,17.08427,16.18256,15.89898,15.79041,15.76175,752,301,1,305,STAR,-0.000087,54567
171.698323,-3.331878,18.87259,17.56687,17.12188,16.83268,16.70486,1140,301,1,126,GALAXY,0.06152,52375
171.28659,-0.20825,19.47753,18.29468,17.88049,17.73845,17.72102,756,301,3,370,STAR,0.000182,54891
245.691205,1.243758,19.28122,17.97229,17.63551,17.44405,17.41145,745,301,6,581,GALAXY,0.024425,52000
238.156227,50.858763,18.53996,17.40828,16.90009,16.60645,16.43168,1345,301,1,565,GALAXY,0.054016,52375
125.321649,46.676364,19.57968,18.56102,18.1417,17.97454,17.87187,1331,301,3,144,STAR,0.00091,54821
162.513043,-0.063075,18.54453,16.95218,16.374,16.18088,16.07762,756,301,3,312,STAR,-0.000047,54208
230.817962,-0.697347,18.61856,18.27938,18.35033,18.18638,17.90065,752,301,2,583,QSO,0.443887,51673
182.617489,68.532007,17.68753,16.79714,16.52698,16.43245,16.4122,1350,301,6,363,STAR,-0.000858,51957
159.269359,0.259613,19.41698,19.33621,19.12565,19.13658,19.17011,756,301,4,290,QSO,1.135599,51957
257.844937,56.372253,19.34649,17.75063,16.96149,16.56932,16.2207,1336,301,1,68,GALAXY,0.111644,51788
160.371216,0.419556,18.21856,16.21752,15.25752,14.79818,14.42341,756,301,4,297,GALAXY,0.081348,51913
238.367451,50.762673,19.47336,17.62317,16.73126,16.31121,15.97503,1345,301,1,566,GALAXY,0.106567,52375
161.185924,0.806554,19.5252,18.13598,17.63882,17.43981,17.34495,756,301,5,303,STAR,0.000167,54208
200.694204,67.004046,17.5213,16.11642,15.61503,15.43778,15.37864,1412,301,4,209,STAR,-0.00013,54573
218.375518,-0.831154,18.92757,16.93912,16.02978,15.60067,15.25112,752,301,2,500,GALAXY,0.055913,51637
150.387991,0.332707,18.98477,17.67358,17.1524,16.93675,16.83978,756,301,4,231,STAR,0.000132,54468
150.695238,0.351106,18.23089,18.00649,17.94285,17.84927,17.67285,756,301,4,233,QSO,2.167938,51910
146.012245,0.765634,18.79792,17.73394,17.19519,16.86494,16.63138,756,301,5,202,GALAXY,0.037455,51630
160.998159,-0.588312,18.1781,16.13568,15.28753,14.89827,14.56479,756,301,2,302,GALAXY,0.060631,51913
188.536876,-0.355292,16.15851,14.64874,13.92295,13.57514,13.26905,752,301,3,300,GALAXY,0.022502,51941
209.975768,64.542755,19.04739,18.70894,18.70978,18.2992,18.62348,1350,301,2,439,GALAXY,0.102046,51984
173.909221,-0.177797,18.02174,16.99142,16.66814,16.55657,16.52029,756,301,3,388,STAR,-0.000093,54471
176.117011,64.625524,18.95765,17.92062,17.58303,17.27741,17.20318,1302,301,3,351,GALAXY,0.062679,52059
161.385094,-0.491358,19.39531,17.49907,16.76746,16.5326,16.40905,756,301,2,304,STAR,0.000059,54213
176.638545,64.598142,19.3852,18.07185,17.58351,17.27852,17.07235,1302,301,3,352,GALAXY,0.050219,52316
161.420245,-0.118187,17.55939,15.94559,15.35866,15.11023,14.9878,756,301,3,305,STAR,0.000069,54208
225.476096,0.626575,17.13654,16.03048,15.62024,15.47803,15.39691,752,301,5,547,STAR,0.00003,54970
125.281194,46.848764,17.52786,15.6941,14.87651,14.47114,14.17232,1331,301,3,145,GALAXY,0.039497,51868
159.154808,1.234874,18.11029,17.2155,16.94534,16.8613,16.80892,756,301,6,289,STAR,0.000081,55646
