@relation 'table_train-weka.filters.unsupervised.attribute.Remove-R1-11,14'

@attribute class {STAR,GALAXY,QSO}
@attribute redshift numeric

@data
STAR,-0.369228
QSO,2.918517
STAR,-0.36852
STAR,-0.367598
GALAXY,-0.286357
STAR,-0.367465
STAR,-0.367979
GALAXY,-0.097442
GALAXY,-0.048912
GALAXY,-0.169029
GALAXY,-0.102138
GALAXY,0.065569
QSO,0.436651
GALAXY,-0.175417
GALAXY,-0.087021
STAR,-0.366382
GALAXY,-0.032063
STAR,-0.368479
STAR,-0.368573
STAR,-0.367999
STAR,-0.36671
GALAXY,-0.211824
GALAXY,-0.06501
GALAXY,-0.25953
STAR,-0.367079
GALAXY,-0.299159
STAR,-0.367259
GALAXY,-0.070891
STAR,-0.366754
GALAXY,-0.098722
STAR,-0.366559
GALAXY,0.098255
STAR,-0.36794
GALAXY,-0.139791
GALAXY,-0.320767
STAR,-0.368142
GALAXY,-0.231978
GALAXY,-0.136129
GALAXY,-0.157585
GALAXY,-0.098029
GALAXY,-0.160742
GALAXY,0.112404
GALAXY,-0.07123
GALAXY,-0.250259
STAR,-0.368134
GALAXY,-0.329098
GALAXY,-0.31742
GALAXY,-0.367953
STAR,-0.366766
QSO,4.380609
STAR,-0.368457
GALAXY,-0.064863
GALAXY,-0.227118
GALAXY,-0.12325
GALAXY,-0.181542
STAR,-0.366405
GALAXY,-0.078094
STAR,-0.368077
GALAXY,-0.11614
STAR,-0.365933
GALAXY,-0.186927
GALAXY,-0.164073
STAR,-0.367867
GALAXY,-0.182133
GALAXY,-0.223796
STAR,-0.366573
GALAXY,-0.246358
GALAXY,-0.217038
STAR,-0.367021
GALAXY,-0.049127
QSO,1.024789
STAR,-0.3664
GALAXY,-0.160125
STAR,-0.36853
GALAXY,-0.168126
GALAXY,-0.367953
STAR,-0.367175
STAR,-0.368529
GALAXY,-0.160897
STAR,-0.370461
STAR,-0.368576
QSO,1.902847
GALAXY,-0.21783
STAR,-0.365649
STAR,-0.369752
GALAXY,-0.157212
STAR,-0.368083
GALAXY,-0.302233
GALAXY,-0.12395
STAR,-0.369867
STAR,-0.368227
GALAXY,-0.093256
QSO,4.228475
STAR,-0.367412
GALAXY,-0.21698
GALAXY,-0.010145
GALAXY,-0.182247
GALAXY,-0.025281
GALAXY,-0.261353
GALAXY,-0.264093
GALAXY,0.021166
GALAXY,-0.16476
GALAXY,-0.087714
STAR,-0.36841
GALAXY,-0.1717
GALAXY,0.055292
STAR,-0.36832
GALAXY,-0.181074
GALAXY,-0.257481
QSO,3.337428
GALAXY,-0.113765
STAR,-0.367158
GALAXY,-0.245363
GALAXY,-0.227977
GALAXY,-0.22197
STAR,-0.367917
GALAXY,-0.024279
GALAXY,-0.065821
STAR,-0.370202
GALAXY,-0.060975
STAR,-0.366266
GALAXY,0.096638
STAR,-0.368545
GALAXY,0.024184
GALAXY,-0.13082
GALAXY,-0.170254
QSO,2.652234
STAR,-0.36793
STAR,-0.365402
STAR,-0.367674
STAR,-0.368669
GALAXY,-0.149013
GALAXY,-0.222359
GALAXY,-0.264913
STAR,-0.368171
GALAXY,-0.222609
GALAXY,-0.155202
STAR,-0.366489
STAR,-0.368001
GALAXY,-0.174623
GALAXY,-0.038636
GALAXY,-0.150716
QSO,2.670781
STAR,-0.368759
GALAXY,-0.102852
STAR,-0.366993
GALAXY,-0.242395
STAR,-0.369177
STAR,-0.367346
GALAXY,-0.270423
STAR,-0.36886
GALAXY,-0.18175
GALAXY,-0.14961
STAR,-0.368124
GALAXY,-0.176682
STAR,-0.368498
STAR,-0.367956
STAR,-0.367679
STAR,-0.368031
STAR,-0.366515
STAR,-0.367759
STAR,-0.368283
GALAXY,-0.15599
STAR,-0.369771
STAR,-0.367343
GALAXY,-0.26731
GALAXY,-0.151072
STAR,-0.367732
GALAXY,-0.209834
STAR,-0.367668
STAR,-0.366964
GALAXY,-0.327746
GALAXY,-0.168721
STAR,-0.368107
GALAXY,-0.204738
GALAXY,-0.114829
GALAXY,-0.237525
GALAXY,-0.207377
GALAXY,-0.147202
GALAXY,0.293868
QSO,2.883893
QSO,4.420948
GALAXY,-0.172396
GALAXY,-0.195668
GALAXY,-0.036253
GALAXY,-0.263458
GALAXY,-0.190773
QSO,7.220663
STAR,-0.367687
GALAXY,-0.096427
QSO,1.316646
GALAXY,0.017817
GALAXY,-0.167683
GALAXY,0.975009
STAR,-0.368212
GALAXY,-0.116552
STAR,-0.369144
STAR,-0.368074
GALAXY,-0.014642
GALAXY,-0.28969
GALAXY,-0.129939
GALAXY,-0.123918
GALAXY,-0.065512
STAR,-0.370315
STAR,-0.366864
STAR,-0.367613
GALAXY,-0.20025
QSO,5.707376
GALAXY,-0.125089
GALAXY,-0.113862
STAR,-0.367727
QSO,1.996805
STAR,-0.368253
STAR,-0.366965
STAR,-0.367154
GALAXY,-0.034541
GALAXY,-0.248171
STAR,-0.367543
STAR,-0.368599
GALAXY,-0.152249
GALAXY,-0.308434
GALAXY,-0.300514
STAR,-0.367402
STAR,-0.367138
GALAXY,-0.174837
GALAXY,-0.206142
GALAXY,0.156571
GALAXY,0.009743
STAR,-0.367611
GALAXY,-0.142641
QSO,4.49742
QSO,1.428198
QSO,3.661067
STAR,-0.367998
STAR,-0.367284
STAR,-0.367794
STAR,-0.368135
GALAXY,-0.000146
GALAXY,-0.12057
GALAXY,-0.235423
GALAXY,-0.249935
GALAXY,-0.270201
STAR,-0.36651
GALAXY,-0.039611
GALAXY,-0.13483
GALAXY,-0.163355
STAR,-0.367361
GALAXY,-0.108772
GALAXY,0.011838
GALAXY,-0.093659
GALAXY,-0.253663
GALAXY,-0.178574
GALAXY,-0.300695
GALAXY,-0.190771
STAR,-0.367694
GALAXY,-0.153658
GALAXY,0.033646
QSO,1.762603
GALAXY,-0.028679
GALAXY,-0.234591
GALAXY,-0.140256
QSO,3.643172
GALAXY,-0.054057
GALAXY,-0.154009
STAR,-0.367423
GALAXY,-0.264423
STAR,-0.368433
GALAXY,-0.114225
STAR,-0.368289
STAR,-0.368085
STAR,-0.36718
GALAXY,-0.271792
STAR,-0.367908
STAR,-0.367409
GALAXY,-0.175788
GALAXY,0.000396
GALAXY,-0.072196
STAR,-0.367022
GALAXY,-0.131362
GALAXY,-0.049718
GALAXY,-0.176275
GALAXY,-0.230448
GALAXY,0.165127
STAR,-0.366533
QSO,2.748714
STAR,-0.367207
GALAXY,-0.131412
GALAXY,-0.180776
GALAXY,-0.153545
GALAXY,-0.197728
STAR,-0.368404
STAR,-0.36749
GALAXY,0.043492
STAR,-0.36839
STAR,-0.368342
STAR,-0.370483
GALAXY,-0.178314
GALAXY,-0.16467
STAR,-0.36687
STAR,-0.368562
QSO,0.079737
GALAXY,-0.253477
STAR,-0.367713
GALAXY,0.0244
GALAXY,-0.243717
GALAXY,-0.093445
GALAXY,-0.101341
GALAXY,-0.300236
STAR,-0.366909
GALAXY,-0.195896
STAR,-0.368196
GALAXY,-0.077126
STAR,-0.367554
STAR,-0.366503
STAR,-0.370346
GALAXY,-0.216889
GALAXY,-0.15157
GALAXY,-0.032311
STAR,-0.367166
STAR,-0.367861
GALAXY,-0.147557
QSO,4.429045
GALAXY,-0.161841
GALAXY,-0.085281
STAR,-0.368536
QSO,3.352771
GALAXY,-0.192722
STAR,-0.367414
STAR,-0.368876
GALAXY,-0.133002
STAR,-0.367358
STAR,-0.367193
GALAXY,-0.177397
STAR,-0.367824
GALAXY,-0.228264
GALAXY,-0.17668
STAR,-0.365191
GALAXY,0.111037
GALAXY,-0.168132
STAR,-0.367367
GALAXY,-0.118719
STAR,-0.368206
QSO,1.482489
QSO,5.051362
QSO,0.560294
STAR,-0.367977
GALAXY,-0.172511
STAR,-0.367979
GALAXY,-0.201742
STAR,-0.367775
QSO,4.225543
QSO,0.57839
GALAXY,-0.213144
STAR,-0.36776
STAR,-0.368712
STAR,-0.367179
STAR,-0.368565
GALAXY,-0.30213
STAR,-0.368107
STAR,-0.367293
GALAXY,-0.164253
STAR,-0.367005
QSO,1.638187
GALAXY,-0.148518
STAR,-0.368176
QSO,3.03229
GALAXY,-0.267615
STAR,-0.367007
GALAXY,-0.247983
STAR,-0.36779
GALAXY,-0.098381
QSO,2.726748
GALAXY,-0.135008
QSO,3.415482
GALAXY,-0.195172
GALAXY,-0.055493
GALAXY,-0.081488
QSO,5.19813
STAR,-0.368573
GALAXY,-0.179645
GALAXY,-0.247814
STAR,-0.369339
STAR,-0.36744
STAR,-0.367542
GALAXY,-0.137744
STAR,-0.367755
STAR,-0.367687
STAR,-0.368944
GALAXY,-0.15262
GALAXY,-0.202709
STAR,-0.368038
QSO,3.071972
GALAXY,-0.268795
STAR,-0.365806
GALAXY,-0.166954
GALAXY,-0.276247
GALAXY,-0.122133
GALAXY,-0.156064
STAR,-0.366243
GALAXY,-0.255136
STAR,-0.367727
STAR,-0.367888
STAR,-0.368249
GALAXY,-0.148066
GALAXY,-0.312879
GALAXY,-0.151628
GALAXY,-0.106823
STAR,-0.367903
GALAXY,-0.202716
GALAXY,-0.161318
GALAXY,-0.312187
STAR,-0.367497
STAR,-0.367431
QSO,0.887896
GALAXY,-0.143083
GALAXY,-0.20507
QSO,-0.11725
GALAXY,0.053898
GALAXY,-0.140672
GALAXY,-0.156866
GALAXY,-0.212469
GALAXY,-0.211774
STAR,-0.367051
GALAXY,-0.13981
GALAXY,-0.145204
QSO,2.261436
GALAXY,-0.171596
GALAXY,-0.08053
QSO,3.827015
QSO,-0.210108
STAR,-0.368463
STAR,-0.367855
QSO,0.767076
GALAXY,-0.180677
GALAXY,-0.221862
QSO,6.126447
STAR,-0.368991
GALAXY,-0.172432
QSO,4.986797
STAR,-0.367463
QSO,4.368555
GALAXY,-0.115755
STAR,-0.36769
GALAXY,-0.190173
STAR,-0.367528
GALAXY,-0.083414
QSO,2.820856
GALAXY,-0.274954
STAR,-0.368036
GALAXY,-0.177102
GALAXY,-0.093361
STAR,-0.36765
GALAXY,-0.155648
GALAXY,-0.1307
STAR,-0.36611
STAR,-0.368063
GALAXY,-0.131215
GALAXY,-0.197633
GALAXY,-0.314017
STAR,-0.366488
STAR,-0.367982
STAR,-0.369428
GALAXY,-0.176915
QSO,2.217698
GALAXY,-0.23802
STAR,-0.368463
STAR,-0.368178
STAR,-0.368886
GALAXY,-0.289139
GALAXY,-0.164438
GALAXY,-0.194401
STAR,-0.366747
STAR,-0.36741
STAR,-0.36761
STAR,-0.365346
STAR,-0.36763
GALAXY,-0.043711
GALAXY,-0.198822
GALAXY,-0.093267
GALAXY,-0.254354
GALAXY,-0.134238
GALAXY,-0.116408
GALAXY,-0.065221
STAR,-0.367766
STAR,-0.367574
GALAXY,-0.122049
GALAXY,-0.092674
GALAXY,-0.228764
QSO,-0.019762
QSO,1.6723
STAR,-0.368446
GALAXY,-0.171744
STAR,-0.367271
GALAXY,-0.239036
STAR,-0.368937
STAR,-0.369357
STAR,-0.367871
GALAXY,-0.11978
GALAXY,-0.052685
GALAXY,0.028332
STAR,-0.36822
STAR,-0.367523
GALAXY,-0.167232
GALAXY,-0.194785
GALAXY,-0.261492
GALAXY,-0.096188
GALAXY,-0.123408
GALAXY,-0.205016
GALAXY,-0.155936
STAR,-0.368191
GALAXY,-0.117125
GALAXY,-0.092847
GALAXY,-0.235881
STAR,-0.368315
STAR,-0.368279
STAR,-0.367601
QSO,4.914331
GALAXY,0.037959
QSO,6.850139
GALAXY,-0.219046
GALAXY,-0.247845
GALAXY,-0.116534
STAR,-0.368334
STAR,-0.367817
STAR,-0.367921
GALAXY,-0.144256
STAR,-0.368071
GALAXY,-0.251406
GALAXY,-0.084877
STAR,-0.368161
STAR,-0.367717
STAR,-0.367686
GALAXY,-0.121787
STAR,-0.367043
STAR,-0.36698
GALAXY,-0.070805
GALAXY,-0.190473
GALAXY,-0.176715
GALAXY,-0.107214
STAR,-0.368068
STAR,-0.367862
STAR,-0.368288
GALAXY,-0.072206
GALAXY,-0.038379
STAR,-0.368275
GALAXY,-0.350839
GALAXY,-0.200342
GALAXY,-0.248579
GALAXY,-0.313667
GALAXY,-0.206243
STAR,-0.36822
STAR,-0.36793
QSO,0.905486
GALAXY,-0.195036
QSO,6.223144
GALAXY,0.021765
QSO,-0.035232
GALAXY,-0.137892
GALAXY,-0.137601
STAR,-0.368112
STAR,-0.367938
STAR,-0.367729
GALAXY,-0.15337
STAR,-0.367715
STAR,-0.368318
STAR,-0.368172
STAR,-0.367704
STAR,-0.367829
GALAXY,-0.060404
GALAXY,-0.125186
GALAXY,-0.0971
GALAXY,-0.182753
STAR,-0.367236
GALAXY,0.143359
STAR,-0.367114
STAR,-0.368038
GALAXY,-0.122715
GALAXY,-0.184791
GALAXY,-0.117476
STAR,-0.368587
STAR,-0.367151
GALAXY,-0.154361
QSO,2.11725
STAR,-0.367621
GALAXY,-0.190655
STAR,-0.367896
GALAXY,-0.24894
QSO,0.18562
QSO,5.278946
GALAXY,-0.244052
STAR,-0.367389
STAR,-0.368148
STAR,-0.3674
STAR,-0.367903
STAR,-0.367941
GALAXY,-0.204626
GALAXY,-0.057277
GALAXY,-0.184556
STAR,-0.368379
STAR,-0.367753
STAR,-0.368242
STAR,-0.367785
GALAXY,-0.312344
GALAXY,-0.014082
STAR,-0.367053
GALAXY,-0.16526
STAR,-0.366053
STAR,-0.366608
STAR,-0.367537
STAR,-0.368363
GALAXY,-0.087668
GALAXY,-0.142992
GALAXY,-0.16551
GALAXY,-0.015524
STAR,-0.368209
STAR,-0.367619
STAR,-0.369275
STAR,-0.367269
GALAXY,-0.274838
STAR,-0.368264
GALAXY,-0.039338
STAR,-0.367912
STAR,-0.369102
STAR,-0.367422
GALAXY,-0.011246
GALAXY,0.022003
GALAXY,-0.200892
GALAXY,-0.317539
STAR,-0.368651
QSO,4.636657
GALAXY,-0.288129
STAR,-0.368218
STAR,-0.367149
GALAXY,-0.16964
QSO,5.000648
STAR,-0.367877
STAR,-0.367547
GALAXY,-0.231939
QSO,2.688131
STAR,-0.368262
GALAXY,-0.141165
GALAXY,-0.146737
STAR,-0.367125
GALAXY,-0.266635
GALAXY,-0.170836
GALAXY,-0.27758
GALAXY,0.373496
GALAXY,-0.167795
GALAXY,-0.162254
STAR,-0.367522
QSO,0.371996
STAR,-0.367991
GALAXY,-0.318834
QSO,4.079375
GALAXY,-0.193335
STAR,-0.368099
GALAXY,-0.044303
GALAXY,0.029134
GALAXY,-0.061345
QSO,3.748666
STAR,-0.368231
STAR,-0.366106
QSO,-0.143051
STAR,-0.368142
GALAXY,-0.172834
STAR,-0.368416
QSO,1.572138
QSO,4.918787
GALAXY,-0.160421
QSO,6.511944
QSO,0.010827
STAR,-0.367552
STAR,-0.367966
GALAXY,-0.181812
STAR,-0.366258
GALAXY,-0.168268
STAR,-0.369598
GALAXY,0.020365
STAR,-0.367837
STAR,-0.368046
GALAXY,-0.26734
STAR,-0.367286
GALAXY,-0.3035
STAR,-0.368415
STAR,-0.36846
GALAXY,-0.223095
GALAXY,-0.233254
STAR,-0.369743
STAR,-0.368356
GALAXY,-0.167393
GALAXY,-0.205605
GALAXY,-0.149896
GALAXY,-0.252746
STAR,-0.369225
GALAXY,-0.14559
GALAXY,-0.186447
STAR,-0.368216
GALAXY,0.011339
GALAXY,-0.155739
STAR,-0.367977
GALAXY,-0.08055
GALAXY,-0.254827
GALAXY,-0.183949
GALAXY,-0.066641
QSO,4.310514
STAR,-0.3685
GALAXY,-0.050932
STAR,-0.367931
GALAXY,-0.11482
STAR,-0.367735
STAR,-0.367463
STAR,-0.368266
GALAXY,-0.243933
STAR,-0.368084
GALAXY,-0.348955
STAR,-0.368565
GALAXY,0.162118
STAR,-0.368056
STAR,-0.366454
STAR,-0.369615
GALAXY,-0.212503
QSO,2.700034
STAR,-0.368697
GALAXY,-0.223278
QSO,2.091285
GALAXY,-0.057711
STAR,-0.367461
GALAXY,-0.252998
STAR,-0.368425
GALAXY,0.013081
GALAXY,-0.111103
GALAXY,-0.283102
STAR,-0.366897
GALAXY,-0.256377
GALAXY,0.052339
STAR,-0.368073
STAR,-0.368276
GALAXY,-0.137542
GALAXY,-0.256379
STAR,-0.367524
STAR,-0.368248
GALAXY,-0.127357
STAR,-0.369749
GALAXY,-0.19061
GALAXY,-0.230986
GALAXY,-0.153994
GALAXY,-0.069025
GALAXY,-0.185601
STAR,-0.367835
STAR,-0.366341
GALAXY,-0.177046
GALAXY,-0.194758
GALAXY,-0.201323
GALAXY,-0.178801
GALAXY,-0.101021
STAR,-0.367979
QSO,1.141884
STAR,-0.367953
STAR,-0.368213
STAR,-0.368158
GALAXY,-0.193078
GALAXY,-0.054212
STAR,-0.366905
GALAXY,-0.116159
STAR,-0.368094
GALAXY,-0.265641
STAR,-0.367886
GALAXY,-0.056684
STAR,-0.368247
STAR,-0.368138
GALAXY,-0.187256
GALAXY,-0.238131
STAR,-0.367977
GALAXY,-0.179461
GALAXY,-0.120699
STAR,-0.367557
GALAXY,-0.189303
STAR,-0.366966
STAR,-0.367585
GALAXY,-0.128552
STAR,-0.368343
GALAXY,-0.181331
STAR,-0.367573
STAR,-0.368103
STAR,-0.368177
GALAXY,-0.21393
STAR,-0.369204
QSO,4.140398
GALAXY,-0.247766
GALAXY,0.003178
STAR,-0.367412
STAR,-0.368365
STAR,-0.368063
STAR,-0.366881
GALAXY,-0.043961
GALAXY,-0.11253
STAR,-0.367634
STAR,-0.367117
GALAXY,-0.179413
STAR,-0.369301
STAR,-0.367128
GALAXY,-0.130257
QSO,2.48416
GALAXY,-0.244416
GALAXY,-0.312399
GALAXY,-0.067705
GALAXY,-0.318872
GALAXY,-0.085187
GALAXY,-0.072133
STAR,-0.369304
STAR,-0.365623
GALAXY,-0.153888
QSO,3.156212
GALAXY,-0.23606
GALAXY,-0.232363
STAR,-0.368001
GALAXY,-0.158109
GALAXY,-0.174413
STAR,-0.367523
STAR,-0.367232
GALAXY,-0.068708
STAR,-0.368257
GALAXY,-0.32376
GALAXY,-0.157308
STAR,-0.367931
QSO,3.553873
STAR,-0.367966
STAR,-0.367945
GALAXY,-0.227884
GALAXY,-0.148831
STAR,-0.368016
GALAXY,-0.226157
GALAXY,-0.014633
STAR,-0.368773
STAR,-0.368523
GALAXY,-0.119982
GALAXY,-0.223766
GALAXY,-0.255664
STAR,-0.36643
GALAXY,-0.261822
GALAXY,-0.264443
STAR,-0.367727
GALAXY,-0.145979
GALAXY,-0.156053
STAR,-0.367869
GALAXY,-0.265642
STAR,-0.368369
GALAXY,-0.170184
STAR,-0.366297
STAR,-0.367827
GALAXY,-0.143011
STAR,-0.368208
QSO,0.711645
STAR,-0.368178
STAR,-0.367651
STAR,-0.368125
GALAXY,-0.334013
STAR,-0.367859
STAR,-0.368298
QSO,-0.015896
GALAXY,-0.15568
GALAXY,-0.080049
STAR,-0.369599
GALAXY,-0.180683
GALAXY,-0.246158
GALAXY,-0.068913
GALAXY,-0.268301
STAR,-0.368286
GALAXY,-0.151365
STAR,-0.367963
STAR,-0.368066
GALAXY,-0.085845
QSO,4.140703
STAR,-0.368186
STAR,-0.368226
GALAXY,-0.0261
GALAXY,0.092587
GALAXY,-0.11767
GALAXY,0.132281
STAR,-0.370064
STAR,-0.369419
GALAXY,-0.213155
STAR,-0.368216
GALAXY,-0.07307
GALAXY,-0.245124
GALAXY,-0.250405
STAR,-0.369893
STAR,-0.36809
GALAXY,-0.135245
GALAXY,-0.19338
STAR,-0.367629
GALAXY,-0.111066
GALAXY,-0.122155
STAR,-0.366734
STAR,-0.366881
GALAXY,-0.288275
GALAXY,-0.253706
GALAXY,-0.182693
STAR,-0.367085
GALAXY,-0.249878
STAR,-0.368043
GALAXY,-0.154195
GALAXY,-0.301649
STAR,-0.365924
GALAXY,-0.254306
STAR,-0.367973
STAR,-0.36486
GALAXY,-0.067933
STAR,-0.368065
GALAXY,-0.038491
GALAXY,-0.169051
GALAXY,-0.295289
STAR,-0.367807
GALAXY,-0.353308
GALAXY,-0.114988
STAR,-0.368241
STAR,-0.36836
STAR,-0.367645
GALAXY,-0.172366
GALAXY,0.07259
QSO,2.002955
GALAXY,-0.156804
STAR,-0.368405
STAR,-0.367852
GALAXY,-0.269933
GALAXY,-0.261923
STAR,-0.367453
STAR,-0.36641
STAR,-0.367786
GALAXY,-0.184889
STAR,-0.3667
STAR,-0.366173
GALAXY,-0.154318
QSO,3.501162
STAR,-0.367838
STAR,-0.366556
GALAXY,-0.186091
GALAXY,-0.024293
GALAXY,-0.142538
GALAXY,-0.319894
GALAXY,-0.081043
STAR,-0.368033
GALAXY,-0.345382
QSO,-0.028644
STAR,-0.368209
GALAXY,-0.189644
GALAXY,-0.131641
STAR,-0.368012
STAR,-0.366476
STAR,-0.368151
GALAXY,-0.273799
GALAXY,-0.189877
GALAXY,-0.293901
STAR,-0.367832
STAR,-0.366485
GALAXY,-0.151729
GALAXY,-0.117669
GALAXY,-0.107633
GALAXY,-0.20282
STAR,-0.367197
STAR,-0.368009
GALAXY,-0.18224
GALAXY,-0.087515
GALAXY,-0.189597
STAR,-0.368004
GALAXY,-0.286015
GALAXY,-0.143014
STAR,-0.367483
STAR,-0.367808
STAR,-0.367605
STAR,-0.369182
GALAXY,-0.299839
STAR,-0.368217
GALAXY,-0.335594
GALAXY,-0.119698
STAR,-0.36741
GALAXY,-0.227265
GALAXY,-0.202635
GALAXY,-0.054588
STAR,-0.367604
GALAXY,-0.229121
GALAXY,-0.065438
GALAXY,-0.135975
STAR,-0.366884
STAR,-0.368026
GALAXY,-0.155889
STAR,-0.368221
GALAXY,-0.245909
STAR,-0.367918
STAR,-0.368955
QSO,4.048777
GALAXY,-0.218665
STAR,-0.368463
GALAXY,0.018685
GALAXY,-0.181815
GALAXY,-0.042234
STAR,-0.367976
GALAXY,-0.278617
GALAXY,-0.162749
GALAXY,-0.083372
GALAXY,-0.154404
QSO,4.845502
GALAXY,-0.072712
GALAXY,-0.158525
QSO,5.044996
STAR,-0.368317
QSO,4.343052
STAR,-0.367921
GALAXY,-0.129294
QSO,4.474042
STAR,-0.366762
GALAXY,-0.236982
STAR,-0.369489
STAR,-0.368111
GALAXY,-0.308835
GALAXY,-0.207544
GALAXY,-0.228535
GALAXY,-0.185553
GALAXY,-0.016493
QSO,2.186765
GALAXY,0.039424
GALAXY,-0.129868
GALAXY,-0.180623
STAR,-0.369368
STAR,-0.368507
GALAXY,-0.016192
STAR,-0.367761
STAR,-0.369523
GALAXY,-0.310073
QSO,5.266729
GALAXY,-0.276264
STAR,-0.367676
GALAXY,-0.098086
STAR,-0.365893
GALAXY,-0.339605
GALAXY,-0.283027
STAR,-0.366981
STAR,-0.368975
GALAXY,-0.166609
GALAXY,-0.196027
STAR,-0.367782
GALAXY,-0.138907
GALAXY,0.03268
STAR,-0.368373
STAR,-0.369349
STAR,-0.368176
GALAXY,-0.034316
STAR,-0.368948
STAR,-0.368796
GALAXY,-0.243748
STAR,-0.368761
QSO,3.195659
STAR,-0.366989
STAR,-0.367875
QSO,2.368673
GALAXY,0.038307
QSO,0.020979
GALAXY,-0.196702
GALAXY,-0.111797
STAR,-0.3682
STAR,-0.369569
STAR,-0.369022
STAR,-0.3684
STAR,-0.366791
GALAXY,-0.261801
