@relation 'output-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V-weka.filters.unsupervised.attribute.Remove-R1-3,5,8-9,15-19-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S100'

@attribute Rainfall numeric
@attribute Sunshine numeric
@attribute WindGustSpeed numeric
@attribute Humidity9am numeric
@attribute Humidity3pm numeric
@attribute Pressure9am numeric
@attribute Cloud9am numeric
@attribute Cloud3pm numeric
@attribute RainTomorrow {No,Yes}

@data
0,13.7,63,44,19,1013.7,0,0,No
0,1.6,35,72,60,1017.9,8,7,No
0,9.1,26,74,36,1028.4,4,1,No
0,0.7,31,74,69,1016.1,7,7,No
6,4.5,44,57,57,1020.1,7,7,No
2,9.3,43,79,62,1016.8,7,2,No
0,3,50,43,30,1018.8,7,7,No
0,13.1,28,39,15,1009.7,1,1,No
0,5.6,44,63,56,1025.6,1,7,No
0,1.9,30,84,65,1014.6,7,6,No
0,7.8,28,60,64,1007.8,6,7,No
0.2,11.2,39,58,17,1022.9,1,0,No
0,11.7,50,32,16,1009.3,1,5,No
0.6,8.9,31,90,59,1026.4,6,4,No
0,9.5,31,78,47,1032.9,0,0,No
0,10.6,24,17,14,1020.9,5,3,No
0,9.3,43,53,54,1019.6,3,6,No
0,10,37,75,63,1011.8,7,1,No
0,8.9,48,72,55,1020.5,1,2,No
0,9.4,35,95,54,1015.8,6,1,No
1.2,9.3,35,96,53,1021.4,6,2,No
0,10.7,41,56,30,1022.6,1,0,No
2.4,4.7,39,76,55,1022.3,8,8,No
6.4,12.5,39,73,46,1011.7,1,5,No
0,10.2,48,25,17,1010,5,5,No
0,6.4,22,63,58,1021.8,6,6,No
0,4.4,20,74,69,1022.6,6,7,No
0,12.8,39,63,49,1023.8,8,1,No
0,10.8,30,70,44,1029.7,1,1,No
0,10.8,35,44,31,1023.5,1,1,No
0,11,31,58,19,1013.9,6,3,No
2,8.4,50,81,72,1025,5,3,No
0,6.8,24,81,76,1020.8,7,6,No
0,11.9,39,60,58,1015.7,2,1,No
0,11.2,41,45,42,1020.2,1,1,No
1.2,6.2,52,64,60,1013.9,7,4,No
5,10.2,50,64,69,1005.9,7,8,No
0,10.3,26,75,46,1039.6,0,2,No
0,7,33,66,44,1024.8,5,3,No
0,11.9,48,53,33,1018.9,3,2,No
0,13.2,50,62,24,1012.6,0,1,No
0.6,3.4,30,97,60,1020.5,8,7,No
0,10.5,54,56,53,1017.1,2,3,No
0,9.8,54,57,52,1016.7,3,3,No
0,10,20,70,32,1022.4,0,1,No
4,7.3,43,100,61,1013.9,7,3,No
0.2,0,31,69,56,1009.4,8,8,No
20,10.4,26,77,77,1007.4,2,6,No
0,11.6,31,77,33,1018.3,1,0,No
1.4,2.5,43,89,66,1022.4,7,7,No
0,10.4,50,35,16,1018.6,7,1,No
0,7.9,26,75,50,1029.7,7,5,No
0,4.4,50,61,57,1012.4,7,2,No
0,5.4,30,84,53,1024.4,7,5,No
0,8.9,43,66,32,1014.5,3,3,No
0,9.1,39,54,30,1016.8,2,1,No
0,11.8,37,61,57,1024.9,4,6,No
7.8,11.2,41,57,49,1006.5,2,4,No
0,3,37,65,57,1018.6,7,7,No
0,11.5,35,52,31,1016.9,3,4,No
0,10.5,44,65,20,1025.7,7,7,No
0,9.2,30,69,57,1019.2,3,2,No
0,11.4,19,39,24,1023.5,0,0,No
4.4,7.7,48,87,61,1016.8,7,3,No
1,8.2,43,70,45,1023.1,6,7,No
0,13.1,39,62,26,1021.1,0,1,No
0,1.5,54,34,31,1011.2,7,7,No
0,13.2,26,44,14,1016.5,2,4,No
0,9.6,28,70,39,1025.5,1,1,No
0.2,3.3,39,67,56,1020.3,7,7,No
0,13.2,54,48,23,1020.3,0,1,No
3.4,10.5,61,36,43,1026.6,4,5,No
0,12.8,41,48,31,1024.7,1,3,No
0.2,6.8,37,63,61,1015.2,2,6,No
0,10,28,100,39,1024.8,1,1,No
0,9.9,35,81,33,1019.2,4,6,No
0,12.2,37,55,49,1011.2,3,1,No
0.2,5.1,37,97,60,1026.8,8,6,No
0.2,6.1,52,63,35,1014.3,0,0,No
0,12.1,31,61,21,1014.8,1,1,No
0,6.8,39,29,20,1009.9,5,7,No
0,9.2,87,58,39,1000.5,4,3,No
0,10.1,39,64,64,1019.8,2,2,No
0,9.9,39,53,30,1027.2,0,0,No
0,7,22,58,53,1022.3,1,4,No
13.2,8.1,59,82,56,1008.6,2,2,No
4.4,3.2,57,68,53,1010,7,7,No
0,10.7,37,30,30,1017.2,2,0,No
0,10.1,26,52,23,1018.1,1,1,No
0,9.2,20,85,52,1030,0,1,No
0,11.3,46,39,21,1015.9,2,2,No
0.2,4.5,28,88,67,1025.7,7,8,No
0,9.5,35,87,52,1023.8,1,1,No
0,13.4,50,37,19,1022.1,0,0,No
0,13,39,38,12,1015.1,1,1,No
4.4,8.8,46,57,53,1021.4,6,7,No
3.4,3.9,46,72,58,1007.4,7,7,No
0,13.2,39,35,25,1012.5,0,0,No
0,13.2,43,57,25,1016.9,0,0,No
0,11.8,59,21,4,1017.9,0,0,No
0,5.4,28,64,64,1005.8,7,6,No
0.2,9.6,50,36,17,1012.1,1,3,No
0,10.2,31,55,27,1012.7,4,4,No
0,11.1,31,67,47,1024.1,0,0,No
0,11.2,26,66,65,1007.7,1,1,No
14.8,5.7,35,96,56,1023.2,3,3,No
0,2,44,74,64,1021.1,7,7,No
0,11.7,41,46,38,1020.2,5,1,No
0,8.4,35,19,15,1010.7,1,6,No
2,11.3,35,66,64,1017.9,7,8,No
0,10.3,28,60,27,1018.2,0,5,No
0,4.8,35,65,59,1026,7,3,No
3.8,9.5,54,73,68,1014.8,6,6,No
0,7.3,39,77,60,1015.2,8,2,No
0.6,2.6,33,80,64,1027.4,7,6,No
5.6,5.2,35,81,69,1024.7,6,7,No
0,12,41,44,23,1021.6,1,4,No
0,11.4,39,78,42,1022.8,0,0,No
0,12.5,35,67,37,1016.5,3,5,No
0,11.2,33,66,53,1021.9,1,7,No
0.6,10.8,44,59,46,1014.9,7,2,No
0,10.4,33,59,47,1018.8,2,1,No
0,11.4,46,61,43,1019.9,1,1,No
0,12.4,31,51,29,1016.4,0,2,No
0,4.3,26,69,47,1030.7,5,7,No
0,12.8,57,52,22,1009.8,0,1,No
0,9.9,35,66,51,1015,6,1,No
7.8,7.2,54,66,71,1022.7,5,7,No
0,12,37,69,34,1022.2,1,1,No
0,9.2,57,53,20,1018.5,6,6,No
0,10.6,24,60,35,1027.7,0,2,No
0,10.1,31,81,43,1017,1,1,No
0,10.6,44,81,63,1015.3,6,3,No
0,12.9,39,47,20,1017.5,0,1,No
1.6,3,31,88,57,1025.3,7,6,No
0,10.3,35,52,29,1026.8,0,0,No
16.8,11.5,46,64,35,1018,4,4,No
0,9.9,37,58,30,1015.9,1,0,No
1.8,7.2,44,74,61,1021.8,1,7,No
0,9.5,33,86,46,1027.5,5,1,No
0,10.8,46,60,44,1011.7,2,3,No
0,8.8,78,52,22,1006.7,6,1,No
0.2,11.6,46,59,36,1012.6,3,4,No
21.4,4,28,97,91,1016.2,6,6,No
0,4.9,37,67,41,1019.1,7,7,No
0,10.5,39,8,4,1016.2,2,7,No
0,12.3,44,50,46,1013.4,1,0,No
0,8.5,26,63,53,1009.2,4,5,No
2.8,3.5,37,84,85,1015.5,5,7,No
0,11.1,31,68,53,1023.6,4,3,No
0,10.8,46,19,9,1021.5,1,0,No
0,10,41,58,19,1015.8,5,1,No
0,7.2,63,67,53,1022.5,7,6,No
0,11,17,61,40,1013.3,1,1,No
0,11,41,44,44,1017.8,5,1,No
0,12.8,43,40,31,1010.2,1,2,No
0,7.8,31,52,45,1022,7,2,No
0,13.3,35,54,55,1021.1,5,1,No
0,12.9,41,50,52,1013.4,1,4,No
0,13,50,56,23,1015.2,3,4,No
0,13.4,37,47,19,1016.6,4,2,No
1.4,2.3,39,82,78,1020.6,5,8,No
0,3.3,37,81,75,1022.1,6,8,No
0,11.7,37,20,11,1015.1,1,1,No
0,7.4,41,71,46,1016.3,8,5,No
0,2.5,56,38,33,1009.9,7,7,No
0,9.7,30,73,39,1019.6,2,5,No
0,8.6,35,80,50,1021.6,7,2,No
19,10,30,76,56,1007.7,4,5,No
0,11.3,46,47,29,1023.2,0,0,No
0,9.2,50,69,24,1021.4,0,0,No
0,2.3,39,61,45,1020.5,7,7,No
0,0.1,46,69,70,1010.3,8,7,No
0,13.2,52,50,16,1014.4,0,1,No
5,4.5,48,61,58,1020.8,7,7,No
0,13.5,31,12,8,1016.3,0,1,No
0,5.2,52,54,28,1015.9,5,7,No
0.2,3.4,44,72,54,1026.7,5,7,No
0,10.5,39,62,50,1012.4,4,2,No
0.2,9.1,33,93,58,1030.6,0,5,No
0,10.9,48,48,20,1016.5,3,2,No
0,8.6,22,80,50,1032.8,1,0,No
0,12.9,43,54,50,1012.5,1,0,No
0,9.2,28,73,45,1025.2,1,1,No
0,3.2,37,70,49,1018.3,6,7,No
0,11.5,37,13,4,1013.9,2,2,No
0,10.5,30,75,48,1013.9,1,7,No
23.8,0,24,93,83,1021.4,8,7,No
0,10.9,48,69,43,1011.5,7,3,No
0,12.3,35,22,11,1017.7,1,1,No
0,10.3,46,44,31,1017.2,1,1,No
0,11.9,28,58,42,1018.5,1,6,No
0,9.3,54,78,51,1021.8,1,4,No
0,12.7,43,44,29,1021.6,0,3,No
0,4.2,43,36,47,1017,5,7,No
0,8.9,52,55,20,1013.6,7,1,No
0.8,5.9,41,99,63,1027.5,8,4,No
0,11.1,33,50,27,1023.1,3,0,No
0,0.2,13,75,65,1026.1,8,7,No
0,8.4,39,63,66,1025.2,2,3,No
0,13.8,39,53,25,1021.3,0,0,No
0,11.6,54,63,17,1011.5,0,1,No
0,11.7,61,45,19,1014.4,3,3,No
0,9.4,35,70,37,1024.6,1,5,No
0,4.1,26,62,42,1023.6,6,3,No
0,10.5,39,57,29,1029.5,1,1,No
0,8.5,33,85,49,1032.9,7,3,No
0,10.4,26,69,56,1017.4,1,1,No
2.8,10.5,39,68,60,1009.4,3,5,No
0,12.9,69,48,16,1017.6,0,0,No
10.8,4.7,15,89,64,1022.9,7,7,No
0,11.8,48,28,14,1015.3,1,1,No
0,11,30,65,27,1022.3,0,3,No
0,9.8,24,83,63,1020.8,1,2,No
0,8,26,79,34,1023.1,1,1,No
0,5.9,37,80,85,1022.1,8,8,No
0.2,4.5,31,55,57,1016,7,8,No
0,11.9,37,52,46,1012,1,1,No
0.2,9.6,35,82,64,1013.6,3,3,No
0,9.4,46,64,58,1020,6,1,No
0,6.8,24,63,43,1024.5,5,6,No
0,9,35,76,50,1020.2,7,7,No
0,10.6,33,45,30,1019.2,2,1,No
0.4,8.8,24,68,42,1011.1,7,6,No
0,2.7,39,77,65,1012.1,8,7,No
0,4.5,30,57,58,1011.1,5,7,No
18.4,0,57,93,77,1011.9,7,7,No
0,12.1,52,55,57,1017.1,3,0,No
0,8.2,26,78,54,1023.3,2,6,No
13.8,7.7,50,82,67,1013.6,7,7,No
0,10.5,26,27,11,1007.9,1,2,No
0,11.4,28,44,17,1024.3,5,2,No
0.2,7.1,33,63,43,1015.6,1,7,No
0.1,4.5,44,89,62,1014.7,7,6,No
0,9.6,44,45,17,1003.8,1,7,No
0,9.8,44,37,21,1005.6,6,6,No
0.6,11.5,61,57,47,1012.5,5,3,No
0,9.4,35,56,33,1032.1,0,0,No
0,7.8,57,39,30,1000.3,5,6,No
0,11,50,60,17,1018.6,0,0,No
0,10.6,31,80,49,1013,2,0,No
1.8,7.7,43,67,63,1013.2,7,4,No
0,10,30,60,47,1020.3,3,3,No
0,9.1,31,65,52,1017,7,4,No
0,12.9,24,62,65,1016.8,1,1,No
0,0.3,65,73,71,1013.6,7,7,No
0.8,7.7,26,63,53,1026.8,5,6,No
0.4,10.3,52,76,57,1020.8,6,1,No
1.6,9.1,37,78,66,1020.7,6,3,No
0,9.7,37,40,19,1008.5,1,6,No
0,8.2,72,35,31,1006.1,5,1,No
17.6,7.1,44,84,72,1009,4,6,No
0.4,5.9,41,94,63,1025.1,8,7,No
0,10.9,37,57,51,1015.9,7,3,No
0,10.1,31,75,56,1017.1,1,2,No
0,8.1,65,70,40,1020,7,1,No
0,9.5,26,68,39,1025.1,1,2,No
0,7.7,50,71,41,1016.6,4,5,No
17.2,11.9,59,77,48,1011.1,3,3,No
0,3.3,24,58,30,1018,7,7,No
3.4,9.9,30,75,73,1006.7,6,3,No
0,11,35,97,45,1017.2,2,2,No
0,8.3,56,69,46,1018.8,5,3,No
0,9.7,26,99,59,1034.7,1,2,No
23.6,0,39,70,55,1021.4,8,7,No
0,10.6,22,73,43,1021.6,1,1,No
11.8,4.8,30,79,66,1009.4,5,7,No
0,11.3,28,70,62,1009.7,3,2,No
0.2,4.8,28,92,69,1027.7,7,6,No
0,3.9,35,80,52,1030.5,1,6,No
0.4,11.1,61,41,37,1005.9,6,1,No
0.2,2.9,39,78,46,1024.2,7,7,No
0,11.2,24,49,39,1020.4,1,1,No
0,10.7,39,97,40,1024.2,2,1,No
0,10.9,39,54,29,1012.7,0,3,No
0,12.1,28,65,61,1012.7,1,6,No
0,10.2,37,49,35,1017.5,4,6,No
0.4,2.4,15,100,92,1031.1,0,0,No
0,7.1,41,69,67,1029.7,7,5,No
0,9.6,26,79,49,1023.6,7,4,No
5.6,6.4,48,59,53,1027.5,7,5,No
0,12.3,26,80,67,1003,5,2,No
3.4,6.4,63,80,51,995.6,2,4,No
0,10.2,41,62,50,1022,1,2,No
22.8,5.6,35,78,63,1022.6,7,6,No
0.6,4.8,26,89,87,1029.5,4,4,No
0,5.6,17,100,64,1033.6,8,1,No
0,2.4,56,61,78,1016,6,7,No
1.4,3.2,41,81,61,1006.9,7,6,No
0,9.2,20,61,45,1027.3,1,4,No
0,10.1,48,19,7,1008.6,1,4,No
0,11.9,28,55,34,1019.3,1,0,No
1,9.7,56,78,56,1020.3,3,3,No
0,12,35,42,8,1009.4,1,1,No
0.2,7.8,35,55,32,1021.6,2,7,No
0,4.9,35,67,51,1007.1,8,7,No
2.8,9.6,37,55,42,1011.2,1,2,No
0,6.7,39,75,78,1021.8,7,6,No
0,6.5,30,57,27,1020.9,6,1,No
0,8.6,50,40,24,1015.9,0,7,No
1.4,5.4,39,79,65,1019.1,6,7,No
0,1.3,17,91,55,1021.8,7,8,No
0.8,8.8,26,55,57,1023.7,4,7,No
0,12.6,50,51,37,1019.2,0,2,No
0,7.1,37,45,25,1014.7,6,2,No
0,10.5,30,61,57,1018.7,1,1,No
0,9.9,46,40,43,1014.6,1,1,No
0,11.1,44,21,13,1016.4,1,2,No
0,9,37,79,62,1013.5,7,6,No
8.4,7.3,56,64,56,1018.8,7,2,No
3.6,0.3,48,87,78,1017.3,8,7,No
1.2,0,41,83,77,1020.2,7,7,No
0.2,1.5,19,84,55,1023.2,7,7,No
0,12.6,48,37,14,1012.9,2,2,No
3.4,4.5,46,92,53,1004.4,8,8,No
0,10.7,52,72,53,1019.5,1,2,No
0.2,6.8,31,73,60,1026.2,2,3,No
0,6.4,57,80,59,1008.3,6,6,No
0,5.7,28,73,57,1023.9,7,6,No
0,10.7,52,98,40,1031.6,3,4,No
0,13.4,35,49,23,1022.1,2,5,No
0,5.6,41,87,45,1019.9,7,7,No
0,10.3,35,65,40,1010.3,6,3,No
0,11.8,33,48,57,1020.3,1,2,No
0,11.6,31,89,74,1009.6,8,1,No
0,10.8,48,36,51,1009.1,1,2,No
2,4.4,54,95,74,1018.2,7,7,No
3,8.6,28,83,60,1021.2,1,1,No
0,11.1,33,30,31,1017.3,0,0,No
0,9.9,39,62,53,1014.3,7,1,No
0,7,31,96,49,1027.2,8,2,No
0,1.5,39,81,88,1016.4,8,8,No
0,11.8,43,41,22,1007.3,4,7,No
0,0,13,87,60,1028.9,7,8,No
0,0.2,31,65,48,1019,7,7,No
0,8.6,35,80,42,1015.4,2,6,No
0,10.7,70,53,31,1007.5,6,5,No
0,4.9,30,84,53,1023.3,6,7,No
121.4,0.7,24,85,65,1013.8,8,8,No
0,2.2,20,88,50,1021.8,7,7,No
0.2,7.8,63,90,56,1018,8,8,No
0,6,30,96,74,1023.9,7,1,No
0,9.4,39,60,16,1026.1,4,6,No
0,9.4,28,65,44,1028.2,1,1,No
1.8,10.2,33,54,50,1017.8,4,2,No
0,6.3,46,58,29,1015.7,3,6,No
0,2.2,41,61,54,1012.4,6,7,No
0,12.1,48,40,23,1019,3,4,No
0,13.3,54,50,37,1018.1,1,1,No
0,8.5,50,81,43,1018.2,6,6,No
0,9.5,63,24,5,1018.3,1,1,No
0,6.9,39,92,61,1027.3,1,7,No
25.4,7.1,35,74,60,1007.4,7,7,No
3.2,11.6,48,47,17,1012.7,3,3,No
0,10.6,44,35,21,1017.4,1,2,No
0,13.2,52,61,12,1017.2,0,0,No
0,13.2,52,57,42,1018.6,1,1,No
0,10,31,62,51,1014.8,1,6,No
0,10,17,58,46,1025.3,1,1,No
0,8.2,33,62,33,1023,7,5,No
0.4,9.3,41,80,48,1030.7,0,5,No
0,10.1,44,79,46,1028,0,1,No
0,12.1,33,51,44,1016,5,2,No
1.4,11.1,48,72,49,1019.9,6,7,No
0,8.1,37,55,56,1012,7,7,No
0.2,1.6,50,72,64,1016.2,6,6,No
0,13,39,34,14,1012.5,0,0,No
0,9.8,33,63,43,1014.1,2,5,No
0,13.7,54,37,22,1010.6,1,4,No
0,5.8,31,56,44,1003.3,6,6,No
0,10.5,28,62,42,1029.2,1,6,No
0,2.7,39,56,52,1010.7,6,7,No
1.4,13.4,48,36,23,1018.6,1,1,No
0,10.5,65,29,51,1010.6,5,7,No
3.4,4.1,30,92,81,1013.7,7,8,No
0,10.8,31,38,17,1022.9,1,1,No
7,6.1,35,70,36,1018.2,7,7,No
0,10.5,30,64,66,1012.7,7,8,No
0,6.8,28,80,44,1022.2,7,5,No
0.4,3.8,28,83,69,1014.7,7,4,No
0,12.1,46,50,19,1012.2,1,2,No
0,11.7,50,61,27,1009.9,7,2,No
0,5.5,46,63,63,1025.8,7,7,No
0,6.4,24,82,45,1026.4,1,5,No
5.4,4.7,48,91,91,1011,7,8,No
0,13.2,37,16,7,1014.9,0,0,No
0,10.9,33,24,7,1023.1,4,1,No
0,11,24,43,27,1020.5,1,1,No
0,8.2,13,100,54,1037.4,1,4,No
0,7.9,15,86,41,1020.4,6,6,No
0,13.4,48,17,5,1012.4,0,0,No
0,5.5,48,66,37,1020.5,7,5,No
0,6.9,19,81,51,1022.5,6,2,No
0,7.7,20,92,39,1021.6,2,2,No
0,9.4,39,67,62,1008.3,7,7,No
0,10.7,44,67,60,1028.9,2,6,No
0,5.7,33,57,47,1022.4,5,7,No
0,8.9,35,74,55,1021.8,7,6,No
0,9.2,39,49,57,1020.1,0,1,No
0.2,7.4,37,57,47,1014.1,3,7,No
0,9.2,48,70,49,1010,6,7,No
0,11.4,65,53,44,1013.6,3,2,No
0,11,20,65,47,1017.4,5,1,No
0.6,7.6,48,79,60,1019,3,5,No
0,8,24,76,58,1018.7,2,5,No
0,10.4,35,28,31,1023.2,1,0,No
0,7.1,24,84,70,1014.5,7,2,No
0,12,54,34,33,1002.5,1,1,No
0,9.4,33,76,51,1023.1,1,5,No
0.6,2.8,37,53,36,1016.4,7,6,No
1.6,5.3,54,87,66,1018.3,7,6,No
0,10.7,43,64,58,1021.7,8,8,No
0,5.2,26,52,28,1025.9,7,6,No
0.4,0,52,95,81,1014.9,8,8,No
0.8,6.2,35,70,45,1007.4,7,7,No
0.4,8.2,46,46,45,1015.8,2,4,No
0.6,10.1,56,70,40,1022.6,4,2,No
0,3.7,44,59,32,1014.2,7,6,No
0,9.4,33,81,65,1009.5,5,1,No
0,9.1,22,69,68,1011.4,4,1,No
0.6,1.3,22,80,74,1033.1,6,6,No
0,7.3,24,57,39,1014.7,6,7,No
3,7.5,30,89,54,1013.7,5,3,No
0,10.9,30,65,41,1015.9,1,4,No
0.2,3.1,63,55,50,1019.9,6,3,No
0,13.3,56,40,28,1020.2,0,1,No
0,7.8,50,63,48,1009.2,7,1,No
0,11.3,30,26,15,1019.8,0,0,No
0,10.6,48,64,52,1015.6,5,1,No
0,12,65,33,18,1006.5,1,1,No
0,10.4,46,72,40,1023.6,1,3,No
0,6,24,59,48,1032,7,7,No
0,1.7,31,10,15,1015,7,7,No
0.4,7.4,39,56,61,1019.6,3,7,No
10.8,8.2,56,78,58,1014,4,4,No
0,11.1,28,67,16,1015.4,1,1,No
0,3.6,39,70,49,1021.9,7,7,No
0.6,2.8,56,62,62,1019.9,7,8,No
0,9.4,28,86,46,1018.4,1,2,No
0,13,33,55,36,1018.7,0,0,No
0.6,5.8,52,74,64,1015.1,7,6,No
0,10.9,24,69,38,1011.3,1,1,No
0,3.9,33,52,49,1017.8,7,7,No
14,3.4,33,92,64,1001.6,7,7,No
0,2.6,24,70,70,1019.7,6,6,No
0,9.2,33,75,53,1025.7,8,6,No
0,1.4,35,67,53,1020.9,7,7,No
1.2,1.9,33,95,65,1007.5,8,7,No
0.4,5.3,57,51,30,1015.4,7,6,No
0,8.4,35,58,25,1019,6,6,No
0,11.4,37,89,19,1014.2,2,3,No
0,10.5,33,66,46,1017.2,3,1,No
0,2.5,41,79,68,1015.2,7,7,No
3.4,9.6,30,73,33,1009.6,7,4,No
7.8,6.4,41,78,60,1028.1,3,6,No
1.6,8.9,30,64,48,1021.3,2,1,No
0,9.1,30,72,65,1006.7,2,7,No
0,4.5,54,69,60,1011.2,7,3,No
0,12.9,39,64,64,1018.1,1,1,No
0,9.4,19,83,52,1013.2,1,1,No
0,10.1,31,93,34,1014.3,6,3,No
0,10.2,28,70,52,1031.3,0,1,No
0,13.6,63,42,17,1015.1,0,0,No
0,10.8,43,57,53,1013.2,7,6,No
0,12,33,59,51,1015,4,1,No
0,10.9,39,44,40,1014.7,2,0,No
0,6.3,28,78,66,1019.2,1,7,No
2.2,2.4,31,53,68,1016.9,8,8,No
0,13,50,46,14,1016.3,6,1,No
0,11.8,54,47,23,1012.1,5,1,No
0,9.2,41,36,24,1015.1,0,6,No
0,8.9,44,15,10,1011.6,1,7,No
0,8.2,20,59,34,1032.4,7,7,No
1,3.7,31,89,66,1025.5,6,7,No
2.6,5,44,88,74,1004.5,7,3,No
0,5,31,78,44,1021.4,7,7,No
0,9.6,69,24,8,1008.6,4,5,No
0,10.6,39,66,54,1020.5,3,5,No
0,8.1,50,65,46,1013.5,6,4,No
0,5.4,24,60,54,1010.2,2,5,No
0.6,9.3,43,56,53,1029,5,1,No
0,7.7,33,66,61,1016.2,3,3,No
0,13.1,31,16,11,1021.5,1,1,No
0.2,3.6,33,83,55,1025.1,7,7,No
0,11.2,41,63,41,1015.4,3,2,No
0,8.5,48,83,47,1026.3,1,7,No
0.8,0,28,80,82,1028.6,8,8,No
1.6,4.6,31,74,63,1018.7,7,5,No
0,10.1,26,56,47,1015.1,1,1,No
0.2,2.2,54,82,69,1013.7,7,6,No
0,11.2,52,29,15,1017.9,0,0,No
0,10.3,44,34,16,1023.5,0,2,No
0,13.4,50,18,7,1012.3,0,1,No
0,7,24,70,54,1029.9,5,7,No
0,0.3,30,74,56,1024.8,7,7,No
35.8,1.5,48,71,55,1003.7,7,7,No
0.4,3,31,79,58,1018.8,6,7,No
0,12.9,33,60,23,1010.4,0,3,No
0,8.6,24,90,47,1025.5,1,3,No
0,7.6,46,26,15,1010.2,1,7,No
0,8.6,39,43,30,1023.3,4,7,No
9.8,10.2,26,56,57,1015.5,1,5,No
6.8,7.1,52,74,80,1021.2,8,5,No
0,13.9,37,46,23,1016.3,0,1,No
0,11.3,24,57,50,1016.1,1,1,No
0,7.7,37,69,46,1032.6,7,7,No
0.2,4.7,50,74,59,1018.4,5,7,No
0,2.7,22,51,51,1024.1,7,7,No
4,1.1,54,99,66,1017,8,8,No
0.6,7.4,33,68,65,1012.5,2,8,No
0,9.7,63,42,17,1017.4,0,0,No
0,10.3,39,23,15,1013.3,5,6,No
0,8.8,20,91,45,1025.4,0,3,No
0,10.2,44,58,59,1019,4,1,No
0,12.7,37,42,23,1024.4,0,1,No
0,11.2,56,29,22,1020.6,1,0,No
0.2,10.2,50,83,34,1018.2,2,2,No
0.2,11.2,28,71,24,1024.8,2,2,No
0,12.1,39,28,15,1019.9,0,1,No
