@relation 'table_train-weka.filters.unsupervised.attribute.Remove-R1-4,8-11'

@attribute r numeric
@attribute i numeric
@attribute z numeric
@attribute class {STAR,GALAXY,QSO}
@attribute redshift numeric
@attribute mjd numeric

@data
0.261188,0.101333,-0.03693,GALAXY,-0.097442,-0.821152
-0.362704,-0.506936,-0.621815,GALAXY,-0.048912,-0.622068
1.102475,1.047123,1.117677,GALAXY,-0.169029,-0.682256
0.118119,0.101781,0.066222,GALAXY,-0.102138,-0.379332
0.0593,-0.079781,-0.200055,GALAXY,0.065569,-0.37404
0.530745,0.756832,0.358481,QSO,0.436651,2.495145
-0.608422,-0.725969,-0.815696,GALAXY,-0.175417,-0.878694
0.334629,0.188338,0.070736,GALAXY,-0.087021,-0.682918
-1.241579,-1.055604,-0.925218,STAR,-0.366382,1.131985
0.493092,0.306228,0.210655,GALAXY,-0.032063,-0.699453
-0.833331,-0.771177,-0.720319,STAR,-0.368479,2.504405
0.738122,0.721066,0.746385,STAR,-0.368573,1.079733
0.592483,0.723475,0.819851,STAR,-0.367999,0.793344
1.04939,1.12793,1.228328,STAR,-0.36671,0.801942
-0.955347,-1.074164,-1.147865,GALAXY,-0.211824,-0.413063
-0.323263,-0.464453,-0.538134,GALAXY,-0.06501,-0.878694
-0.83624,-0.902431,-1.003014,GALAXY,-0.25953,-0.669028
0.37037,0.43547,0.516841,STAR,-0.367079,-0.87671
-0.758948,-0.891767,-1.008398,GALAXY,-0.299159,-0.866789
-0.493138,-0.372718,-0.271924,STAR,-0.367259,-0.825782
0.009718,-0.133534,-0.287598,GALAXY,-0.070891,-0.703421
-1.628378,-1.391016,-1.201635,STAR,-0.366754,1.065844
-1.206195,-1.271252,-1.360522,GALAXY,-0.098722,-0.624052
0.818314,0.87991,0.939797,STAR,-0.366559,2.693568
0.563812,0.343146,0.259643,GALAXY,0.098255,-0.626698
0.584046,0.934763,1.23428,STAR,-0.36794,1.778841
-1.082174,-1.146706,-1.214008,GALAXY,-0.139791,2.285479
-1.978627,-1.888849,-1.8589,GALAXY,-0.320767,-0.70739
-1.538846,-1.288783,-1.115554,STAR,-0.368142,1.075765
-1.718589,-1.765279,-1.82715,GALAXY,-0.231978,-0.838349
1.563337,1.225221,1.521657,GALAXY,-0.136129,-0.682918
-1.486835,-1.565263,-1.666207,GALAXY,-0.157585,-0.679611
0.671479,0.530844,0.391619,GALAXY,-0.098029,-0.379332
-0.020695,-0.121859,-0.193943,GALAXY,-0.160742,-0.329726
1.138499,0.959433,1.073855,GALAXY,0.112404,-0.626037
-0.532693,-0.639237,-0.751961,GALAXY,-0.07123,-0.681595
-0.191238,-0.2241,-0.150824,GALAXY,-0.250259,-0.699453
2.475025,2.707723,2.880929,STAR,-0.368134,2.497791
0.227348,0.17005,0.076028,GALAXY,-0.329098,-0.743106
0.696016,0.671779,0.777166,GALAXY,-0.31742,-0.682918
0.156901,0.183476,0.249152,GALAXY,-0.367953,0.841627
1.02266,1.134805,1.169249,STAR,-0.366766,1.072458
2.41292,2.239026,2.337917,QSO,4.380609,-0.878694
-1.560276,-1.352446,-1.184966,STAR,-0.368457,0.637913
1.140392,1.000429,1.024089,GALAXY,-0.064863,-0.66043
-0.150667,-0.235793,-0.332708,GALAXY,-0.227118,-0.703421
0.705639,0.560623,0.60905,GALAXY,-0.12325,-0.37404
0.195072,0.036361,-0.079957,GALAXY,-0.181542,-0.645218
-0.596662,-0.524599,-0.451342,STAR,-0.366405,1.072458
0.055788,-0.108565,-0.260939,GALAXY,-0.078094,-0.818506
-0.83672,-0.786554,-0.709226,STAR,-0.368077,1.01227
0.412006,0.282244,0.244671,GALAXY,-0.11614,-0.699453
-0.451267,-0.084001,0.122057,STAR,-0.365933,-0.682256
0.352603,0.233484,0.118053,GALAXY,-0.186927,-0.877372
-0.655264,-0.77545,-0.902764,GALAXY,-0.164073,-0.651832
-1.394996,-1.243654,-1.129866,STAR,-0.367867,1.075765
0.256179,0.241529,0.257796,GALAXY,-0.182133,-0.839671
0.212255,0.165382,0.181579,GALAXY,-0.223796,-0.66043
1.118764,1.369083,1.511207,STAR,-0.366573,-0.825782
0.082547,0.040097,0.010554,GALAXY,-0.246358,-0.37867
0.289491,0.113466,-0.014542,GALAXY,-0.217038,-0.526164
0.282627,0.322968,0.369341,STAR,-0.367021,2.51631
-0.440025,-0.618734,-0.786913,GALAXY,-0.049127,-0.741122
1.865802,1.916934,1.93683,QSO,1.024789,-0.62273
0.252055,0.271087,0.302796,STAR,-0.3664,1.075765
0.669351,0.585469,0.548408,GALAXY,-0.160125,-0.682256
-0.614853,-0.367487,-0.192129,STAR,-0.36853,0.793344
-0.849055,-0.938786,-1.019241,GALAXY,-0.168126,-0.877372
-0.264086,-0.234527,-0.190215,GALAXY,-0.367953,0.83832
0.383392,0.393945,0.429456,STAR,-0.367175,1.010286
0.850732,0.865561,0.89473,STAR,-0.368529,1.243762
0.043632,-0.126211,-0.173922,GALAXY,-0.160897,-0.866789
0.388373,0.387026,0.401133,STAR,-0.370461,1.079733
0.177342,0.17515,0.199076,STAR,-0.368576,-0.629344
1.988053,2.110347,2.058909,QSO,1.902847,-0.681595
-1.328588,-1.408793,-1.476815,GALAXY,-0.21783,-0.82512
0.8034,0.870546,0.958674,STAR,-0.365649,0.793344
0.221445,0.248413,0.274666,STAR,-0.369752,1.323793
-0.043603,-0.169353,-0.251969,GALAXY,-0.157212,-0.377347
0.521556,0.48139,0.466013,STAR,-0.368083,2.51631
0.402515,0.417253,0.425886,GALAXY,-0.302233,-0.661091
0.738038,0.66682,0.689463,GALAXY,-0.12395,-0.681595
1.247813,1.278913,1.354185,STAR,-0.369867,2.516972
-0.111611,-0.033896,0.016607,STAR,-0.368227,1.272864
-0.228919,-0.401398,-0.554101,GALAXY,-0.093256,-0.630005
2.260068,2.136204,2.250641,QSO,4.228475,-0.377347
-0.672984,-0.608817,-0.526054,STAR,-0.367412,2.512342
0.890456,0.818911,0.771966,GALAXY,-0.21698,-0.878694
-0.256996,-0.437752,-0.594487,GALAXY,-0.010145,-0.824459
-0.196859,-0.291578,-0.408072,GALAXY,-0.182247,-0.688209
-0.003106,-0.18458,-0.343124,GALAXY,-0.025281,-0.877372
-0.694037,-0.76024,-0.826288,GALAXY,-0.261353,-0.682918
-1.264967,-1.236427,-1.220938,GALAXY,-0.264093,-0.427614
0.36183,0.187608,0.02775,GALAXY,0.021166,-0.380655
-0.238758,-0.294092,-0.298884,GALAXY,-0.16476,-0.632651
0.062332,-0.09223,-0.178637,GALAXY,-0.087714,-0.661091
-0.0633,0.051061,0.149352,STAR,-0.36841,2.495145
0.598273,0.432735,0.341536,GALAXY,-0.1717,-0.632651
0.693719,0.530616,0.406249,GALAXY,0.055292,-0.839671
-2.617217,-2.329386,-2.09397,STAR,-0.36832,0.793344
-0.157559,-0.291762,-0.443693,GALAXY,-0.181074,-0.700114
-0.680027,-0.743966,-0.833904,GALAXY,-0.257481,-0.845624
1.48404,1.507521,1.524608,QSO,3.337428,-0.630005
-0.916865,-0.997736,-1.088577,GALAXY,-0.113765,-0.682256
0.457012,0.541957,0.616181,STAR,-0.367158,-0.661091
0.814228,0.721101,0.655555,GALAXY,-0.245363,-0.377347
-0.379078,-0.475452,-0.578227,GALAXY,-0.227977,-0.622068
0.726315,0.652384,0.680986,GALAXY,-0.22197,-0.706067
1.348014,1.513077,1.639664,STAR,-0.367917,-0.866789
0.359335,0.152757,0.003933,GALAXY,-0.024279,-0.82512
0.410029,0.227857,0.108841,GALAXY,-0.065821,-0.624052
-0.12596,-0.023934,0.07092,STAR,-0.370202,1.323793
0.368158,0.227646,0.169157,GALAXY,-0.060975,-0.606856
-1.11493,-0.844378,-0.645783,STAR,-0.366266,0.841627
1.55685,1.850089,2.376038,GALAXY,0.096638,-0.395867
0.479816,0.4942,0.542882,STAR,-0.368545,0.211305
0.543908,0.442679,0.380183,GALAXY,0.024184,-0.37867
-0.125725,-0.23844,-0.340558,GALAXY,-0.13082,-0.682256
-0.546967,-0.591453,-0.593333,GALAXY,-0.170254,-0.569817
2.272374,2.277833,2.308834,QSO,2.652234,2.323179
-1.586216,-1.442897,-1.292724,STAR,-0.36793,0.304564
0.749374,0.705584,0.690608,STAR,-0.365402,1.342312
1.13881,1.178677,1.226472,STAR,-0.367674,-0.412402
0.152674,0.265153,0.33652,STAR,-0.368669,2.710764
-0.378353,-0.509187,-0.603466,GALAXY,-0.149013,-0.825782
0.106961,0.00267,-0.066582,GALAXY,-0.222359,-0.622068
-1.316206,-1.286937,-1.189246,GALAXY,-0.264913,-0.877372
-1.742909,-1.537858,-1.363548,STAR,-0.368171,1.079733
-0.007259,-0.123441,-0.186085,GALAXY,-0.222609,-0.862159
0.077641,-0.037324,-0.158364,GALAXY,-0.155202,-0.606856
0.524851,0.564087,0.598709,STAR,-0.366489,-0.606856
-0.304403,-0.181635,-0.102922,STAR,-0.368001,-0.827105
-0.942975,-1.051358,-1.152521,GALAXY,-0.174623,-0.709374
0.757019,0.576817,0.52811,GALAXY,-0.038636,-0.681595
-0.24357,-0.299113,-0.320361,GALAXY,-0.150716,-0.682918
1.926674,2.037735,2.090676,QSO,2.670781,-0.388591
0.692758,0.938314,1.084957,STAR,-0.368759,-0.844963
-1.140541,-1.213859,-1.272786,GALAXY,-0.102852,-0.413063
0.758347,0.74076,0.799921,STAR,-0.366993,0.334327
-1.477108,-1.50648,-1.582901,GALAXY,-0.242395,-0.706067
0.536988,0.532682,0.520795,STAR,-0.369177,-0.839671
-0.685309,-0.52859,-0.421665,STAR,-0.367346,1.075765
-1.667801,-1.693229,-1.730418,GALAXY,-0.270423,-0.688209
-0.752517,-0.673244,-0.575669,STAR,-0.36886,1.212015
0.783016,0.636954,0.571489,GALAXY,-0.18175,-0.700114
-0.159037,-0.299587,-0.416758,GALAXY,-0.14961,-0.823798
1.413941,1.510404,1.588853,STAR,-0.368124,-0.622068
0.815697,0.666706,0.664927,GALAXY,-0.176682,-0.585029
-1.135202,-1.116523,-1.071933,STAR,-0.368498,1.342312
0.856852,0.852752,0.874256,STAR,-0.367956,1.342312
0.704707,0.732865,0.777049,STAR,-0.367679,0.793344
-1.805607,-1.539757,-1.352371,STAR,-0.368031,0.1994
0.625126,0.715149,0.786646,STAR,-0.366515,2.725315
0.41452,0.660771,0.786052,STAR,-0.367759,0.328374
-0.615747,-0.46084,-0.390056,STAR,-0.368283,0.793344
-1.021792,-1.108786,-1.182282,GALAXY,-0.15599,-0.824459
-0.231621,-0.074303,0.070561,STAR,-0.369771,1.079733
0.35588,0.394209,0.462059,STAR,-0.367343,-0.679611
-1.061977,-1.0902,-1.123262,GALAXY,-0.26731,-0.631989
0.776924,0.670135,0.701894,GALAXY,-0.151072,-0.682256
-0.836033,-0.702028,-0.584205,STAR,-0.367732,1.290061
-0.871096,-0.961135,-1.034364,GALAXY,-0.209834,-0.700114
-0.062839,0.07064,0.175736,STAR,-0.367668,-0.864805
0.614995,0.709725,0.79447,STAR,-0.366964,1.482531
-1.373914,-1.303861,-1.341637,GALAXY,-0.327746,-0.703421
-0.238928,-0.441322,-0.594671,GALAXY,-0.168721,-0.682256
1.602911,1.058289,0.727358,STAR,-0.368107,-0.84364
-0.556241,-0.685886,-0.792013,GALAXY,-0.204738,-0.583045
-0.507515,-0.604957,-0.741361,GALAXY,-0.114829,-0.661091
-0.746519,-0.817106,-0.914283,GALAXY,-0.237525,-0.622068
0.339902,0.18446,0.125953,GALAXY,-0.207377,-0.823798
-0.164894,-0.304915,-0.43866,GALAXY,-0.147202,-0.329726
0.913402,0.851872,0.663832,GALAXY,0.293868,-0.622068
1.400646,1.516805,1.774073,QSO,2.883893,-0.37867
1.580238,1.489453,1.526021,QSO,4.420948,1.578435
-0.426476,-0.557129,-0.698659,GALAXY,-0.172396,-0.606856
-0.716503,-0.822539,-0.944947,GALAXY,-0.195668,-0.629344
0.467614,0.312093,0.195423,GALAXY,-0.036253,-0.703421
-0.255942,-0.345877,-0.438376,GALAXY,-0.263458,-0.610824
-0.106367,-0.176087,-0.178227,GALAXY,-0.190773,-0.37867
0.809756,0.724882,0.687849,QSO,7.220663,1.578435
1.452705,1.466243,1.484121,STAR,-0.367687,1.521554
0.660557,0.512707,0.387573,GALAXY,-0.096427,-0.380655
1.964646,1.856015,1.924943,QSO,1.316646,-0.413063
0.349948,0.163544,0.132683,GALAXY,0.017817,-0.630005
0.568266,0.466417,0.376898,GALAXY,-0.167683,-0.826443
1.754981,1.68204,1.654829,GALAXY,0.975009,-0.37404
-0.489908,-0.094278,0.117969,STAR,-0.368212,-0.84827
0.010104,-0.152235,-0.267334,GALAXY,-0.116552,-0.379332
-1.559541,-1.636099,-1.648718,STAR,-0.369144,1.114127
-1.10769,-0.938593,-0.7854,STAR,-0.368074,-0.659768
0.706401,0.554785,0.508799,GALAXY,-0.014642,-0.827766
-1.25638,-1.174128,-1.115053,GALAXY,-0.28969,-0.70739
-0.47135,-0.520308,-0.578002,GALAXY,-0.129939,-0.374702
-1.032356,-1.207317,-1.229599,GALAXY,-0.123918,-0.844963
-0.446898,-0.663731,-0.807495,GALAXY,-0.065512,-0.827105
-1.633858,-1.73565,-1.55375,STAR,-0.370315,1.301305
0.942223,1.01964,1.084522,STAR,-0.366864,-0.839671
-0.481086,-0.380693,-0.304443,STAR,-0.367613,-0.682918
0.285122,0.210291,0.156893,GALAXY,-0.20025,-0.762287
1.597186,1.681029,1.563372,QSO,5.707376,-0.823798
-0.124877,-0.279076,-0.424783,GALAXY,-0.125089,-0.66969
-0.325052,-0.46069,-0.592924,GALAXY,-0.113862,-0.878694
0.129455,0.622931,0.936813,STAR,-0.367727,2.419084
1.994484,2.128661,2.049011,QSO,1.996805,-0.650509
0.624957,0.648691,0.656659,STAR,-0.368253,0.793344
-2.421797,-1.907532,-1.612252,STAR,-0.366965,1.075765
