@relation 'output-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V-weka.filters.unsupervised.attribute.Remove-R3,5,9,13,15-19'

@attribute Season {winter,spring,summer,autumn}
@attribute Location {Cobar,CoffsHarbour,Moree,NorfolkIsland,Sydney,SydneyAirport,WaggaWagga,Williamtown,Canberra,Sale,MelbourneAirport,Melbourne,Mildura,Portland,Watsonia,Brisbane,Cairns,Townsville,MountGambier,Nuriootpa,Woomera,PerthAirport,Perth,Hobart,AliceSprings,Darwin}
@attribute Rainfall numeric
@attribute Sunshine numeric
@attribute WindGustSpeed numeric
@attribute WindSpeed9am numeric
@attribute Humidity9am numeric
@attribute Humidity3pm numeric
@attribute Pressure9am numeric
@attribute Cloud3pm numeric
@attribute RainTomorrow {No,Yes}

@data
winter,Perth,0,11.8,44,17,60,48,1013.2,7,No
autumn,SydneyAirport,0,10,80,17,12,3,1009.2,1,No
spring,MelbourneAirport,3.6,4.9,37,17,93,58,1020.3,7,Yes
summer,SydneyAirport,0,9.6,35,13,54,71,1027.8,2,No
spring,Watsonia,0.2,6.2,44,20,71,59,1017.5,7,No
spring,Townsville,0,11,37,7,20,42,1017.6,0,No
spring,Woomera,0,11,39,7,26,12,1019.7,1,No
summer,MelbourneAirport,2.4,5.6,46,19,80,44,1018.4,3,No
autumn,Nuriootpa,0.6,9.4,31,17,41,26,1020.6,5,No
winter,Nuriootpa,0,13,39,13,33,15,1009.5,0,No
summer,MountGambier,0.2,6.7,28,9,99,72,1015,7,No
autumn,MountGambier,0,12.2,35,20,53,33,1024.8,0,No
autumn,SydneyAirport,0,10.2,52,11,62,57,1021.9,3,No
winter,Cairns,3.4,2.3,52,11,87,72,1011.7,7,Yes
summer,Canberra,1.2,1.9,33,6,95,65,1007.5,7,No
autumn,MelbourneAirport,7.2,6,72,30,64,80,1002.5,7,Yes
summer,Melbourne,0,1.2,20,6,77,69,1018.5,7,No
winter,PerthAirport,0,13.1,57,33,43,17,1023.6,0,No
summer,Cairns,0,10.4,28,15,60,62,1016.4,2,No
summer,Melbourne,0,0.5,76,17,62,85,1005.5,7,Yes
summer,Watsonia,0.2,8.6,48,15,71,56,1020.3,1,No
summer,AliceSprings,0,10.7,48,13,45,29,1015.8,6,No
spring,Nuriootpa,0,9.6,35,13,71,44,1023.8,0,No
spring,PerthAirport,19.6,1.4,56,15,96,62,1010.7,7,No
autumn,Darwin,18.2,5,24,15,85,54,1009.3,7,Yes
winter,Moree,6.8,2.2,39,13,95,92,1006.2,7,Yes
autumn,Cairns,7.6,9.6,50,30,45,44,1019.9,3,No
autumn,Sale,0,6.8,50,13,61,27,1011.7,2,No
winter,Canberra,0,13,39,6,55,18,1017.4,1,No
winter,CoffsHarbour,3.8,2,46,24,61,89,1012.5,8,Yes
spring,Sydney,94.4,0.8,33,6,91,71,1023.2,7,Yes
winter,Cairns,38.6,3.8,24,4,78,75,1004.9,7,No
winter,Perth,0.2,11.9,41,15,49,40,1011.7,2,No
winter,Perth,0.6,13.3,43,17,50,22,1023.4,1,No
summer,MelbourneAirport,0,7.7,31,13,83,56,1020.4,6,No
summer,Perth,0,10.9,30,13,59,40,1029.1,0,No
autumn,AliceSprings,0,12.2,43,31,12,6,1018.3,3,No
winter,PerthAirport,1.4,12.8,39,20,54,37,1015.4,4,Yes
summer,Perth,0,10.4,30,13,62,31,1023.5,3,No
spring,Townsville,0,6.2,37,15,67,50,1014.2,4,No
winter,Cairns,8.2,9.3,39,9,61,36,1005.4,3,Yes
summer,Mildura,0.2,8.1,24,7,86,42,1019.7,4,No
autumn,Perth,0.8,10.9,35,15,59,59,1014.4,4,No
spring,CoffsHarbour,0,9,33,11,77,65,1017.7,3,Yes
winter,CoffsHarbour,0.4,6.5,30,13,68,66,1014.2,7,No
autumn,Moree,0,7.6,54,35,51,27,1012.2,7,Yes
winter,Darwin,2.4,4.3,59,20,93,72,1006,6,Yes
winter,Cairns,54.8,2.3,37,9,88,94,1007.3,8,Yes
winter,Portland,0,11.9,54,13,44,57,1010,6,No
spring,Darwin,1.6,2.5,30,13,88,70,1011.7,7,Yes
winter,Moree,0,11.1,35,20,65,34,1014.5,5,No
spring,Darwin,0,11,35,20,35,25,1013.8,0,No
summer,Brisbane,0,9.9,30,2,68,50,1015.8,3,No
autumn,Cairns,0,10.6,26,9,56,72,1005.3,7,No
autumn,MelbourneAirport,0,10.2,35,7,82,44,1017.5,1,No
autumn,PerthAirport,0,8.1,44,15,58,39,1011.5,1,No
spring,SydneyAirport,4.8,1.3,52,35,72,74,1021.2,7,No
winter,Williamtown,0,3.3,39,24,73,61,1014,8,Yes
spring,Cairns,0,10.9,35,19,52,37,1017.2,2,No
summer,PerthAirport,0,11,37,11,71,45,1021.8,1,No
spring,NorfolkIsland,0.4,2.2,30,11,75,81,1021.4,7,Yes
summer,Darwin,0,10.8,31,15,69,52,1013.1,1,No
autumn,Perth,0,10.8,41,13,16,32,1010,7,No
winter,Nuriootpa,0,13.5,41,7,29,12,1013.9,6,No
summer,MelbourneAirport,1,2,56,20,90,73,1022.5,7,Yes
winter,Sydney,34.2,0,54,26,87,87,1016.5,8,Yes
spring,Canberra,0,9,22,11,74,42,1025.2,1,No
spring,Canberra,0.8,10,54,33,56,35,1026.2,3,No
summer,SydneyAirport,0,10.8,61,41,36,28,1014.6,1,No
winter,SydneyAirport,14.2,7.6,50,22,80,72,1019.7,4,Yes
spring,MountGambier,0,7.7,67,24,73,34,1011.2,2,Yes
winter,Perth,0.2,9.2,37,17,60,53,1016.9,5,No
autumn,MelbourneAirport,0,12.5,33,20,65,50,1022.4,2,No
winter,Watsonia,0,11.7,39,9,57,45,1020.5,2,No
summer,Melbourne,0,5.9,63,44,63,34,1024.8,5,No
winter,Cairns,0,8.1,28,2,78,73,1011.7,6,Yes
spring,NorfolkIsland,0.4,10.7,33,19,66,64,1021.1,2,No
winter,PerthAirport,0,13.2,63,31,29,13,1012.3,0,No
spring,PerthAirport,0,11.1,33,13,50,27,1023.1,0,No
summer,CoffsHarbour,0,9.6,43,6,54,79,1018.6,7,Yes
autumn,Perth,0,5.7,31,9,63,89,1018.1,7,Yes
summer,Brisbane,6.4,4.9,37,4,82,53,1031.1,4,No
spring,NorfolkIsland,1.4,6.3,52,30,56,54,1020.7,5,No
spring,PerthAirport,0,8,39,17,56,65,1012.9,6,Yes
spring,Watsonia,0.6,4.8,20,2,90,57,1024,3,No
winter,Mildura,6,0.3,35,20,82,67,1011.7,7,No
spring,PerthAirport,0,7.3,30,6,48,16,1014.8,7,No
autumn,Williamtown,0,12.9,41,11,64,42,1015.8,1,No
summer,NorfolkIsland,13.4,9,76,33,55,58,1008.6,3,Yes
winter,MountGambier,0,13.8,33,11,56,44,1016.2,1,No
autumn,WaggaWagga,0,12.2,28,11,70,45,1021.4,2,No
spring,Nuriootpa,0,10.3,35,17,33,13,1024.1,6,No
autumn,Perth,0,1.8,46,9,57,94,1015.6,8,Yes
winter,AliceSprings,0,11.5,52,4,30,11,1010.8,5,No
autumn,Canberra,0,4.2,35,7,74,43,1016,5,No
winter,SydneyAirport,0,10.9,37,9,60,41,1018.7,2,No
winter,Watsonia,0,13.7,30,6,70,24,1015.3,2,No
spring,Melbourne,0.6,8.7,39,11,51,48,1035,4,No
winter,WaggaWagga,0,8.4,115,17,41,19,1011,6,Yes
autumn,Perth,0,0.1,28,9,66,62,1011.4,8,No
summer,SydneyAirport,0,9.8,41,9,63,27,1016.1,1,No
summer,Townsville,1.4,0,50,30,74,69,1019.6,8,No
autumn,Nuriootpa,0,13,56,19,50,23,1024.4,6,Yes
winter,WaggaWagga,6.4,7.7,37,20,82,57,1017.6,2,No
winter,Melbourne,0,8.6,39,9,69,56,1023.4,7,No
winter,Sydney,0.2,7.5,31,13,69,64,1020.3,5,No
summer,Williamtown,0,10.3,37,26,48,26,1025.1,0,No
winter,Townsville,38.2,3.2,44,13,74,89,1005.7,7,Yes
spring,AliceSprings,0,10.1,43,2,81,39,1025.5,4,No
spring,Sale,0.4,4.6,31,7,97,70,1029.6,1,No
summer,Sale,0.2,5.7,19,6,97,67,1029,6,No
winter,Brisbane,3.2,7.5,30,4,77,52,1017.5,4,No
summer,MountGambier,0.2,9.9,28,13,92,51,1034.4,3,No
autumn,MelbourneAirport,24.8,6,48,19,85,53,1026,7,No
summer,Nuriootpa,0,0.6,31,13,77,64,1034.9,7,No
autumn,Portland,5.8,2.3,54,13,84,90,1012.1,8,Yes
spring,Woomera,3.8,1.1,67,22,97,76,1008.1,8,Yes
winter,AliceSprings,0,11.6,41,28,4,12,1011.1,6,No
spring,NorfolkIsland,0,8.5,30,7,71,63,1021.9,1,No
spring,Cobar,17.6,0,52,20,96,91,1016.1,8,Yes
summer,MountGambier,0.4,4.7,54,19,100,69,1026.4,7,No
winter,SydneyAirport,0,12.8,44,13,53,32,1015.2,0,No
autumn,Hobart,0,13.2,57,33,51,30,1021.5,3,No
summer,MelbourneAirport,0.2,1.9,48,20,95,53,1013.3,6,No
autumn,Hobart,5.8,0,35,7,93,93,1004.7,8,Yes
spring,Townsville,0,7,28,7,50,53,1018.4,7,No
spring,Perth,3.8,7.4,41,17,70,61,1007.8,5,No
summer,Brisbane,0,6.7,46,6,66,45,1017.8,4,No
autumn,SydneyAirport,0,7.9,46,20,50,45,1019.3,6,No
summer,Perth,0,7.3,22,9,58,64,1021.7,6,Yes
spring,Mildura,2.4,6.9,22,13,96,56,1017.7,6,No
summer,Hobart,0,7,80,26,55,33,996.2,3,No
spring,Sydney,6.8,6.5,35,11,82,67,1020,7,No
winter,Townsville,1.4,5.3,61,22,70,67,1005.9,7,Yes
autumn,NorfolkIsland,0,2.8,33,11,69,92,1020.5,8,No
spring,Moree,0,9.4,50,20,57,37,1023.2,2,No
spring,Watsonia,2.4,5.8,24,6,83,52,1027.8,6,No
summer,Watsonia,0,7.3,54,15,62,51,1008.3,7,No
summer,Hobart,0,4.6,54,4,80,62,1020,8,No
summer,Watsonia,0,0.5,57,24,69,65,997.1,7,Yes
spring,MountGambier,0.2,5,43,7,89,52,1021.9,7,No
spring,AliceSprings,0,8.8,44,11,67,37,1025.5,7,No
spring,Watsonia,2.4,2.7,50,15,79,92,1006.7,7,Yes
autumn,Melbourne,0,8.4,46,15,55,32,1008.1,6,No
winter,Melbourne,22.6,5,52,11,89,55,995.2,7,No
spring,MelbourneAirport,0.2,3.9,70,24,75,54,1000.9,7,Yes
spring,Sale,0.2,6.8,17,7,99,67,1027.8,2,No
summer,NorfolkIsland,0.4,3.2,30,13,69,63,1020.9,7,No
summer,Portland,12.4,4.7,39,13,100,85,1002.7,1,Yes
autumn,WaggaWagga,3.8,8.8,43,15,77,43,1016.6,7,No
winter,Cairns,0,4.8,33,11,67,72,1008.2,7,No
spring,Cobar,0,11.4,22,13,42,13,1019.7,1,No
autumn,CoffsHarbour,0,3.3,44,28,74,71,1018.8,7,No
autumn,Mildura,0,10.5,46,15,62,21,1019.6,1,No
winter,AliceSprings,0,10.5,26,6,27,11,1007.9,2,No
spring,Watsonia,0,9.7,28,9,71,26,1024.1,4,No
spring,Darwin,0,6.2,33,13,70,41,1013,7,No
spring,PerthAirport,0,9.1,35,9,66,26,1023.3,0,Yes
summer,NorfolkIsland,0,9.6,39,20,54,61,1026.7,2,No
autumn,Darwin,0,11.7,33,11,59,52,1012.8,1,No
winter,MountGambier,0,13.2,33,13,63,40,1015.9,4,No
autumn,PerthAirport,0,9.9,48,19,52,30,1014.9,6,No
spring,Sale,2,4.9,37,11,92,76,1013.2,7,Yes
summer,Melbourne,0,5.4,67,44,36,25,1008.4,5,No
winter,Moree,0,11.4,39,19,52,22,1015.8,3,No
winter,MountGambier,0,9.7,39,11,59,41,1016.7,5,No
summer,NorfolkIsland,5.2,0.8,61,24,95,85,1013.4,7,Yes
winter,AliceSprings,0,9.7,48,28,12,13,1007.9,6,No
spring,Woomera,0,6.1,67,7,45,36,1016.5,7,No
summer,Cairns,0,6.1,41,19,75,64,1018.9,7,No
autumn,MountGambier,0,10.6,52,15,52,24,1011.2,7,No
winter,Mildura,0,7.1,44,22,80,60,1007.7,7,No
autumn,Melbourne,36.2,0,76,17,96,93,988.9,8,Yes
autumn,WaggaWagga,0,11.3,39,19,48,28,1030.2,3,No
winter,NorfolkIsland,16,9,30,9,80,71,1015.5,3,No
autumn,NorfolkIsland,0.4,10.2,41,22,59,59,1016.9,7,Yes
summer,Darwin,0,9.5,37,7,75,50,1015.3,6,No
summer,Townsville,0,9,37,19,70,74,1021.6,1,No
spring,Perth,0,2.7,50,9,88,83,1011,6,Yes
spring,Watsonia,0,5.2,35,13,81,67,1027.8,5,No
spring,Cobar,0,11.2,33,7,39,14,1019.3,2,No
spring,PerthAirport,0,9.9,31,15,70,35,1020.1,1,No
autumn,AliceSprings,0,12,52,24,27,19,1016.1,1,No
summer,Perth,0,8.2,26,7,78,54,1023.3,6,No
summer,Watsonia,7.4,7.6,78,22,64,55,1004.9,1,Yes
autumn,MountGambier,1,10.6,35,24,72,47,1035.4,2,No
spring,SydneyAirport,0,9.1,31,15,73,35,1028.1,5,No
summer,Hobart,27.6,1.4,65,15,66,71,991.5,8,Yes
winter,Brisbane,0.2,9.8,24,7,72,58,1017,3,No
autumn,NorfolkIsland,0.2,7.4,39,19,56,52,1021.3,6,No
summer,Canberra,0,7.6,33,9,74,44,1026.4,4,No
spring,SydneyAirport,0.4,0,48,26,79,85,1023.3,7,Yes
summer,Brisbane,0,7.5,24,4,63,51,1020.3,7,No
winter,Perth,0,9.4,39,15,67,51,1010.7,4,No
autumn,Portland,0,3.5,37,17,67,89,1014.2,8,Yes
winter,Melbourne,0,7.6,94,41,57,12,998,7,No
autumn,Williamtown,3.6,11.9,61,33,65,21,1010.4,1,No
winter,MelbourneAirport,0,5,48,17,57,51,1012.1,6,No
autumn,NorfolkIsland,10.8,0.5,56,20,85,81,1022.4,8,No
summer,Mildura,0,9.7,39,17,53,35,1023.7,3,No
autumn,NorfolkIsland,0,10.1,30,17,60,52,1021.1,3,No
spring,Melbourne,0,2.9,48,22,73,86,1019.7,6,Yes
winter,MelbourneAirport,0,12.7,39,9,68,42,1018.7,3,No
spring,Woomera,0,2.5,33,13,72,38,1017.9,7,Yes
winter,Canberra,0.8,1.6,48,17,73,58,1011.4,7,No
winter,CoffsHarbour,0.2,10.4,33,4,78,64,1022.8,2,No
autumn,Hobart,0,12.4,39,19,54,38,1027.2,6,No
winter,PerthAirport,0,12.6,54,31,37,16,1019.2,0,No
winter,PerthAirport,0,13.1,39,19,55,36,1010.6,1,No
summer,Sydney,12.6,0,52,2,93,87,1024.3,7,Yes
winter,Brisbane,21.6,3.3,26,7,92,73,1015.6,4,Yes
winter,Sale,0,9.5,39,19,75,55,1012.4,6,No
winter,Nuriootpa,0,11.6,39,9,74,20,1017.7,1,No
winter,Perth,0,13,33,17,55,36,1018.7,0,No
spring,Nuriootpa,2.6,5.4,31,4,83,64,1008.6,5,No
summer,MelbourneAirport,0,6.4,46,31,56,37,1011.1,7,No
autumn,MountGambier,1.2,2.4,44,28,81,59,1021.6,8,No
winter,Nuriootpa,3,6.9,50,22,84,46,1010.6,7,Yes
winter,Mildura,0,12.6,50,28,52,23,1017.3,3,No
autumn,Mildura,1.2,7.6,48,20,69,39,1020.3,6,No
winter,MountGambier,0,10.1,48,15,49,9,1012.8,7,No
winter,Nuriootpa,0,13.2,35,11,24,8,1012.1,3,No
autumn,Brisbane,0,12.9,28,6,57,56,1011.1,2,No
winter,Nuriootpa,0,12.3,41,13,55,15,1010,1,No
autumn,PerthAirport,1,6.4,39,20,86,62,1022.2,5,No
autumn,MountGambier,0,8.8,39,19,76,63,1021.1,7,No
autumn,Cairns,0,12.1,26,7,59,58,1011.8,1,No
autumn,Watsonia,0,0,31,13,81,66,1016.6,8,No
spring,Williamtown,0,9.4,57,20,57,28,1016.4,0,No
autumn,Darwin,0,8.4,33,22,74,61,1011.2,4,No
spring,NorfolkIsland,1.6,8.9,30,13,64,48,1021.3,1,No
winter,Townsville,0,12.4,37,13,56,58,1009,1,No
summer,Nuriootpa,0,0.9,39,7,71,42,1027.8,7,No
autumn,Sydney,0,10.9,37,11,58,53,1030.2,0,No
winter,CoffsHarbour,0,3.3,48,24,73,66,1006.8,7,Yes
spring,NorfolkIsland,0.2,5.8,30,13,73,66,1017.7,3,Yes
spring,Sydney,0.2,9.5,28,13,78,54,1029.3,2,No
autumn,Darwin,10.4,0,43,17,94,95,1007.3,8,Yes
winter,MelbourneAirport,0,8.8,31,9,81,59,1011.7,3,Yes
summer,Mildura,0,3.6,59,15,78,66,1015.8,7,Yes
summer,Cairns,0,11.1,33,13,59,23,1018.2,1,No
spring,Perth,8.8,4,46,11,96,66,1017.3,6,Yes
summer,Mildura,0,9,17,6,82,51,1023.7,2,No
summer,Townsville,0,8.4,35,17,70,58,1020.4,7,No
winter,Darwin,96.8,0,85,22,98,85,1005.8,8,Yes
summer,PerthAirport,0,2.7,30,6,82,60,1017.9,5,Yes
autumn,Sale,0.2,8.9,46,19,55,56,1022.3,6,No
winter,Townsville,0.2,3.9,44,22,63,70,1008.7,7,Yes
summer,Sale,0,6.3,20,6,99,69,1027.8,6,No
winter,AliceSprings,7,9.5,33,9,56,24,1012.2,5,Yes
autumn,PerthAirport,0,12.4,39,19,54,41,1022.4,6,No
winter,SydneyAirport,0,0,31,9,72,72,1007.4,8,No
spring,MelbourneAirport,0,4.6,20,4,100,78,1029.6,2,No
spring,Townsville,0.2,8.4,41,19,82,52,1019.3,2,No
winter,Portland,0.8,4.3,33,7,100,77,1011.3,8,Yes
autumn,Watsonia,0,12.6,33,9,74,53,1026.2,2,No
winter,NorfolkIsland,6.4,7.9,63,30,85,76,1012,7,Yes
spring,Townsville,0,4.9,44,7,78,44,1012.5,3,No
autumn,Watsonia,4.2,11.6,35,13,68,40,1016.4,6,No
winter,Nuriootpa,0,13.3,39,9,60,27,1012.8,3,No
winter,Sale,0,7.5,48,13,61,44,1009.7,7,No
spring,Woomera,0,11,43,31,46,24,1028.9,0,No
summer,Cobar,0,3.6,31,6,71,59,1019,7,No
winter,Canberra,0,13.4,50,7,36,18,1014.6,1,No
spring,Perth,0,8.1,28,4,70,54,1018,2,No
autumn,Watsonia,5.2,7.2,63,13,87,60,1025.9,4,No
summer,Hobart,0,5.1,52,13,53,53,1013,2,No
summer,Cairns,2.2,10.2,48,28,60,52,1021.3,4,No
summer,Watsonia,2.6,7.5,13,6,100,60,1035.1,4,No
winter,Perth,0,13.1,39,15,49,41,1018.2,0,No
winter,Brisbane,0.2,8.3,48,13,71,66,1019.9,7,Yes
autumn,PerthAirport,0,13.1,46,28,37,17,1019.1,5,No
spring,Sale,2.8,6.4,35,22,82,59,1017.1,6,No
summer,Canberra,0,0,26,13,79,73,1027.3,8,No
winter,Perth,0,11.2,46,13,72,46,1011.3,1,No
autumn,Portland,0,0.3,19,6,73,97,1021.3,8,No
spring,Sydney,2,0,31,11,94,92,1031.1,7,Yes
spring,Watsonia,7.8,3,35,13,100,79,1014.1,6,No
summer,SydneyAirport,2.8,3.2,20,9,75,46,1035.7,7,Yes
winter,Sydney,0.6,0,35,6,85,88,1019.3,8,Yes
summer,Cobar,0,11.2,39,13,40,21,1022.5,0,No
spring,Darwin,3.2,2.6,30,15,79,60,1010.5,7,No
autumn,Perth,5.8,8.1,54,28,40,43,1012.1,3,No
summer,Moree,0.2,8.9,28,11,84,40,1021.5,1,No
autumn,Mildura,0,10.2,46,15,58,28,1027.8,7,No
summer,WaggaWagga,1.8,5.5,70,15,96,49,1014.4,5,Yes
summer,Portland,0,5.7,31,2,89,89,1029.4,8,Yes
winter,Watsonia,59.6,4.1,39,20,93,76,1007.5,8,No
summer,WaggaWagga,9.8,1,33,7,89,84,1017.9,7,Yes
spring,Portland,6.2,3.3,22,7,99,94,1005.6,8,Yes
summer,Sale,0,5.2,54,22,77,75,1018.1,8,No
winter,Cobar,0,10.4,48,20,55,35,1021.5,3,No
spring,Darwin,1.4,11.2,33,11,69,55,1015.7,2,No
spring,Mildura,0,3.2,41,19,89,52,1018.3,7,No
winter,Sydney,0,10,37,4,62,61,1021.8,5,Yes
autumn,Williamtown,0.2,5.6,46,30,43,42,1030.2,6,Yes
autumn,Nuriootpa,0,9.7,33,13,64,38,1025,3,No
spring,PerthAirport,0,9.4,31,6,68,46,1023.7,6,No
autumn,MelbourneAirport,24,1.5,37,13,83,75,1014.4,8,No
autumn,Perth,0,13.1,41,13,59,51,1023.5,1,No
autumn,NorfolkIsland,2,8.9,31,19,82,76,1016.7,2,No
autumn,Williamtown,0,6.9,50,20,50,36,1015.8,7,No
autumn,Portland,0,10.2,31,19,79,39,1019.2,6,No
spring,Townsville,7.2,0,46,17,72,91,1014.9,8,Yes
spring,Mildura,0,11.2,39,17,70,36,1021.1,1,No
spring,Portland,0,6.6,61,19,80,66,1018.3,6,Yes
winter,PerthAirport,0,12.4,70,35,49,27,1018.3,0,No
winter,Portland,2.4,5.4,41,20,86,66,1011.3,8,No
summer,Moree,0,7.6,63,17,45,26,1011.6,4,No
winter,PerthAirport,0,13.2,39,24,9,9,1013.9,1,No
spring,NorfolkIsland,1.8,0.1,37,20,67,59,1017.5,8,No
spring,SydneyAirport,17.6,0,52,39,88,82,1020.6,8,Yes
autumn,PerthAirport,0,4,35,15,66,58,1021.3,8,Yes
autumn,Darwin,0,10,33,13,69,46,1013.5,7,Yes
spring,Melbourne,1.4,6.8,33,11,71,48,1019.5,7,Yes
spring,Portland,0,3.6,43,13,74,63,1017.5,7,Yes
summer,SydneyAirport,0,10.2,44,15,53,23,1015.5,1,No
