@relation table_train-weka.filters.unsupervised.attribute.Remove-R1-11

@attribute class {STAR,GALAXY,QSO}
@attribute redshift numeric
@attribute mjd numeric

@data
GALAXY,-0.350912,-0.866789
STAR,-0.368348,0.540025
GALAXY,-0.115257,-0.661091
STAR,-0.370802,1.311887
GALAXY,-0.177182,-0.682256
STAR,-0.367785,-0.650509
GALAXY,-0.248893,-0.626037
STAR,-0.367925,1.290061
STAR,-0.367857,-0.688209
GALAXY,-0.28392,-0.632651
GALAXY,-0.125368,-0.629344
STAR,-0.366244,-0.87671
QSO,3.437269,-0.706067
STAR,-0.368034,-0.427614
GALAXY,-0.036063,-0.703421
GALAXY,-0.059979,-0.703421
STAR,-0.367777,-0.682918
STAR,-0.368298,1.50105
GALAXY,-0.139925,-0.569817
GALAXY,-0.199598,-0.650509
GALAXY,-0.14136,-0.839671
STAR,-0.368155,-0.82512
QSO,4.439296,-0.632651
GALAXY,-0.087785,-0.703421
GALAXY,-0.277477,-0.626037
STAR,-0.369668,2.322518
GALAXY,-0.239661,-0.709374
GALAXY,-0.128547,-0.661091
STAR,-0.367541,2.504405
GALAXY,0.0004,-0.878033
STAR,-0.366749,0.83832
STAR,-0.367907,1.132646
GALAXY,-0.080079,-0.682256
STAR,-0.366958,1.108174
QSO,4.341702,-0.688209
STAR,-0.367562,-0.606856
GALAXY,-0.263195,-0.628682
STAR,-0.367673,0.841627
STAR,-0.367961,0.841627
STAR,-0.36809,1.311887
GALAXY,-0.155361,-0.631989
STAR,-0.367943,-0.703421
GALAXY,-0.246627,-0.682918
GALAXY,-0.3187,-0.679611
STAR,-0.366284,0.793344
GALAXY,-0.028572,-0.84827
STAR,-0.367201,-0.628682
GALAXY,-0.19413,-0.632651
GALAXY,-0.167286,-0.651832
STAR,-0.368965,1.323793
GALAXY,-0.19262,1.485176
GALAXY,-0.159831,-0.622068
STAR,-0.36806,-0.827105
QSO,0.053891,-0.88134
STAR,-0.368562,1.553963
STAR,-0.368017,1.290061
GALAXY,-0.259671,-0.74046
STAR,-0.36801,-0.377347
GALAXY,-0.241758,-0.706067
GALAXY,-0.186513,-0.412402
STAR,-0.36697,-0.629344
GALAXY,-0.238998,-0.877372
GALAXY,-0.033374,-0.692839
GALAXY,-0.179762,-0.606856
QSO,3.325561,-0.622068
GALAXY,-0.319539,-0.377347
GALAXY,-0.226218,-0.84364
GALAXY,-0.311853,-0.681595
GALAXY,-0.115311,-0.864805
GALAXY,-0.22975,-0.585691
GALAXY,-0.284683,-0.650509
STAR,-0.366472,-0.626698
GALAXY,-0.084264,-0.632651
GALAXY,-0.119026,-0.661091
GALAXY,-0.016189,-0.682256
GALAXY,-0.299443,-0.698792
STAR,-0.366283,0.841627
STAR,-0.36737,0.793344
GALAXY,-0.016325,-0.659768
GALAXY,0.029118,-0.622068
GALAXY,-0.03867,-0.69813
STAR,-0.367766,2.504405
STAR,-0.371441,-0.682918
QSO,0.133349,-0.66043
STAR,-0.368228,1.212015
GALAXY,-0.168554,-0.631989
GALAXY,-0.246919,-0.622068
GALAXY,-0.180357,-0.84364
STAR,-0.367852,1.212015
GALAXY,-0.143691,-0.688209
STAR,-0.369496,1.079733
STAR,-0.368888,-0.373379
STAR,-0.36847,2.504405
GALAXY,-0.218793,-0.645218
GALAXY,-0.053778,-0.668367
STAR,-0.368754,1.114788
STAR,-0.367789,-0.37867
GALAXY,-0.037506,-0.379332
GALAXY,-0.073514,-0.628682
GALAXY,-0.300477,-0.682256
GALAXY,-0.19328,-0.682256
STAR,-0.367345,1.01227
STAR,-0.367748,-0.622068
GALAXY,-0.159757,-0.668367
GALAXY,-0.276774,-0.628682
STAR,-0.36808,-0.682256
STAR,-0.367494,2.504405
STAR,-0.368031,0.793344
STAR,-0.367862,1.132646
STAR,-0.367204,1.075765
GALAXY,-0.184794,-0.427614
GALAXY,-0.209975,-0.699453
GALAXY,-0.157863,-0.628682
GALAXY,-0.117442,-0.688209
STAR,-0.369613,2.47398
STAR,-0.36786,1.075765
GALAXY,-0.026586,-0.824459
STAR,-0.367778,1.72196
GALAXY,-0.230477,-0.709374
STAR,-0.368304,-0.626698
GALAXY,-0.080485,-0.622068
STAR,-0.368052,0.801942
STAR,-0.370382,0.637913
GALAXY,-0.277112,-0.62273
QSO,4.101276,-0.70739
GALAXY,-0.354123,-0.681595
GALAXY,-0.133397,1.585049
STAR,-0.369228,-0.82512
QSO,2.918517,-0.682256
STAR,-0.36852,-0.827105
STAR,-0.367598,0.83832
GALAXY,-0.286357,-0.681595
STAR,-0.367465,-0.650509
STAR,-0.367979,1.778841
GALAXY,-0.097442,-0.821152
GALAXY,-0.048912,-0.622068
GALAXY,-0.169029,-0.682256
GALAXY,-0.102138,-0.379332
GALAXY,0.065569,-0.37404
QSO,0.436651,2.495145
GALAXY,-0.175417,-0.878694
GALAXY,-0.087021,-0.682918
STAR,-0.366382,1.131985
GALAXY,-0.032063,-0.699453
STAR,-0.368479,2.504405
STAR,-0.368573,1.079733
STAR,-0.367999,0.793344
STAR,-0.36671,0.801942
GALAXY,-0.211824,-0.413063
GALAXY,-0.06501,-0.878694
GALAXY,-0.25953,-0.669028
STAR,-0.367079,-0.87671
GALAXY,-0.299159,-0.866789
STAR,-0.367259,-0.825782
GALAXY,-0.070891,-0.703421
STAR,-0.366754,1.065844
GALAXY,-0.098722,-0.624052
STAR,-0.366559,2.693568
GALAXY,0.098255,-0.626698
STAR,-0.36794,1.778841
GALAXY,-0.139791,2.285479
GALAXY,-0.320767,-0.70739
STAR,-0.368142,1.075765
GALAXY,-0.231978,-0.838349
GALAXY,-0.136129,-0.682918
GALAXY,-0.157585,-0.679611
GALAXY,-0.098029,-0.379332
GALAXY,-0.160742,-0.329726
GALAXY,0.112404,-0.626037
GALAXY,-0.07123,-0.681595
GALAXY,-0.250259,-0.699453
STAR,-0.368134,2.497791
GALAXY,-0.329098,-0.743106
GALAXY,-0.31742,-0.682918
GALAXY,-0.367953,0.841627
STAR,-0.366766,1.072458
QSO,4.380609,-0.878694
STAR,-0.368457,0.637913
GALAXY,-0.064863,-0.66043
GALAXY,-0.227118,-0.703421
GALAXY,-0.12325,-0.37404
GALAXY,-0.181542,-0.645218
STAR,-0.366405,1.072458
GALAXY,-0.078094,-0.818506
STAR,-0.368077,1.01227
GALAXY,-0.11614,-0.699453
STAR,-0.365933,-0.682256
GALAXY,-0.186927,-0.877372
GALAXY,-0.164073,-0.651832
STAR,-0.367867,1.075765
GALAXY,-0.182133,-0.839671
GALAXY,-0.223796,-0.66043
STAR,-0.366573,-0.825782
GALAXY,-0.246358,-0.37867
GALAXY,-0.217038,-0.526164
STAR,-0.367021,2.51631
GALAXY,-0.049127,-0.741122
QSO,1.024789,-0.62273
STAR,-0.3664,1.075765
GALAXY,-0.160125,-0.682256
STAR,-0.36853,0.793344
GALAXY,-0.168126,-0.877372
GALAXY,-0.367953,0.83832
STAR,-0.367175,1.010286
STAR,-0.368529,1.243762
GALAXY,-0.160897,-0.866789
STAR,-0.370461,1.079733
STAR,-0.368576,-0.629344
QSO,1.902847,-0.681595
GALAXY,-0.21783,-0.82512
STAR,-0.365649,0.793344
STAR,-0.369752,1.323793
GALAXY,-0.157212,-0.377347
STAR,-0.368083,2.51631
GALAXY,-0.302233,-0.661091
GALAXY,-0.12395,-0.681595
STAR,-0.369867,2.516972
STAR,-0.368227,1.272864
GALAXY,-0.093256,-0.630005
QSO,4.228475,-0.377347
STAR,-0.367412,2.512342
GALAXY,-0.21698,-0.878694
GALAXY,-0.010145,-0.824459
GALAXY,-0.182247,-0.688209
GALAXY,-0.025281,-0.877372
GALAXY,-0.261353,-0.682918
GALAXY,-0.264093,-0.427614
GALAXY,0.021166,-0.380655
GALAXY,-0.16476,-0.632651
GALAXY,-0.087714,-0.661091
STAR,-0.36841,2.495145
GALAXY,-0.1717,-0.632651
GALAXY,0.055292,-0.839671
STAR,-0.36832,0.793344
GALAXY,-0.181074,-0.700114
GALAXY,-0.257481,-0.845624
QSO,3.337428,-0.630005
GALAXY,-0.113765,-0.682256
STAR,-0.367158,-0.661091
GALAXY,-0.245363,-0.377347
GALAXY,-0.227977,-0.622068
GALAXY,-0.22197,-0.706067
STAR,-0.367917,-0.866789
GALAXY,-0.024279,-0.82512
GALAXY,-0.065821,-0.624052
STAR,-0.370202,1.323793
GALAXY,-0.060975,-0.606856
STAR,-0.366266,0.841627
GALAXY,0.096638,-0.395867
STAR,-0.368545,0.211305
GALAXY,0.024184,-0.37867
GALAXY,-0.13082,-0.682256
GALAXY,-0.170254,-0.569817
QSO,2.652234,2.323179
STAR,-0.36793,0.304564
STAR,-0.365402,1.342312
STAR,-0.367674,-0.412402
STAR,-0.368669,2.710764
GALAXY,-0.149013,-0.825782
GALAXY,-0.222359,-0.622068
GALAXY,-0.264913,-0.877372
STAR,-0.368171,1.079733
GALAXY,-0.222609,-0.862159
GALAXY,-0.155202,-0.606856
STAR,-0.366489,-0.606856
STAR,-0.368001,-0.827105
GALAXY,-0.174623,-0.709374
GALAXY,-0.038636,-0.681595
GALAXY,-0.150716,-0.682918
QSO,2.670781,-0.388591
STAR,-0.368759,-0.844963
GALAXY,-0.102852,-0.413063
STAR,-0.366993,0.334327
GALAXY,-0.242395,-0.706067
STAR,-0.369177,-0.839671
STAR,-0.367346,1.075765
GALAXY,-0.270423,-0.688209
STAR,-0.36886,1.212015
GALAXY,-0.18175,-0.700114
GALAXY,-0.14961,-0.823798
STAR,-0.368124,-0.622068
GALAXY,-0.176682,-0.585029
STAR,-0.368498,1.342312
STAR,-0.367956,1.342312
STAR,-0.367679,0.793344
STAR,-0.368031,0.1994
STAR,-0.366515,2.725315
STAR,-0.367759,0.328374
STAR,-0.368283,0.793344
GALAXY,-0.15599,-0.824459
STAR,-0.369771,1.079733
STAR,-0.367343,-0.679611
GALAXY,-0.26731,-0.631989
GALAXY,-0.151072,-0.682256
STAR,-0.367732,1.290061
GALAXY,-0.209834,-0.700114
STAR,-0.367668,-0.864805
STAR,-0.366964,1.482531
GALAXY,-0.327746,-0.703421
GALAXY,-0.168721,-0.682256
STAR,-0.368107,-0.84364
GALAXY,-0.204738,-0.583045
GALAXY,-0.114829,-0.661091
GALAXY,-0.237525,-0.622068
GALAXY,-0.207377,-0.823798
GALAXY,-0.147202,-0.329726
GALAXY,0.293868,-0.622068
QSO,2.883893,-0.37867
QSO,4.420948,1.578435
GALAXY,-0.172396,-0.606856
GALAXY,-0.195668,-0.629344
GALAXY,-0.036253,-0.703421
GALAXY,-0.263458,-0.610824
GALAXY,-0.190773,-0.37867
QSO,7.220663,1.578435
STAR,-0.367687,1.521554
GALAXY,-0.096427,-0.380655
QSO,1.316646,-0.413063
GALAXY,0.017817,-0.630005
GALAXY,-0.167683,-0.826443
GALAXY,0.975009,-0.37404
STAR,-0.368212,-0.84827
GALAXY,-0.116552,-0.379332
STAR,-0.369144,1.114127
STAR,-0.368074,-0.659768
GALAXY,-0.014642,-0.827766
GALAXY,-0.28969,-0.70739
GALAXY,-0.129939,-0.374702
GALAXY,-0.123918,-0.844963
GALAXY,-0.065512,-0.827105
STAR,-0.370315,1.301305
STAR,-0.366864,-0.839671
STAR,-0.367613,-0.682918
GALAXY,-0.20025,-0.762287
QSO,5.707376,-0.823798
GALAXY,-0.125089,-0.66969
GALAXY,-0.113862,-0.878694
STAR,-0.367727,2.419084
QSO,1.996805,-0.650509
STAR,-0.368253,0.793344
STAR,-0.366965,1.075765
STAR,-0.367154,1.046663
GALAXY,-0.034541,-0.709374
GALAXY,-0.248171,-0.84827
STAR,-0.367543,1.243762
STAR,-0.368599,1.075765
GALAXY,-0.152249,-0.624052
GALAXY,-0.308434,-0.699453
GALAXY,-0.300514,-0.87671
STAR,-0.367402,1.065844
STAR,-0.367138,2.513665
GALAXY,-0.174837,-0.823798
GALAXY,-0.206142,-0.82512
GALAXY,0.156571,-0.668367
GALAXY,0.009743,-0.622068
STAR,-0.367611,1.010286
GALAXY,-0.142641,-0.688209
QSO,4.49742,-0.380655
QSO,1.428198,-0.629344
QSO,3.661067,-0.37404
STAR,-0.367998,-0.828427
STAR,-0.367284,2.504405
STAR,-0.367794,2.729284
STAR,-0.368135,-0.629344
GALAXY,-0.000146,-0.709374
GALAXY,-0.12057,-0.661091
GALAXY,-0.235423,-0.680934
GALAXY,-0.249935,-0.622068
GALAXY,-0.270201,-0.682918
STAR,-0.36651,0.793344
GALAXY,-0.039611,-0.827766
GALAXY,-0.13483,-0.688209
GALAXY,-0.163355,-0.649186
STAR,-0.367361,2.504405
GALAXY,-0.108772,-0.632651
GALAXY,0.011838,-0.706067
GALAXY,-0.093659,-0.630005
GALAXY,-0.253663,-0.661091
GALAXY,-0.178574,-0.585029
GALAXY,-0.300695,-0.87671
GALAXY,-0.190771,-0.622068
STAR,-0.367694,1.079733
GALAXY,-0.153658,-0.818506
GALAXY,0.033646,-0.585029
QSO,1.762603,-0.466637
GALAXY,-0.028679,-0.82512
GALAXY,-0.234591,-0.569817
GALAXY,-0.140256,-0.824459
QSO,3.643172,-0.585029
GALAXY,-0.054057,-0.839671
GALAXY,-0.154009,-0.631989
STAR,-0.367423,0.855516
GALAXY,-0.264423,-0.589659
STAR,-0.368433,0.211305
GALAXY,-0.114225,-0.661091
STAR,-0.368289,1.290061
STAR,-0.368085,2.513665
STAR,-0.36718,1.310565
GALAXY,-0.271792,-0.827766
STAR,-0.367908,0.841627
STAR,-0.367409,1.075765
GALAXY,-0.175788,-0.628682
GALAXY,0.000396,-0.622068
GALAXY,-0.072196,1.778841
STAR,-0.367022,0.793344
GALAXY,-0.131362,-0.377347
GALAXY,-0.049718,-0.682918
GALAXY,-0.176275,-0.583045
GALAXY,-0.230448,-0.679611
GALAXY,0.165127,-0.626698
STAR,-0.366533,1.290061
QSO,2.748714,-0.699453
STAR,-0.367207,0.793344
GALAXY,-0.131412,-0.838349
GALAXY,-0.180776,-0.628682
GALAXY,-0.153545,-0.682256
GALAXY,-0.197728,-0.679611
STAR,-0.368404,-0.74046
STAR,-0.36749,1.075765
GALAXY,0.043492,-0.585029
STAR,-0.36839,1.030128
STAR,-0.368342,1.079733
STAR,-0.370483,0.637913
GALAXY,-0.178314,-0.74046
GALAXY,-0.16467,-0.626698
STAR,-0.36687,1.342312
STAR,-0.368562,1.079733
QSO,0.079737,2.710103
GALAXY,-0.253477,-0.688209
STAR,-0.367713,-0.706067
GALAXY,0.0244,-0.659768
GALAXY,-0.243717,-0.661091
GALAXY,-0.093445,-0.661091
GALAXY,-0.101341,-0.630005
GALAXY,-0.300236,-0.681595
STAR,-0.366909,1.132646
GALAXY,-0.195896,-0.589659
STAR,-0.368196,1.01227
GALAXY,-0.077126,-0.37867
STAR,-0.367554,1.01227
STAR,-0.366503,1.751062
STAR,-0.370346,-0.39256
GALAXY,-0.216889,-0.682256
GALAXY,-0.15157,-0.377347
GALAXY,-0.032311,-0.681595
STAR,-0.367166,1.075765
STAR,-0.367861,0.83832
GALAXY,-0.147557,-0.624052
QSO,4.429045,-0.585691
GALAXY,-0.161841,-0.678288
GALAXY,-0.085281,-0.632651
STAR,-0.368536,1.079733
QSO,3.352771,-0.66043
GALAXY,-0.192722,-0.827766
STAR,-0.367414,-0.585029
STAR,-0.368876,-0.842978
GALAXY,-0.133002,-0.839671
STAR,-0.367358,0.579048
STAR,-0.367193,-0.82512
GALAXY,-0.177397,-0.866789
STAR,-0.367824,-0.62273
GALAXY,-0.228264,-0.66043
GALAXY,-0.17668,-0.650509
STAR,-0.365191,2.518956
GALAXY,0.111037,-0.606856
GALAXY,-0.168132,-0.632651
STAR,-0.367367,1.068489
GALAXY,-0.118719,-0.682256
STAR,-0.368206,-0.377347
QSO,1.482489,-0.682918
QSO,5.051362,-0.877372
QSO,0.560294,-0.682256
STAR,-0.367977,0.793344
GALAXY,-0.172511,-0.681595
STAR,-0.367979,-0.87671
GALAXY,-0.201742,-0.631989
STAR,-0.367775,-0.828427
QSO,4.225543,-0.825782
QSO,0.57839,2.242488
GALAXY,-0.213144,-0.679611
STAR,-0.36776,1.065844
STAR,-0.368712,1.079733
STAR,-0.367179,1.065844
STAR,-0.368565,-0.351553
GALAXY,-0.30213,-0.878694
STAR,-0.368107,0.793344
STAR,-0.367293,1.290061
GALAXY,-0.164253,-0.661091
STAR,-0.367005,1.010286
QSO,1.638187,-0.630005
GALAXY,-0.148518,-0.651832
STAR,-0.368176,1.065844
QSO,3.03229,-0.698792
GALAXY,-0.267615,-0.681595
STAR,-0.367007,0.841627
GALAXY,-0.247983,-0.682918
STAR,-0.36779,2.504405
GALAXY,-0.098381,-0.878694
QSO,2.726748,-0.762287
GALAXY,-0.135008,-0.622068
QSO,3.415482,-0.427614
GALAXY,-0.195172,-0.629344
GALAXY,-0.055493,-0.628682
GALAXY,-0.081488,-0.661091
QSO,5.19813,-0.827105
STAR,-0.368573,-0.825782
GALAXY,-0.179645,-0.651832
GALAXY,-0.247814,-0.682918
STAR,-0.369339,0.211305
STAR,-0.36744,2.504405
STAR,-0.367542,-0.374702
GALAXY,-0.137744,-0.818506
STAR,-0.367755,1.342312
STAR,-0.367687,-0.624052
STAR,-0.368944,1.485176
GALAXY,-0.15262,-0.66969
GALAXY,-0.202709,-0.628682
STAR,-0.368038,-0.377347
QSO,3.071972,-0.622068
GALAXY,-0.268795,-0.682918
STAR,-0.365806,1.131985
GALAXY,-0.166954,-0.70739
GALAXY,-0.276247,-0.88134
GALAXY,-0.122133,-0.682256
GALAXY,-0.156064,-0.606856
STAR,-0.366243,-0.377347
GALAXY,-0.255136,-0.626037
STAR,-0.367727,0.83832
STAR,-0.367888,0.83832
STAR,-0.368249,1.079733
GALAXY,-0.148066,-0.66043
GALAXY,-0.312879,-0.606856
GALAXY,-0.151628,-0.688209
GALAXY,-0.106823,-0.839671
STAR,-0.367903,2.504405
GALAXY,-0.202716,-0.877372
GALAXY,-0.161318,-0.412402
GALAXY,-0.312187,-0.866789
STAR,-0.367497,2.51631
STAR,-0.367431,0.334327
QSO,0.887896,-0.630005
GALAXY,-0.143083,-0.864805
GALAXY,-0.20507,-0.818506
QSO,-0.11725,-0.412402
GALAXY,0.053898,-0.688209
GALAXY,-0.140672,-0.880679
GALAXY,-0.156866,-0.66043
GALAXY,-0.212469,-0.679611
GALAXY,-0.211774,-0.679611
STAR,-0.367051,0.304564
GALAXY,-0.13981,-0.838349
GALAXY,-0.145204,-0.622068
QSO,2.261436,-0.628682
GALAXY,-0.171596,-0.700114
GALAXY,-0.08053,-0.415048
QSO,3.827015,-0.631328
QSO,-0.210108,-0.699453
STAR,-0.368463,1.131985
STAR,-0.367855,0.83832
QSO,0.767076,-0.628682
GALAXY,-0.180677,-0.706067
GALAXY,-0.221862,-0.698792
QSO,6.126447,1.779502
STAR,-0.368991,2.693568
GALAXY,-0.172432,-0.69813
QSO,4.986797,-0.632651
STAR,-0.367463,1.310565
QSO,4.368555,-0.825782
GALAXY,-0.115755,-0.629344
STAR,-0.36769,1.017561
GALAXY,-0.190173,2.227937
STAR,-0.367528,1.065844
GALAXY,-0.083414,-0.628682
QSO,2.820856,-0.395867
GALAXY,-0.274954,-0.631989
STAR,-0.368036,-0.741122
GALAXY,-0.177102,-0.878694
GALAXY,-0.093361,-0.585691
STAR,-0.36765,0.841627
GALAXY,-0.155648,-0.62273
GALAXY,-0.1307,-0.864805
STAR,-0.36611,1.072458
STAR,-0.368063,1.212015
GALAXY,-0.131215,-0.661091
GALAXY,-0.197633,-0.824459
GALAXY,-0.314017,-0.699453
STAR,-0.366488,-0.626698
STAR,-0.367982,-0.659768
STAR,-0.369428,1.222597
GALAXY,-0.176915,-0.661091
QSO,2.217698,-0.629344
GALAXY,-0.23802,-0.82512
STAR,-0.368463,0.1994
STAR,-0.368178,-0.706067
STAR,-0.368886,1.311887
GALAXY,-0.289139,-0.866789
GALAXY,-0.164438,-0.826443
GALAXY,-0.194401,-0.681595
STAR,-0.366747,0.793344
STAR,-0.36741,-0.87671
STAR,-0.36761,2.504405
STAR,-0.365346,1.290061
STAR,-0.36763,-0.682918
GALAXY,-0.043711,-0.699453
GALAXY,-0.198822,-0.62273
GALAXY,-0.093267,-0.827105
GALAXY,-0.254354,-0.823136
GALAXY,-0.134238,-0.688209
GALAXY,-0.116408,-0.706067
GALAXY,-0.065221,-0.574447
STAR,-0.367766,-0.435551
STAR,-0.367574,-0.842978
GALAXY,-0.122049,-0.682256
GALAXY,-0.092674,-0.659768
GALAXY,-0.228764,-0.706067
QSO,-0.019762,-0.681595
QSO,1.6723,-0.706067
STAR,-0.368446,2.496468
GALAXY,-0.171744,-0.682256
STAR,-0.367271,1.010286
GALAXY,-0.239036,-0.682918
STAR,-0.368937,-0.682918
STAR,-0.369357,-0.69813
STAR,-0.367871,-0.659768
GALAXY,-0.11978,-0.682256
GALAXY,-0.052685,-0.682918
GALAXY,0.028332,-0.703421
STAR,-0.36822,-0.827105
STAR,-0.367523,0.841627
GALAXY,-0.167232,-0.388591
GALAXY,-0.194785,-0.74046
GALAXY,-0.261492,-0.699453
GALAXY,-0.096188,-0.37404
GALAXY,-0.123408,-0.629344
GALAXY,-0.205016,-0.604872
GALAXY,-0.155936,-0.606856
STAR,-0.368191,1.132646
GALAXY,-0.117125,-0.688209
GALAXY,-0.092847,-0.827105
GALAXY,-0.235881,-0.762287
STAR,-0.368315,-0.622068
STAR,-0.368279,-0.704083
STAR,-0.367601,1.065844
QSO,4.914331,0.328374
GALAXY,0.037959,-0.688209
QSO,6.850139,1.503034
GALAXY,-0.219046,-0.845624
GALAXY,-0.247845,-0.682918
GALAXY,-0.116534,-0.628682
STAR,-0.368334,0.540025
STAR,-0.367817,1.065844
STAR,-0.367921,-0.87671
GALAXY,-0.144256,-0.629344
STAR,-0.368071,1.065844
GALAXY,-0.251406,-0.680272
GALAXY,-0.084877,-0.380655
STAR,-0.368161,1.072458
STAR,-0.367717,1.072458
STAR,-0.367686,-0.624052
GALAXY,-0.121787,-0.706067
STAR,-0.367043,-0.687548
STAR,-0.36698,-0.622068
GALAXY,-0.070805,-0.679611
GALAXY,-0.190473,-0.877372
GALAXY,-0.176715,-0.632651
GALAXY,-0.107214,-0.629344
STAR,-0.368068,1.075765
STAR,-0.367862,0.841627
STAR,-0.368288,1.114788
GALAXY,-0.072206,-0.818506
GALAXY,-0.038379,-0.412402
STAR,-0.368275,-0.825782
GALAXY,-0.350839,-0.82512
GALAXY,-0.200342,-0.688209
GALAXY,-0.248579,-0.682918
GALAXY,-0.313667,-0.37867
GALAXY,-0.206243,-0.699453
STAR,-0.36822,2.499775
STAR,-0.36793,0.520844
QSO,0.905486,-0.700114
GALAXY,-0.195036,-0.743106
QSO,6.223144,1.54338
GALAXY,0.021765,-0.681595
QSO,-0.035232,-0.659768
GALAXY,-0.137892,-0.66969
GALAXY,-0.137601,-0.626698
STAR,-0.368112,0.793344
STAR,-0.367938,1.310565
STAR,-0.367729,-0.703421
GALAXY,-0.15337,-0.880679
STAR,-0.367715,-0.827105
STAR,-0.368318,1.290061
STAR,-0.368172,1.065844
STAR,-0.367704,-0.703421
STAR,-0.367829,1.290061
GALAXY,-0.060404,-0.827766
GALAXY,-0.125186,-0.84827
GALAXY,-0.0971,-0.650509
GALAXY,-0.182753,-0.650509
STAR,-0.367236,1.065844
GALAXY,0.143359,-0.37404
STAR,-0.367114,1.017561
STAR,-0.368038,1.079733
GALAXY,-0.122715,-0.679611
GALAXY,-0.184791,-0.687548
GALAXY,-0.117476,-0.622068
STAR,-0.368587,-0.839671
STAR,-0.367151,1.73585
GALAXY,-0.154361,-0.626698
QSO,2.11725,-0.37867
STAR,-0.367621,1.342312
GALAXY,-0.190655,-0.629344
STAR,-0.367896,1.310565
GALAXY,-0.24894,-0.413063
QSO,0.18562,-0.681595
QSO,5.278946,2.502421
GALAXY,-0.244052,-0.682918
STAR,-0.367389,2.032822
STAR,-0.368148,1.047986
STAR,-0.3674,1.065844
STAR,-0.367903,-0.629344
STAR,-0.367941,1.742464
GALAXY,-0.204626,-0.878694
GALAXY,-0.057277,-0.435551
GALAXY,-0.184556,-0.82512
STAR,-0.368379,-0.669028
STAR,-0.367753,1.132646
STAR,-0.368242,0.83832
STAR,-0.367785,-0.650509
GALAXY,-0.312344,-0.661091
GALAXY,-0.014082,-0.828427
STAR,-0.367053,-0.632651
GALAXY,-0.16526,-0.622068
STAR,-0.366053,1.065844
STAR,-0.366608,0.793344
STAR,-0.367537,0.841627
STAR,-0.368363,-0.69813
GALAXY,-0.087668,-0.632651
GALAXY,-0.142992,-0.864805
GALAXY,-0.16551,-0.632651
GALAXY,-0.015524,-0.632651
STAR,-0.368209,2.504405
STAR,-0.367619,2.51631
STAR,-0.369275,1.079733
STAR,-0.367269,0.841627
GALAXY,-0.274838,-0.628682
STAR,-0.368264,1.030128
GALAXY,-0.039338,-0.682256
STAR,-0.367912,0.841627
STAR,-0.369102,2.20148
STAR,-0.367422,0.83832
GALAXY,-0.011246,-0.589659
GALAXY,0.022003,-0.682256
GALAXY,-0.200892,-0.866789
GALAXY,-0.317539,-0.37867
STAR,-0.368651,-0.842978
